,date,provider,region,age,total_number
77740,2021-06-26,Moderna,Lombardia,20-29,203.0
77741,2021-06-26,Moderna,Lombardia,30-39,373.0
77742,2021-06-26,Moderna,Lombardia,40-49,225.0
77743,2021-06-26,Moderna,Lombardia,50-59,68.0
77744,2021-06-26,Moderna,Lombardia,60-69,10.0
77745,2021-06-26,Moderna,Lombardia,70-79,13.0
77746,2021-06-26,Moderna,Lombardia,80-89,8.0
77747,2021-06-26,Moderna,Lombardia,90+,4.0
77912,2021-06-26,Pfizer/BioNTech,Lombardia,12-19,12166.0
77913,2021-06-26,Pfizer/BioNTech,Lombardia,20-29,22227.0
77914,2021-06-26,Pfizer/BioNTech,Lombardia,30-39,22522.0
77915,2021-06-26,Pfizer/BioNTech,Lombardia,40-49,14265.0
77916,2021-06-26,Pfizer/BioNTech,Lombardia,50-59,3737.0
77917,2021-06-26,Pfizer/BioNTech,Lombardia,60-69,737.0
77918,2021-06-26,Pfizer/BioNTech,Lombardia,70-79,317.0
77919,2021-06-26,Pfizer/BioNTech,Lombardia,80-89,96.0
77920,2021-06-26,Pfizer/BioNTech,Lombardia,90+,20.0
78083,2021-06-26,Vaxzevria (AstraZeneca),Lombardia,20-29,0.0
78084,2021-06-26,Vaxzevria (AstraZeneca),Lombardia,30-39,0.0
78085,2021-06-26,Vaxzevria (AstraZeneca),Lombardia,40-49,0.0
78086,2021-06-26,Vaxzevria (AstraZeneca),Lombardia,50-59,0.0
78087,2021-06-26,Vaxzevria (AstraZeneca),Lombardia,60-69,204.0
78088,2021-06-26,Vaxzevria (AstraZeneca),Lombardia,70-79,73.0
78089,2021-06-26,Vaxzevria (AstraZeneca),Lombardia,80-89,3.0
78090,2021-06-26,Vaxzevria (AstraZeneca),Lombardia,90+,1.0
78195,2021-06-27,Janssen,Lombardia,12-19,1.0
78196,2021-06-27,Janssen,Lombardia,20-29,36.0
78197,2021-06-27,Janssen,Lombardia,30-39,40.0
78198,2021-06-27,Janssen,Lombardia,40-49,52.0
78199,2021-06-27,Janssen,Lombardia,50-59,44.0
78200,2021-06-27,Janssen,Lombardia,60-69,193.0
78201,2021-06-27,Janssen,Lombardia,70-79,74.0
78202,2021-06-27,Janssen,Lombardia,80-89,15.0
78203,2021-06-27,Janssen,Lombardia,90+,3.0
78301,2021-06-27,Moderna,Lombardia,12-19,2.0
78302,2021-06-27,Moderna,Lombardia,20-29,49.0
78303,2021-06-27,Moderna,Lombardia,30-39,76.0
78304,2021-06-27,Moderna,Lombardia,40-49,77.0
78305,2021-06-27,Moderna,Lombardia,50-59,14.0
78306,2021-06-27,Moderna,Lombardia,60-69,4.0
78307,2021-06-27,Moderna,Lombardia,70-79,2.0
78308,2021-06-27,Moderna,Lombardia,80-89,1.0
78309,2021-06-27,Moderna,Lombardia,90+,1.0
78470,2021-06-27,Pfizer/BioNTech,Lombardia,12-19,12060.0
78471,2021-06-27,Pfizer/BioNTech,Lombardia,20-29,19421.0
78472,2021-06-27,Pfizer/BioNTech,Lombardia,30-39,19910.0
78473,2021-06-27,Pfizer/BioNTech,Lombardia,40-49,12996.0
78474,2021-06-27,Pfizer/BioNTech,Lombardia,50-59,3316.0
78475,2021-06-27,Pfizer/BioNTech,Lombardia,60-69,685.0
78476,2021-06-27,Pfizer/BioNTech,Lombardia,70-79,247.0
78477,2021-06-27,Pfizer/BioNTech,Lombardia,80-89,88.0
78478,2021-06-27,Pfizer/BioNTech,Lombardia,90+,18.0
78636,2021-06-27,Vaxzevria (AstraZeneca),Lombardia,20-29,0.0
78637,2021-06-27,Vaxzevria (AstraZeneca),Lombardia,30-39,0.0
78638,2021-06-27,Vaxzevria (AstraZeneca),Lombardia,40-49,0.0
78639,2021-06-27,Vaxzevria (AstraZeneca),Lombardia,50-59,0.0
78640,2021-06-27,Vaxzevria (AstraZeneca),Lombardia,60-69,148.0
78641,2021-06-27,Vaxzevria (AstraZeneca),Lombardia,70-79,54.0
78642,2021-06-27,Vaxzevria (AstraZeneca),Lombardia,80-89,7.0
78643,2021-06-27,Vaxzevria (AstraZeneca),Lombardia,90+,0.0
78734,2021-06-28,Janssen,Lombardia,20-29,15.0
78735,2021-06-28,Janssen,Lombardia,30-39,23.0
78736,2021-06-28,Janssen,Lombardia,40-49,28.0
78737,2021-06-28,Janssen,Lombardia,50-59,24.0
78738,2021-06-28,Janssen,Lombardia,60-69,136.0
78739,2021-06-28,Janssen,Lombardia,70-79,57.0
78740,2021-06-28,Janssen,Lombardia,80-89,7.0
78741,2021-06-28,Janssen,Lombardia,90+,2.0
78858,2021-06-28,Moderna,Lombardia,12-19,30.0
78859,2021-06-28,Moderna,Lombardia,20-29,224.0
78860,2021-06-28,Moderna,Lombardia,30-39,216.0
78861,2021-06-28,Moderna,Lombardia,40-49,130.0
78862,2021-06-28,Moderna,Lombardia,50-59,68.0
78863,2021-06-28,Moderna,Lombardia,60-69,33.0
78864,2021-06-28,Moderna,Lombardia,70-79,20.0
78865,2021-06-28,Moderna,Lombardia,80-89,23.0
78866,2021-06-28,Moderna,Lombardia,90+,12.0
79034,2021-06-28,Pfizer/BioNTech,Lombardia,12-19,16224.0
79035,2021-06-28,Pfizer/BioNTech,Lombardia,20-29,29517.0
79036,2021-06-28,Pfizer/BioNTech,Lombardia,30-39,15515.0
79037,2021-06-28,Pfizer/BioNTech,Lombardia,40-49,7067.0
79038,2021-06-28,Pfizer/BioNTech,Lombardia,50-59,3189.0
79039,2021-06-28,Pfizer/BioNTech,Lombardia,60-69,780.0
79040,2021-06-28,Pfizer/BioNTech,Lombardia,70-79,375.0
79041,2021-06-28,Pfizer/BioNTech,Lombardia,80-89,141.0
79042,2021-06-28,Pfizer/BioNTech,Lombardia,90+,26.0
79210,2021-06-28,Vaxzevria (AstraZeneca),Lombardia,20-29,0.0
79211,2021-06-28,Vaxzevria (AstraZeneca),Lombardia,30-39,0.0
79212,2021-06-28,Vaxzevria (AstraZeneca),Lombardia,40-49,0.0
79213,2021-06-28,Vaxzevria (AstraZeneca),Lombardia,50-59,0.0
79214,2021-06-28,Vaxzevria (AstraZeneca),Lombardia,60-69,176.0
79215,2021-06-28,Vaxzevria (AstraZeneca),Lombardia,70-79,57.0
79216,2021-06-28,Vaxzevria (AstraZeneca),Lombardia,80-89,10.0
79217,2021-06-28,Vaxzevria (AstraZeneca),Lombardia,90+,0.0
79341,2021-06-29,Janssen,Lombardia,20-29,11.0
79342,2021-06-29,Janssen,Lombardia,30-39,15.0
79343,2021-06-29,Janssen,Lombardia,40-49,4.0
79344,2021-06-29,Janssen,Lombardia,50-59,11.0
79345,2021-06-29,Janssen,Lombardia,60-69,104.0
79346,2021-06-29,Janssen,Lombardia,70-79,39.0
79347,2021-06-29,Janssen,Lombardia,80-89,10.0
79466,2021-06-29,Moderna,Lombardia,12-19,46.0
79467,2021-06-29,Moderna,Lombardia,20-29,353.0
79468,2021-06-29,Moderna,Lombardia,30-39,93.0
79469,2021-06-29,Moderna,Lombardia,40-49,71.0
79470,2021-06-29,Moderna,Lombardia,50-59,50.0
79471,2021-06-29,Moderna,Lombardia,60-69,27.0
79472,2021-06-29,Moderna,Lombardia,70-79,37.0
79473,2021-06-29,Moderna,Lombardia,80-89,43.0
79474,2021-06-29,Moderna,Lombardia,90+,25.0
79649,2021-06-29,Pfizer/BioNTech,Lombardia,12-19,14543.0
79650,2021-06-29,Pfizer/BioNTech,Lombardia,20-29,26216.0
79651,2021-06-29,Pfizer/BioNTech,Lombardia,30-39,8436.0
79652,2021-06-29,Pfizer/BioNTech,Lombardia,40-49,4120.0
79653,2021-06-29,Pfizer/BioNTech,Lombardia,50-59,2035.0
79654,2021-06-29,Pfizer/BioNTech,Lombardia,60-69,495.0
79655,2021-06-29,Pfizer/BioNTech,Lombardia,70-79,192.0
79656,2021-06-29,Pfizer/BioNTech,Lombardia,80-89,77.0
79657,2021-06-29,Pfizer/BioNTech,Lombardia,90+,17.0
79825,2021-06-29,Vaxzevria (AstraZeneca),Lombardia,20-29,0.0
79826,2021-06-29,Vaxzevria (AstraZeneca),Lombardia,30-39,0.0
79827,2021-06-29,Vaxzevria (AstraZeneca),Lombardia,40-49,0.0
79828,2021-06-29,Vaxzevria (AstraZeneca),Lombardia,50-59,0.0
79829,2021-06-29,Vaxzevria (AstraZeneca),Lombardia,60-69,156.0
79830,2021-06-29,Vaxzevria (AstraZeneca),Lombardia,70-79,49.0
79831,2021-06-29,Vaxzevria (AstraZeneca),Lombardia,80-89,4.0
79832,2021-06-29,Vaxzevria (AstraZeneca),Lombardia,90+,2.0
79957,2021-06-30,Janssen,Lombardia,20-29,9.0
79958,2021-06-30,Janssen,Lombardia,30-39,15.0
79959,2021-06-30,Janssen,Lombardia,40-49,19.0
79960,2021-06-30,Janssen,Lombardia,50-59,17.0
79961,2021-06-30,Janssen,Lombardia,60-69,149.0
79962,2021-06-30,Janssen,Lombardia,70-79,67.0
79963,2021-06-30,Janssen,Lombardia,80-89,4.0
80084,2021-06-30,Moderna,Lombardia,12-19,29.0
80085,2021-06-30,Moderna,Lombardia,20-29,280.0
80086,2021-06-30,Moderna,Lombardia,30-39,78.0
80087,2021-06-30,Moderna,Lombardia,40-49,68.0
80088,2021-06-30,Moderna,Lombardia,50-59,50.0
80089,2021-06-30,Moderna,Lombardia,60-69,25.0
80090,2021-06-30,Moderna,Lombardia,70-79,28.0
80091,2021-06-30,Moderna,Lombardia,80-89,22.0
80092,2021-06-30,Moderna,Lombardia,90+,13.0
80269,2021-06-30,Pfizer/BioNTech,Lombardia,12-19,15248.0
80270,2021-06-30,Pfizer/BioNTech,Lombardia,20-29,26221.0
80271,2021-06-30,Pfizer/BioNTech,Lombardia,30-39,7162.0
80272,2021-06-30,Pfizer/BioNTech,Lombardia,40-49,3937.0
80273,2021-06-30,Pfizer/BioNTech,Lombardia,50-59,2028.0
80274,2021-06-30,Pfizer/BioNTech,Lombardia,60-69,438.0
80275,2021-06-30,Pfizer/BioNTech,Lombardia,70-79,227.0
80276,2021-06-30,Pfizer/BioNTech,Lombardia,80-89,76.0
80277,2021-06-30,Pfizer/BioNTech,Lombardia,90+,22.0
80443,2021-06-30,Vaxzevria (AstraZeneca),Lombardia,20-29,0.0
80444,2021-06-30,Vaxzevria (AstraZeneca),Lombardia,30-39,0.0
80445,2021-06-30,Vaxzevria (AstraZeneca),Lombardia,40-49,0.0
80446,2021-06-30,Vaxzevria (AstraZeneca),Lombardia,50-59,1.0
80447,2021-06-30,Vaxzevria (AstraZeneca),Lombardia,60-69,141.0
80448,2021-06-30,Vaxzevria (AstraZeneca),Lombardia,70-79,35.0
80449,2021-06-30,Vaxzevria (AstraZeneca),Lombardia,80-89,9.0
80450,2021-06-30,Vaxzevria (AstraZeneca),Lombardia,90+,0.0
80566,2021-07-01,Janssen,Lombardia,12-19,1.0
80567,2021-07-01,Janssen,Lombardia,20-29,15.0
80568,2021-07-01,Janssen,Lombardia,30-39,14.0
80569,2021-07-01,Janssen,Lombardia,40-49,11.0
80570,2021-07-01,Janssen,Lombardia,50-59,13.0
80571,2021-07-01,Janssen,Lombardia,60-69,129.0
80572,2021-07-01,Janssen,Lombardia,70-79,64.0
80573,2021-07-01,Janssen,Lombardia,80-89,5.0
80574,2021-07-01,Janssen,Lombardia,90+,2.0
80698,2021-07-01,Moderna,Lombardia,12-19,20.0
80699,2021-07-01,Moderna,Lombardia,20-29,194.0
80700,2021-07-01,Moderna,Lombardia,30-39,54.0
80701,2021-07-01,Moderna,Lombardia,40-49,29.0
80702,2021-07-01,Moderna,Lombardia,50-59,34.0
80703,2021-07-01,Moderna,Lombardia,60-69,14.0
80704,2021-07-01,Moderna,Lombardia,70-79,8.0
80705,2021-07-01,Moderna,Lombardia,80-89,14.0
80706,2021-07-01,Moderna,Lombardia,90+,13.0
80874,2021-07-01,Pfizer/BioNTech,Lombardia,12-19,14713.0
80875,2021-07-01,Pfizer/BioNTech,Lombardia,20-29,25124.0
80876,2021-07-01,Pfizer/BioNTech,Lombardia,30-39,6058.0
80877,2021-07-01,Pfizer/BioNTech,Lombardia,40-49,3709.0
80878,2021-07-01,Pfizer/BioNTech,Lombardia,50-59,1951.0
80879,2021-07-01,Pfizer/BioNTech,Lombardia,60-69,470.0
80880,2021-07-01,Pfizer/BioNTech,Lombardia,70-79,219.0
80881,2021-07-01,Pfizer/BioNTech,Lombardia,80-89,83.0
80882,2021-07-01,Pfizer/BioNTech,Lombardia,90+,23.0
81045,2021-07-01,Vaxzevria (AstraZeneca),Lombardia,20-29,0.0
81046,2021-07-01,Vaxzevria (AstraZeneca),Lombardia,30-39,0.0
81047,2021-07-01,Vaxzevria (AstraZeneca),Lombardia,40-49,0.0
81048,2021-07-01,Vaxzevria (AstraZeneca),Lombardia,50-59,0.0
81049,2021-07-01,Vaxzevria (AstraZeneca),Lombardia,60-69,132.0
81050,2021-07-01,Vaxzevria (AstraZeneca),Lombardia,70-79,54.0
81051,2021-07-01,Vaxzevria (AstraZeneca),Lombardia,80-89,10.0
81052,2021-07-01,Vaxzevria (AstraZeneca),Lombardia,90+,1.0
81162,2021-07-02,Janssen,Lombardia,20-29,6.0
81163,2021-07-02,Janssen,Lombardia,30-39,5.0
81164,2021-07-02,Janssen,Lombardia,40-49,9.0
81165,2021-07-02,Janssen,Lombardia,50-59,11.0
81166,2021-07-02,Janssen,Lombardia,60-69,94.0
81167,2021-07-02,Janssen,Lombardia,70-79,33.0
81168,2021-07-02,Janssen,Lombardia,80-89,7.0
81293,2021-07-02,Moderna,Lombardia,12-19,240.0
81294,2021-07-02,Moderna,Lombardia,20-29,1025.0
81295,2021-07-02,Moderna,Lombardia,30-39,387.0
81296,2021-07-02,Moderna,Lombardia,40-49,284.0
81297,2021-07-02,Moderna,Lombardia,50-59,146.0
81298,2021-07-02,Moderna,Lombardia,60-69,55.0
81299,2021-07-02,Moderna,Lombardia,70-79,23.0
81300,2021-07-02,Moderna,Lombardia,80-89,33.0
81301,2021-07-02,Moderna,Lombardia,90+,18.0
81474,2021-07-02,Pfizer/BioNTech,Lombardia,12-19,13183.0
81475,2021-07-02,Pfizer/BioNTech,Lombardia,20-29,22099.0
81476,2021-07-02,Pfizer/BioNTech,Lombardia,30-39,4999.0
81477,2021-07-02,Pfizer/BioNTech,Lombardia,40-49,3297.0
81478,2021-07-02,Pfizer/BioNTech,Lombardia,50-59,1807.0
81479,2021-07-02,Pfizer/BioNTech,Lombardia,60-69,455.0
81480,2021-07-02,Pfizer/BioNTech,Lombardia,70-79,209.0
81481,2021-07-02,Pfizer/BioNTech,Lombardia,80-89,90.0
81482,2021-07-02,Pfizer/BioNTech,Lombardia,90+,19.0
81648,2021-07-02,Vaxzevria (AstraZeneca),Lombardia,20-29,0.0
81649,2021-07-02,Vaxzevria (AstraZeneca),Lombardia,30-39,0.0
81650,2021-07-02,Vaxzevria (AstraZeneca),Lombardia,40-49,0.0
81651,2021-07-02,Vaxzevria (AstraZeneca),Lombardia,50-59,0.0
81652,2021-07-02,Vaxzevria (AstraZeneca),Lombardia,60-69,153.0
81653,2021-07-02,Vaxzevria (AstraZeneca),Lombardia,70-79,54.0
81654,2021-07-02,Vaxzevria (AstraZeneca),Lombardia,80-89,9.0
81655,2021-07-02,Vaxzevria (AstraZeneca),Lombardia,90+,1.0
81765,2021-07-03,Janssen,Lombardia,12-19,4.0
81766,2021-07-03,Janssen,Lombardia,20-29,9.0
81767,2021-07-03,Janssen,Lombardia,30-39,5.0
81768,2021-07-03,Janssen,Lombardia,40-49,5.0
81769,2021-07-03,Janssen,Lombardia,50-59,21.0
81770,2021-07-03,Janssen,Lombardia,60-69,110.0
81771,2021-07-03,Janssen,Lombardia,70-79,52.0
81772,2021-07-03,Janssen,Lombardia,80-89,5.0
81773,2021-07-03,Janssen,Lombardia,90+,3.0
81882,2021-07-03,Moderna,Lombardia,12-19,844.0
81883,2021-07-03,Moderna,Lombardia,20-29,4632.0
81884,2021-07-03,Moderna,Lombardia,30-39,862.0
81885,2021-07-03,Moderna,Lombardia,40-49,553.0
81886,2021-07-03,Moderna,Lombardia,50-59,307.0
81887,2021-07-03,Moderna,Lombardia,60-69,56.0
81888,2021-07-03,Moderna,Lombardia,70-79,29.0
81889,2021-07-03,Moderna,Lombardia,80-89,8.0
81890,2021-07-03,Moderna,Lombardia,90+,0.0
82049,2021-07-03,Pfizer/BioNTech,Lombardia,12-19,11302.0
82050,2021-07-03,Pfizer/BioNTech,Lombardia,20-29,15712.0
82051,2021-07-03,Pfizer/BioNTech,Lombardia,30-39,4384.0
82052,2021-07-03,Pfizer/BioNTech,Lombardia,40-49,3101.0
82053,2021-07-03,Pfizer/BioNTech,Lombardia,50-59,1685.0
82054,2021-07-03,Pfizer/BioNTech,Lombardia,60-69,368.0
82055,2021-07-03,Pfizer/BioNTech,Lombardia,70-79,159.0
82056,2021-07-03,Pfizer/BioNTech,Lombardia,80-89,60.0
82057,2021-07-03,Pfizer/BioNTech,Lombardia,90+,15.0
82213,2021-07-03,Vaxzevria (AstraZeneca),Lombardia,20-29,0.0
82214,2021-07-03,Vaxzevria (AstraZeneca),Lombardia,30-39,0.0
82215,2021-07-03,Vaxzevria (AstraZeneca),Lombardia,40-49,0.0
82216,2021-07-03,Vaxzevria (AstraZeneca),Lombardia,50-59,0.0
82217,2021-07-03,Vaxzevria (AstraZeneca),Lombardia,60-69,137.0
82218,2021-07-03,Vaxzevria (AstraZeneca),Lombardia,70-79,54.0
82219,2021-07-03,Vaxzevria (AstraZeneca),Lombardia,80-89,8.0
82220,2021-07-03,Vaxzevria (AstraZeneca),Lombardia,90+,1.0
82322,2021-07-04,Janssen,Lombardia,20-29,8.0
82323,2021-07-04,Janssen,Lombardia,30-39,6.0
82324,2021-07-04,Janssen,Lombardia,40-49,12.0
82325,2021-07-04,Janssen,Lombardia,50-59,11.0
82326,2021-07-04,Janssen,Lombardia,60-69,255.0
82327,2021-07-04,Janssen,Lombardia,70-79,90.0
82328,2021-07-04,Janssen,Lombardia,80-89,12.0
82432,2021-07-04,Moderna,Lombardia,12-19,714.0
82433,2021-07-04,Moderna,Lombardia,20-29,3713.0
82434,2021-07-04,Moderna,Lombardia,30-39,749.0
82435,2021-07-04,Moderna,Lombardia,40-49,521.0
82436,2021-07-04,Moderna,Lombardia,50-59,298.0
82437,2021-07-04,Moderna,Lombardia,60-69,50.0
82438,2021-07-04,Moderna,Lombardia,70-79,34.0
82439,2021-07-04,Moderna,Lombardia,80-89,12.0
82440,2021-07-04,Moderna,Lombardia,90+,1.0
82590,2021-07-04,Pfizer/BioNTech,Lombardia,12-19,10587.0
82591,2021-07-04,Pfizer/BioNTech,Lombardia,20-29,13737.0
82592,2021-07-04,Pfizer/BioNTech,Lombardia,30-39,4042.0
82593,2021-07-04,Pfizer/BioNTech,Lombardia,40-49,3013.0
82594,2021-07-04,Pfizer/BioNTech,Lombardia,50-59,1543.0
82595,2021-07-04,Pfizer/BioNTech,Lombardia,60-69,298.0
82596,2021-07-04,Pfizer/BioNTech,Lombardia,70-79,128.0
82597,2021-07-04,Pfizer/BioNTech,Lombardia,80-89,55.0
82598,2021-07-04,Pfizer/BioNTech,Lombardia,90+,11.0
82753,2021-07-04,Vaxzevria (AstraZeneca),Lombardia,20-29,0.0
82754,2021-07-04,Vaxzevria (AstraZeneca),Lombardia,30-39,0.0
82755,2021-07-04,Vaxzevria (AstraZeneca),Lombardia,40-49,0.0
82756,2021-07-04,Vaxzevria (AstraZeneca),Lombardia,50-59,0.0
82757,2021-07-04,Vaxzevria (AstraZeneca),Lombardia,60-69,140.0
82758,2021-07-04,Vaxzevria (AstraZeneca),Lombardia,70-79,45.0
82759,2021-07-04,Vaxzevria (AstraZeneca),Lombardia,80-89,7.0
82760,2021-07-04,Vaxzevria (AstraZeneca),Lombardia,90+,0.0
82850,2021-07-05,Janssen,Lombardia,20-29,5.0
82851,2021-07-05,Janssen,Lombardia,30-39,5.0
82852,2021-07-05,Janssen,Lombardia,40-49,8.0
82853,2021-07-05,Janssen,Lombardia,50-59,18.0
82854,2021-07-05,Janssen,Lombardia,60-69,76.0
82855,2021-07-05,Janssen,Lombardia,70-79,33.0
82856,2021-07-05,Janssen,Lombardia,80-89,5.0
82964,2021-07-05,Moderna,Lombardia,12-19,768.0
82965,2021-07-05,Moderna,Lombardia,20-29,4375.0
82966,2021-07-05,Moderna,Lombardia,30-39,1354.0
82967,2021-07-05,Moderna,Lombardia,40-49,953.0
82968,2021-07-05,Moderna,Lombardia,50-59,476.0
82969,2021-07-05,Moderna,Lombardia,60-69,114.0
82970,2021-07-05,Moderna,Lombardia,70-79,36.0
82971,2021-07-05,Moderna,Lombardia,80-89,45.0
82972,2021-07-05,Moderna,Lombardia,90+,17.0
83147,2021-07-05,Pfizer/BioNTech,Lombardia,12-19,8021.0
83148,2021-07-05,Pfizer/BioNTech,Lombardia,20-29,9216.0
83149,2021-07-05,Pfizer/BioNTech,Lombardia,30-39,2441.0
83150,2021-07-05,Pfizer/BioNTech,Lombardia,40-49,1824.0
83151,2021-07-05,Pfizer/BioNTech,Lombardia,50-59,990.0
83152,2021-07-05,Pfizer/BioNTech,Lombardia,60-69,285.0
83153,2021-07-05,Pfizer/BioNTech,Lombardia,70-79,120.0
83154,2021-07-05,Pfizer/BioNTech,Lombardia,80-89,41.0
83155,2021-07-05,Pfizer/BioNTech,Lombardia,90+,7.0
83315,2021-07-05,Vaxzevria (AstraZeneca),Lombardia,20-29,0.0
83316,2021-07-05,Vaxzevria (AstraZeneca),Lombardia,30-39,0.0
83317,2021-07-05,Vaxzevria (AstraZeneca),Lombardia,40-49,0.0
83318,2021-07-05,Vaxzevria (AstraZeneca),Lombardia,50-59,0.0
83319,2021-07-05,Vaxzevria (AstraZeneca),Lombardia,60-69,121.0
83320,2021-07-05,Vaxzevria (AstraZeneca),Lombardia,70-79,36.0
83321,2021-07-05,Vaxzevria (AstraZeneca),Lombardia,80-89,8.0
83322,2021-07-05,Vaxzevria (AstraZeneca),Lombardia,90+,0.0
83430,2021-07-06,Janssen,Lombardia,20-29,9.0
83431,2021-07-06,Janssen,Lombardia,30-39,22.0
83432,2021-07-06,Janssen,Lombardia,40-49,27.0
83433,2021-07-06,Janssen,Lombardia,50-59,30.0
83434,2021-07-06,Janssen,Lombardia,60-69,84.0
83435,2021-07-06,Janssen,Lombardia,70-79,19.0
83436,2021-07-06,Janssen,Lombardia,80-89,2.0
83437,2021-07-06,Janssen,Lombardia,90+,1.0
83557,2021-07-06,Moderna,Lombardia,12-19,621.0
83558,2021-07-06,Moderna,Lombardia,20-29,3873.0
83559,2021-07-06,Moderna,Lombardia,30-39,1360.0
83560,2021-07-06,Moderna,Lombardia,40-49,1004.0
83561,2021-07-06,Moderna,Lombardia,50-59,580.0
83562,2021-07-06,Moderna,Lombardia,60-69,107.0
83563,2021-07-06,Moderna,Lombardia,70-79,49.0
83564,2021-07-06,Moderna,Lombardia,80-89,21.0
83565,2021-07-06,Moderna,Lombardia,90+,17.0
83742,2021-07-06,Pfizer/BioNTech,Lombardia,12-19,5326.0
83743,2021-07-06,Pfizer/BioNTech,Lombardia,20-29,5526.0
83744,2021-07-06,Pfizer/BioNTech,Lombardia,30-39,1753.0
83745,2021-07-06,Pfizer/BioNTech,Lombardia,40-49,1351.0
83746,2021-07-06,Pfizer/BioNTech,Lombardia,50-59,766.0
83747,2021-07-06,Pfizer/BioNTech,Lombardia,60-69,223.0
83748,2021-07-06,Pfizer/BioNTech,Lombardia,70-79,94.0
83749,2021-07-06,Pfizer/BioNTech,Lombardia,80-89,40.0
83750,2021-07-06,Pfizer/BioNTech,Lombardia,90+,13.0
83913,2021-07-06,Vaxzevria (AstraZeneca),Lombardia,30-39,0.0
83914,2021-07-06,Vaxzevria (AstraZeneca),Lombardia,40-49,0.0
83915,2021-07-06,Vaxzevria (AstraZeneca),Lombardia,50-59,0.0
83916,2021-07-06,Vaxzevria (AstraZeneca),Lombardia,60-69,98.0
83917,2021-07-06,Vaxzevria (AstraZeneca),Lombardia,70-79,39.0
83918,2021-07-06,Vaxzevria (AstraZeneca),Lombardia,80-89,3.0
83919,2021-07-06,Vaxzevria (AstraZeneca),Lombardia,90+,0.0
84023,2021-07-07,Janssen,Lombardia,12-19,1.0
84024,2021-07-07,Janssen,Lombardia,20-29,2.0
84025,2021-07-07,Janssen,Lombardia,30-39,1.0
84026,2021-07-07,Janssen,Lombardia,40-49,10.0
84027,2021-07-07,Janssen,Lombardia,50-59,11.0
84028,2021-07-07,Janssen,Lombardia,60-69,73.0
84029,2021-07-07,Janssen,Lombardia,70-79,40.0
84030,2021-07-07,Janssen,Lombardia,80-89,3.0
84150,2021-07-07,Moderna,Lombardia,12-19,657.0
84151,2021-07-07,Moderna,Lombardia,20-29,3947.0
84152,2021-07-07,Moderna,Lombardia,30-39,1352.0
84153,2021-07-07,Moderna,Lombardia,40-49,1042.0
84154,2021-07-07,Moderna,Lombardia,50-59,547.0
84155,2021-07-07,Moderna,Lombardia,60-69,132.0
84156,2021-07-07,Moderna,Lombardia,70-79,59.0
84157,2021-07-07,Moderna,Lombardia,80-89,34.0
84158,2021-07-07,Moderna,Lombardia,90+,8.0
84335,2021-07-07,Pfizer/BioNTech,Lombardia,12-19,3837.0
84336,2021-07-07,Pfizer/BioNTech,Lombardia,20-29,3453.0
84337,2021-07-07,Pfizer/BioNTech,Lombardia,30-39,1099.0
84338,2021-07-07,Pfizer/BioNTech,Lombardia,40-49,810.0
84339,2021-07-07,Pfizer/BioNTech,Lombardia,50-59,427.0
84340,2021-07-07,Pfizer/BioNTech,Lombardia,60-69,145.0
84341,2021-07-07,Pfizer/BioNTech,Lombardia,70-79,81.0
84342,2021-07-07,Pfizer/BioNTech,Lombardia,80-89,51.0
84343,2021-07-07,Pfizer/BioNTech,Lombardia,90+,13.0
84510,2021-07-07,Vaxzevria (AstraZeneca),Lombardia,20-29,0.0
84511,2021-07-07,Vaxzevria (AstraZeneca),Lombardia,30-39,0.0
84512,2021-07-07,Vaxzevria (AstraZeneca),Lombardia,40-49,0.0
84513,2021-07-07,Vaxzevria (AstraZeneca),Lombardia,50-59,0.0
84514,2021-07-07,Vaxzevria (AstraZeneca),Lombardia,60-69,90.0
84515,2021-07-07,Vaxzevria (AstraZeneca),Lombardia,70-79,37.0
84516,2021-07-07,Vaxzevria (AstraZeneca),Lombardia,80-89,7.0
84517,2021-07-07,Vaxzevria (AstraZeneca),Lombardia,90+,0.0
84637,2021-07-08,Janssen,Lombardia,30-39,1.0
84638,2021-07-08,Janssen,Lombardia,40-49,3.0
84639,2021-07-08,Janssen,Lombardia,50-59,14.0
84640,2021-07-08,Janssen,Lombardia,60-69,119.0
84641,2021-07-08,Janssen,Lombardia,70-79,59.0
84642,2021-07-08,Janssen,Lombardia,80-89,9.0
84643,2021-07-08,Janssen,Lombardia,90+,2.0
84764,2021-07-08,Moderna,Lombardia,12-19,430.0
84765,2021-07-08,Moderna,Lombardia,20-29,2545.0
84766,2021-07-08,Moderna,Lombardia,30-39,868.0
84767,2021-07-08,Moderna,Lombardia,40-49,629.0
84768,2021-07-08,Moderna,Lombardia,50-59,335.0
84769,2021-07-08,Moderna,Lombardia,60-69,76.0
84770,2021-07-08,Moderna,Lombardia,70-79,34.0
84771,2021-07-08,Moderna,Lombardia,80-89,35.0
84772,2021-07-08,Moderna,Lombardia,90+,16.0
84942,2021-07-08,Pfizer/BioNTech,Lombardia,12-19,2879.0
84943,2021-07-08,Pfizer/BioNTech,Lombardia,20-29,2770.0
84944,2021-07-08,Pfizer/BioNTech,Lombardia,30-39,936.0
84945,2021-07-08,Pfizer/BioNTech,Lombardia,40-49,693.0
84946,2021-07-08,Pfizer/BioNTech,Lombardia,50-59,398.0
