id,Delta,R0,i0_q,r0_q,start_week_delta,t_alpha_delta
9486,60.0,1.2239936912934357,0.004775498747063006,0.1672305854777037,6.0,30.0
9487,57.0,1.2930907937834062,0.004764434919657193,0.23856451736550333,6.0,34.0
9488,58.0,1.3251884074036666,0.0038566182335641516,0.32837952704306134,5.0,15.0
9489,54.0,1.6379657837675086,0.004030745814324865,0.39092101874030216,7.0,41.0
9490,61.0,1.3879585611409042,0.007785407156702756,0.3305213337007594,6.0,18.0
9491,61.0,1.3805223534666837,0.005906778224306203,0.3678343564673906,6.0,20.0
9492,63.0,1.4348755615164306,0.0044842426581730085,0.34292818212574167,5.0,34.0
9493,58.0,1.5525253451246321,0.0031733095990471873,0.3755310392104883,6.0,42.0
9494,54.0,1.3484786242382236,0.00556450887899348,0.37779049911793977,7.0,35.0
9495,62.0,1.3010523166032775,0.004751594343122617,0.2882176410600542,4.0,27.0
9496,54.0,1.4925052750604788,0.0036298047840285915,0.3728121885645634,5.0,42.0
9497,60.0,1.083878294246203,0.005977115655863346,0.21791178595434196,7.0,8.0
9498,62.0,1.3062889391505643,0.005307500897339687,0.27523180718108453,5.0,6.0
9499,58.0,1.479211777325678,0.00573987056155528,0.31892599533571353,6.0,42.0
9500,54.0,1.2539419942033276,0.005087535888854436,0.2619451258791708,6.0,37.0
9501,55.0,1.1671331666990425,0.003796356518505026,0.13792988918388438,5.0,42.0
9502,48.0,1.2564950340128895,0.006373360258247071,0.2661953338064309,7.0,38.0
9503,60.0,1.4453252596853194,0.004214656746713095,0.38666276217480067,5.0,19.0
9504,53.0,1.3231681397421513,0.004194609506907588,0.32197825932022395,7.0,3.0
9505,60.0,1.4071183674987535,0.005323238985000932,0.35228720750302656,5.0,8.0
9506,58.0,1.3878348866264087,0.002479072345181647,0.27110172871609783,5.0,42.0
9507,61.0,1.4428470185557873,0.004051954274756091,0.3760807664840936,7.0,20.0
9508,60.0,1.3084907335570217,0.0045160644153863306,0.26002848025110037,7.0,28.0
9509,61.0,1.2747149902203732,0.004468693048518971,0.2595122071439882,7.0,42.0
9510,61.0,1.1593243605427626,0.004254333186865015,0.1389723866947084,6.0,41.0
9511,57.0,1.3578019822689742,0.0032386252635885444,0.29508012873356754,7.0,37.0
9512,54.0,1.0570535573690232,0.0059176577452298975,0.13390946732676884,7.0,4.0
9513,55.0,1.3514959882881237,0.0036954094607658744,0.2790189018550916,6.0,25.0
9514,62.0,1.4383962503105754,0.0037621053711086793,0.296993508798539,4.0,38.0
9515,46.0,1.5256588421860093,0.004964404430705024,0.38004501985440287,6.0,10.0
9516,60.0,1.3639581470805477,0.0041624876412678395,0.36283996770118915,7.0,32.0
9517,60.0,1.3470789638587661,0.005245669631853196,0.3027749750527606,7.0,38.0
9518,63.0,1.363153066523647,0.002646655885773893,0.2574353900291404,6.0,26.0
9519,59.0,1.2781420016344849,0.006650533890487769,0.27941027193824447,5.0,41.0
9520,58.0,1.0548979506695841,0.005086334638706658,0.14614510534205133,7.0,1.0
9521,61.0,1.493871218561813,0.0055638766108282835,0.36172476734922415,7.0,23.0
9522,61.0,1.3293844108316046,0.0028668270621587284,0.30771967220415775,5.0,22.0
9523,60.0,1.2415317002354285,0.003914020907205363,0.27563460162518943,5.0,1.0
9524,61.0,1.273585562119137,0.004308402038121402,0.21948697328576552,4.0,37.0
9525,62.0,1.4779731337025752,0.006550292321486332,0.39683396646482016,6.0,19.0
9526,49.0,1.4896586364047444,0.004617142238632691,0.36257122703633704,7.0,32.0
9527,62.0,1.2144487193006241,0.005026251979891255,0.2808432113521302,7.0,42.0
9528,58.0,1.4412166132494932,0.00636962515430467,0.34881798443358586,5.0,36.0
9529,59.0,1.1210834233587388,0.0036481670194942707,0.16579888793673184,5.0,39.0
9530,62.0,1.2381753075644109,0.002765520189069147,0.2370751984302043,5.0,27.0
9531,55.0,1.0985785087296336,0.00530820980866968,0.1722546297304843,7.0,34.0
9532,61.0,1.4244001442487895,0.00495920949651861,0.30324588403563096,7.0,40.0
9533,54.0,1.2139411126043993,0.005259497673465384,0.18971090088100961,7.0,39.0
9534,62.0,1.424787106149967,0.005764689643302301,0.33541102489113767,6.0,33.0
9535,51.0,1.369975042634252,0.003442992963769187,0.30147759258654516,6.0,36.0
9536,54.0,1.3667762662440492,0.006140989002834436,0.3119615119471282,5.0,41.0
9537,60.0,1.33356350688946,0.0040052666542445955,0.36285017207909265,7.0,15.0
9538,60.0,1.205165985735433,0.0036867079324801435,0.21441637457017837,7.0,24.0
9539,62.0,1.1659017300639585,0.005835758210265993,0.21482534639943543,6.0,16.0
9540,59.0,1.4501667555150355,0.004518016506457759,0.33984465308021944,6.0,16.0
9541,53.0,1.2049993150729905,0.004754166482288755,0.23728060576278895,7.0,31.0
9542,54.0,1.4262390388165485,0.004168753286383337,0.29420101652122077,5.0,42.0
9543,61.0,1.1973410571218772,0.006362653526066567,0.22075393281458355,5.0,18.0
9544,62.0,1.3548808437833784,0.0053917131604416515,0.3378236273726398,7.0,15.0
9545,51.0,1.3927032089070888,0.005401827296386415,0.31786098247174815,7.0,26.0
9546,57.0,1.3101305861661687,0.004157944074144863,0.28288763975377806,6.0,17.0
9547,59.0,1.232650463904865,0.0043879937569807,0.27977252763101285,7.0,31.0
9548,54.0,1.1301056788874557,0.004220073231951045,0.1588881913825695,7.0,34.0
9549,59.0,1.5599718672781184,0.0033655257828249393,0.3954210643274706,4.0,40.0
9550,57.0,1.239807458788895,0.005195652650852269,0.23113725267261975,7.0,42.0
9551,55.0,1.2707011538925697,0.0055947118085980935,0.24183284891275647,6.0,28.0
9552,61.0,1.2023410262727827,0.004220019512571203,0.20344459822046343,6.0,27.0
9553,61.0,1.3627195752140417,0.004447663657830855,0.29717820580682086,7.0,0.0
9554,62.0,1.3505450582817988,0.004234435908057409,0.3459856091853336,7.0,32.0
9555,61.0,1.4471606570550741,0.005244170984728452,0.36061162699545246,7.0,6.0
9556,61.0,1.4859334121360532,0.0035364806461343503,0.3348218502693575,4.0,42.0
9557,61.0,1.080600235597653,0.004582545691425879,0.22106110856730896,3.0,42.0
9558,52.0,1.3452479231630055,0.007091345985363731,0.2921242446350839,7.0,42.0
9559,59.0,1.2899895498127376,0.004903716395330317,0.3173278030950145,7.0,13.0
9560,61.0,1.342766365306841,0.00432004141014988,0.3335937996560886,7.0,41.0
9561,63.0,1.614360343050364,0.0028588577843836178,0.39196354282211926,6.0,42.0
