id,Delta,R0,alpha,gamma,i0_q,r,r0_q,start_week_delta,t_alpha_delta
9437,58.0,1.444342990135274,-3.37221787909593,-4.969260491873168,0.005331149829319573,1.3699521894135664,0.34437707111683413,5.0,34.0
9438,59.0,1.3385951993653684,-1.4005638939557365,0.9350353363203269,0.003274964182296872,1.3252120563391725,0.24481689937014744,6.0,38.0
9439,58.0,1.094346823553933,1.1755170033719997,-6.710264009080862,0.004584555055357753,1.4430068219770222,0.15668170894494632,7.0,41.0
9440,49.0,1.4402812978841557,-2.6217882446226923,-4.664708845108606,0.0037499179381532367,1.1419115552250474,0.3739120031007704,7.0,36.0
9441,58.0,1.2758721061198304,-3.76112541122614,-4.03030325680375,0.004602116460736177,1.0489265762479416,0.32782820485291475,7.0,22.0
9442,61.0,1.0388451777822534,0.5814165250961242,-0.02374110121038453,0.005852203175340084,1.2637489747636994,0.15577677499415027,6.0,7.0
9443,61.0,1.4383938125262545,1.2855048595881422,-4.764650348435563,0.004321384873602974,1.1940173336657396,0.3584395424751141,7.0,16.0
9444,55.0,1.398826779656202,-0.6115323546153484,-1.6240838062581027,0.003705662147309619,1.4001992592640509,0.308890099705722,7.0,42.0
9445,48.0,1.1984055633562967,-6.439073692233463,-7.780469549939429,0.006237550113500322,1.0888842200202793,0.18122443184825576,7.0,36.0
9446,60.0,1.3947920778876028,-7.909536264401466,2.1617103456605284,0.0060790761021166425,1.3793173072480538,0.3275872031924536,6.0,20.0
9447,58.0,1.4230514489726795,-0.20293100741893866,-8.415118165354134,0.00402638156924228,1.2401486356387235,0.3322249628192375,6.0,31.0
9448,55.0,1.3755787563476591,-7.939987191439045,1.3125939352140081,0.005356957365344025,1.045874135810387,0.31274219852087676,6.0,38.0
9449,60.0,1.3773814995262001,-2.9435807637734555,1.8464077254444327,0.004904173087090444,1.3790992019177157,0.3791011998633281,7.0,7.0
9450,61.0,1.35263526061338,2.2172336991046526,-8.115735555104793,0.003093753825572128,1.1390596435308997,0.2711755922562774,6.0,41.0
9451,63.0,1.3071988903759597,-5.038144873821678,-2.5180717562200936,0.00415624960987099,1.0497090922406282,0.3520745083618633,3.0,26.0
9452,62.0,1.4210623196225172,-8.095414859665333,-0.551710807192356,0.003950978487639075,1.2316468555674753,0.36495257623187427,7.0,22.0
9453,59.0,1.4355418904150286,-5.953645722018647,-3.291731860711006,0.005034062146472178,1.2761037722651578,0.3216584960034815,5.0,34.0
9454,56.0,1.444305056778981,-2.7594396343344756,-5.1795657053497095,0.0049186173558638715,1.1612547459044427,0.3297346946555752,6.0,14.0
9455,55.0,1.2477812108521131,-2.4199858012421664,1.9326845146175635,0.005113026874994053,1.1968126730343374,0.262980289665175,7.0,42.0
9456,54.0,1.3986718608376822,-4.118544315749633,-1.2598577317015158,0.003685499441017777,1.1717989287191009,0.3496874492167968,6.0,13.0
9457,48.0,1.5703666893966384,-1.3170967128939433,-6.730275415202589,0.004165258093834247,1.392271550596794,0.35532478973534387,6.0,38.0
9458,61.0,1.5489754285108608,-6.749082758699453,-6.580903884945201,0.003019792582375985,1.2105203837830354,0.3724507196628814,7.0,42.0
9459,55.0,1.3012630620810464,-8.311628703708744,-4.599716612310444,0.005635867547679477,1.211454676284983,0.25918145712539925,7.0,27.0
9460,59.0,1.328747205809925,-2.718631240962518,-5.83951196657703,0.005615899564938969,1.226756311818548,0.2974027875956192,5.0,37.0
9461,55.0,1.4449798197513153,0.8312151434584404,-4.942651150992947,0.005373942982572459,1.106146887468814,0.38274265212952674,7.0,33.0
9462,60.0,1.09950990702185,-0.2688434125735506,0.14139557088175636,0.005423666370250277,1.1069777071796487,0.1178664926997019,6.0,36.0
9463,61.0,1.0782350860198098,2.2909707153035925,-6.922723884011244,0.004239388344742961,1.2551873576665726,0.1968633253571066,7.0,29.0
9464,59.0,1.2869423279342551,-8.82050209482966,-5.277592830566265,0.005448359595494912,1.129603581094074,0.2645972998919769,5.0,29.0
9465,59.0,1.3562161774023018,-5.719795000115636,-6.025454298483338,0.002974557195906583,1.3572248887879557,0.30764510415142954,7.0,33.0
9466,60.0,1.1941963039289232,-3.794024082521864,-1.9296009900353261,0.004526532457283358,1.3895306060566408,0.24606456389644038,7.0,34.0
9467,51.0,1.498481750385125,-6.6761546032410735,-1.674159427026505,0.004858842013680347,1.343898196284614,0.3420575366205921,7.0,33.0
9468,60.0,1.4004601528013871,-1.5736735831910607,-0.41852567808454655,0.004692095223201482,1.4269179950381041,0.3238062573821843,7.0,23.0
9469,62.0,1.4513183098974238,1.930919243018013,-7.576768216152821,0.004084902347179369,1.3998149926647485,0.33832473212603376,7.0,38.0
9470,53.0,1.3153895682484094,-4.1299719146674745,-6.210199360181946,0.004731725884445436,1.2081223759009463,0.33469845123729336,7.0,42.0
9471,61.0,1.2340271690094466,1.770896146590181,-7.241165347535085,0.005323761367519621,1.0860235123713968,0.24534105327247022,5.0,33.0
9472,61.0,1.323032863072306,-8.982477881300271,-4.2039530840482335,0.005549570055486452,1.0470724469018016,0.3019677957080711,7.0,36.0
9473,61.0,1.3288860281180204,-5.209215224695337,-8.921166010774348,0.006189260277873665,1.2644497674492743,0.3142300834298922,6.0,6.0
9474,63.0,1.082025285599243,-0.8027688970840235,-6.541146463903188,0.002309645822792393,1.3239257116327114,0.11444491165428802,7.0,36.0
9475,62.0,1.3514793190899101,-1.478978431263349,-1.5504143709674205,0.005617591445348447,1.0345165395575928,0.3213232936651034,6.0,5.0
9476,62.0,1.3309517052992368,-5.066511406153781,-4.584077060803876,0.005621438838696703,1.3491462227441051,0.29789078317082984,6.0,34.0
9477,55.0,1.223603610725169,-8.665303774942808,-8.272329016455558,0.004534613251277173,1.2618489293581066,0.2834921564994042,7.0,0.0
9478,60.0,1.4614094123896753,-0.4393258691292041,2.088950460252451,0.0052837730140925295,1.1605656368619768,0.3504003317777898,7.0,26.0
9479,59.0,1.2588566515122424,0.2950579090462948,-2.892187162371767,0.0034483874208964638,1.163736591774365,0.24314966132637378,6.0,41.0
9480,59.0,1.2211433777522875,-3.507282864792413,-3.9406289898820153,0.004252022292036286,1.3090225399333124,0.23593750641272293,7.0,37.0
9481,61.0,1.4454118149329063,1.2571158046814195,-5.552009176887438,0.0044661905798721755,1.364176500594238,0.30147050560197075,6.0,41.0
9482,54.0,1.4323694248721297,-6.57517453010896,-3.216317628578121,0.0056014554255325475,1.2147067223287855,0.35830983870413863,7.0,25.0
9483,61.0,1.2911099070744496,-3.5055871926280133,-2.5562338412343517,0.00582099812262327,1.1436409712343134,0.2555937177899162,6.0,7.0
9484,62.0,1.2165123569501948,1.2797844819472648,-6.35812857122011,0.0050740723754786965,1.1094402569478548,0.2161720286805956,5.0,24.0
9485,56.0,1.4772037475638045,-4.39931234474609,2.2603093942434187,0.005450670735038275,1.2575493875280026,0.3260029550733604,6.0,41.0
9486,62.0,1.3967812013597505,-5.717650506608468,-7.361182142492094,0.004385092749632433,1.0703401228975353,0.32677450152444226,5.0,15.0
9487,60.0,1.1938922810099828,-2.6735374676837784,-7.344847028541136,0.005627268708451408,1.1298777413468046,0.2439581138315422,7.0,32.0
9488,59.0,1.1784046143044615,-1.2227748167069217,-7.481659070655596,0.005331147706816922,1.1221857795725008,0.24279890457904382,5.0,26.0
9489,62.0,1.236046230277414,-3.4809034333583586,-3.292960171220039,0.0037898371574620862,1.0764955346704028,0.23117644114444164,4.0,34.0
9490,55.0,1.2077739920820685,-4.421012939606547,-7.990479031969017,0.005389545894523633,1.3289568986866047,0.2281566192296782,7.0,41.0
9491,63.0,1.3667552882493212,-5.854336769488837,-3.6563431033119707,0.004564585965347797,1.1363328578485576,0.30585974353450696,6.0,40.0
9492,61.0,1.3046126932705393,-7.031787395344773,-7.875569934392017,0.004448911009397621,1.2782901697029891,0.2984252704359654,7.0,37.0
9493,55.0,1.2312827757499427,-3.627476098765235,-0.6357252673149149,0.0036522138999310894,1.1280168597090714,0.2556993756150391,7.0,35.0
