id,Delta,R0,i0_q,r0_q,start_week_delta,t_alpha_delta
9080,24.0,1.6811268171866565,0.002323138476377939,0.30823269949170706,5.0,30.0
9081,33.0,1.297783842734084,0.004074343396205615,0.13029823310037292,4.0,27.0
9082,26.0,1.090407245484209,0.004964684786511711,0.31098267718929545,1.0,22.0
9083,19.0,1.1793517198944483,0.0016127882140994983,0.29550943690871323,0.0,39.0
9084,22.0,1.140612644938175,0.0055450718244679145,0.3558337380392402,0.0,23.0
9085,27.0,1.2624114615457755,0.002292933027478333,0.3743548767539757,0.0,33.0
9086,20.0,1.1141234870787164,0.0026688097266420077,0.25786807564633424,0.0,38.0
9087,23.0,1.585067888631658,0.001969718684063984,0.3726877705695937,3.0,22.0
9088,28.0,1.6170597375180016,0.0014590047403554073,0.3576309790565226,3.0,28.0
9089,30.0,1.0966545031459278,0.005165875872814892,0.33553480787426015,0.0,20.0
9090,35.0,1.2063673753628128,0.0028436206698544114,0.3682467425835875,1.0,34.0
9091,39.0,1.105830432092363,0.005716037909771484,0.32312598871757836,0.0,28.0
9092,30.0,1.2771481838064067,0.002000096948819108,0.24826699942724953,2.0,38.0
9093,29.0,1.7527252322196363,0.00286150787840427,0.3374579610055007,4.0,26.0
9094,21.0,1.4154313056278582,0.0014338395141982666,0.33081789527674876,2.0,39.0
9095,26.0,1.0728631902968426,0.0024049148807420034,0.25728338938816203,1.0,29.0
9096,41.0,1.3205871729496,0.001559744922592273,0.323784486106718,2.0,31.0
9097,38.0,1.014448169584931,0.00247302810321237,0.22404433130726503,1.0,40.0
9098,30.0,1.2670197372223044,0.003120180813298267,0.21713925065553943,3.0,24.0
9099,25.0,1.20568371017384,0.003072439565822463,0.3558792462507476,0.0,28.0
9100,30.0,1.4488839613204156,0.0027135764042169807,0.2592429793671981,3.0,40.0
9101,32.0,1.2393087561165224,0.003431581975937238,0.39222943938124444,0.0,29.0
9102,35.0,1.3741197266010412,0.0024741908459156793,0.20907352510211163,3.0,34.0
9103,19.0,1.102042107486494,0.0031155594871652152,0.22478795500328433,2.0,24.0
9104,23.0,1.6266372466451207,0.0018779035850449107,0.3165700139417806,4.0,25.0
9105,28.0,1.0297478377093472,0.004508241986545251,0.256187161591943,0.0,41.0
9106,18.0,1.7142412839533547,0.0021413003706088783,0.3428762759392798,4.0,35.0
9107,26.0,1.3663819863188131,0.0018962366897874107,0.23244340717558298,3.0,28.0
9108,32.0,1.2120335553567319,0.002418358631530131,0.29181184291876167,2.0,33.0
9109,27.0,1.1238776468543592,0.002560962657169778,0.20473541030501877,2.0,42.0
