id,Delta,R0,i0_q,r0_q,start_week_delta
7075,61.0,2.1778365293506754,0.007177005054032616,0.24690405126133777,2.0
7076,40.0,2.7724385002541223,0.0020148447999484434,0.34897638084679156,3.0
7077,30.0,1.9722362627785117,0.005110888828993894,0.1670886938851247,5.0
7078,57.0,2.701745503106969,0.005752357750915025,0.3679511433587297,2.0
7079,24.0,2.072580936779558,0.0011977483432570068,0.17547252092435045,4.0
7080,56.0,2.73921687382341,0.0015372787017499364,0.35731419844267903,0.0
7081,25.0,2.196506739835103,0.003179288393878978,0.21200895032278408,6.0
7082,55.0,2.347382080888695,0.001921748278368208,0.2648587331200252,0.0
7083,29.0,2.363201897693863,0.0010075832688754064,0.2667631814029689,3.0
7084,48.0,2.209624767956171,0.0039051944442272187,0.25881705647423003,2.0
7085,60.0,1.9428616482507035,0.003879562438548649,0.15504058663104708,1.0
7086,29.0,1.9238134640739644,0.0037903521148256146,0.17905715720017606,5.0
7087,30.0,2.784805486059635,0.0038178900903970744,0.3788642391585638,5.0
7088,61.0,2.0651365157172865,0.0028891331373655455,0.1912251628289598,0.0
7089,61.0,1.8666384226459836,0.004467850892240348,0.17466002931849464,0.0
7090,34.0,2.40683607365185,0.0026506756439418264,0.3128242423933231,4.0
7091,34.0,2.038214576742729,0.002896937497387307,0.1812320026946124,4.0
7092,30.0,2.7135278591692025,0.0025619633788258062,0.35223195750790437,5.0
7093,24.0,1.8764503717945533,0.001395807560807455,0.10791094074982371,4.0
7094,33.0,2.8343857852397947,0.0024319468995363776,0.3649940789625945,4.0
7095,33.0,2.627589087832925,0.003081646780089561,0.3302370974870444,5.0
7096,47.0,2.517533125558535,0.0028049252519170486,0.30070480322228255,2.0
7097,53.0,2.207866375408486,0.0050834057427339005,0.2526952105572505,2.0
7098,39.0,1.949272203217883,0.001396194572054537,0.16247223156724727,1.0
7099,44.0,1.8045322763024512,0.003508755686985734,0.11742819275057634,2.0
7100,35.0,1.8478074222185483,0.003534665230067382,0.12544375166959798,3.0
7101,47.0,2.4981264696480694,0.004738024415468795,0.2915134410563539,3.0
7102,61.0,1.8184156347241114,0.0070032668750925385,0.12538244209312996,1.0
7103,40.0,1.9074333579869402,0.0015168376180030166,0.1169037494161995,2.0
7104,37.0,2.258755431117486,0.004356709788018371,0.28583531725769634,4.0
7105,55.0,2.1838993675853478,0.0014466710431494923,0.21047212414695257,0.0
7106,56.0,2.055731603013603,0.005574063620134717,0.20779531298845272,2.0
7107,49.0,2.4128130661426055,0.0014013441916623606,0.2652801179184935,1.0
7108,30.0,1.9590309495202458,0.0029413952134796553,0.13534103303626444,4.0
7109,32.0,2.371387224379191,0.0022093798478090405,0.2957451547989261,3.0
7110,24.0,1.989938634541999,0.003535430584112478,0.17757506887447133,6.0
7111,35.0,2.557676594223539,0.0025630193527440307,0.3083431569736634,4.0
7112,40.0,2.0861589039553654,0.0036715017910272617,0.21404400392934284,3.0
7113,24.0,1.9181616022366075,0.0012542384962297513,0.1435832363319538,3.0
7114,43.0,2.1387709496938383,0.004779722725012944,0.21053516747862144,3.0
7115,32.0,1.8849578148222783,0.00511453595492865,0.15188345329138336,4.0
7116,31.0,1.9415719560424023,0.004965098830543563,0.1483762154807648,4.0
7117,54.0,1.9633491257116105,0.004569307241700686,0.1987499959966027,1.0
7118,38.0,1.9930473572723555,0.005413483040128876,0.1925518168628152,4.0
7119,61.0,2.588913647998326,0.005176808032813085,0.34672827291618097,1.0
7120,30.0,1.9306944205229104,0.004122639384678881,0.1651785172611983,4.0
7121,61.0,2.8860806656529157,0.004469480595540357,0.3750566480212606,2.0
7122,40.0,2.617815911415281,0.005906080018057688,0.33837311670506287,4.0
7123,53.0,2.4690359756686746,0.0027600859371494733,0.2901942939103876,1.0
7124,40.0,2.284063968438009,0.0066480090680083774,0.26919787289756736,4.0
7125,26.0,2.1768116518010094,0.004020231422519582,0.19707992306345498,6.0
7126,29.0,2.185979535639302,0.0029172601429387746,0.24579957695213692,5.0
7127,29.0,2.1632023357658996,0.005936869817800417,0.22609848013716766,6.0
7128,29.0,1.8885749970271104,0.0014991079516000882,0.1044544557217572,3.0
7129,54.0,2.875923029679764,0.002781811555479111,0.39163634499938366,2.0
7130,59.0,2.1438556179025814,0.0033578035235051064,0.23185286676207706,0.0
7131,33.0,2.6531800947303132,0.003341017981585955,0.36208480773762386,5.0
7132,25.0,1.9707478999741292,0.0023172041338600084,0.16439854031037426,4.0
7133,54.0,1.8193384705155307,0.004457142883221622,0.10785607117528745,1.0
7134,62.0,2.0750167656274767,0.01112838297323792,0.2303499283034133,2.0
7135,45.0,2.2715204352286427,0.0017917247844695923,0.26023927308027905,1.0
7136,55.0,2.333634686172476,0.0014318872087726035,0.2556345809987129,0.0
7137,45.0,2.8636699777350865,0.0011992110244118438,0.3642742838471984,1.0
7138,47.0,1.9814511702789575,0.001896696915195947,0.1509368270243833,1.0
7139,46.0,2.113483079593104,0.005685028793107213,0.2160315416424354,3.0
7140,43.0,2.158053881289776,0.00398580237611924,0.21196381239321727,3.0
7141,24.0,1.9142832055975636,0.0012774651075090151,0.11184086011949178,4.0
7142,36.0,2.594418696640787,0.0020628825929266603,0.3327912656025173,3.0
7143,31.0,2.5520356982544796,0.00749521231005061,0.33288266372537406,6.0
7144,52.0,2.5141017272409854,0.006638894897220806,0.2919058618178215,3.0
7145,33.0,2.443026815683891,0.0019504357650362105,0.31519672873392557,3.0
7146,29.0,2.0915501919151827,0.0019127904490130374,0.2032136345402926,4.0
7147,42.0,2.5848518368845737,0.0022814858855937105,0.3301194923916258,2.0
7148,33.0,2.20403914558321,0.005959796851278536,0.27833412377751976,5.0
7149,41.0,2.0530824004323596,0.0021267244900023915,0.20303365757673958,2.0
7150,48.0,2.0220013144060953,0.0029086051204081287,0.14120380045980604,2.0
7151,42.0,2.1796381124563395,0.002746857580271698,0.2512032301951766,2.0
7152,38.0,1.8399537316869772,0.005654084281722628,0.15730829742120692,4.0
7153,41.0,2.679033475642166,0.0053583093428139425,0.3350097772649325,4.0
7154,32.0,1.831192592847568,0.004203798290620772,0.1339471874533401,5.0
7155,41.0,2.3778129720686505,0.0014833109652308963,0.2428505535115088,2.0
7156,28.0,1.9126346981424789,0.0036262806174241543,0.13228154517867904,4.0
7157,33.0,1.8833124374624384,0.006187060425133566,0.177816991396646,5.0
7158,25.0,2.1507089391771728,0.004303792315840663,0.24501464770946174,5.0
7159,31.0,2.5255581522913335,0.002312320280651185,0.3054200790698997,4.0
7160,60.0,1.9392021770865173,0.00394335936438273,0.1702022688636673,0.0
7161,62.0,1.8907493064237089,0.004523276632339482,0.14395332592520518,1.0
7162,24.0,1.8990232796650421,0.005704703190789685,0.16587251597146122,7.0
7163,26.0,2.086925916237274,0.006231674449732921,0.2189931939506298,6.0
7164,54.0,2.7953434077493586,0.008023852672987442,0.36131762729765116,3.0
7165,62.0,2.225417243906472,0.0038818412566395503,0.23948401754297186,1.0
7166,57.0,2.5381236221641386,0.005134966235073567,0.3059861705716866,2.0
7167,46.0,2.401226349612516,0.00358179908029251,0.28375154819991955,2.0
7168,46.0,1.8298121118817372,0.0037131348497966383,0.1154935661552471,2.0
7169,26.0,1.9911317378668474,0.005040225570076421,0.15225787135643762,6.0
7170,41.0,2.5691105593788515,0.00318142778479756,0.31824845324743734,3.0
7171,38.0,2.2377356125969707,0.0037024181307404322,0.2501497306477193,3.0
7172,63.0,2.2932632038551275,0.0027494759510446483,0.24054127691173166,0.0
7173,49.0,2.355044070436698,0.004571564261697562,0.289085877054011,2.0
7174,63.0,1.8964090643925624,0.005480576039303291,0.1556728768886887,1.0
7175,38.0,2.3224783591905505,0.004481313095694097,0.2530433850760992,4.0
7176,44.0,2.849771673659056,0.002251734538767574,0.3553872632557952,2.0
7177,58.0,1.9184527641474545,0.0056282741068129465,0.17378919404365464,1.0
7178,19.0,2.160487272111929,0.0035093829289558295,0.24432742452267012,7.0
7179,59.0,2.555890238926059,0.001964553403944315,0.3121411988040745,0.0
7180,33.0,2.0663129506834377,0.00997432802920794,0.2310859355564827,6.0
7181,31.0,1.921570569700688,0.003731608872600514,0.1431900548568188,5.0
7182,35.0,2.5620717281797503,0.0026577770279189276,0.33310050975351824,4.0
7183,62.0,2.6463187208364185,0.005761961895603774,0.3376806449281281,2.0
7184,32.0,2.470882203070895,0.002589261812171244,0.2956249186927302,4.0
7185,28.0,2.0075197489090955,0.0020207175551692574,0.1725620575765674,3.0
7186,48.0,1.9282577313355422,0.0014556153856078633,0.16593084135157646,0.0
7187,36.0,1.881355926827358,0.002659299816061308,0.12830015847197682,2.0
7188,34.0,1.8102056728994287,0.004202370577418853,0.12033316242802262,4.0
7189,63.0,2.41583280191263,0.003719936538694078,0.3014174274113468,0.0
7190,47.0,2.207122236276271,0.0049877513188323775,0.22921216503318273,3.0
7191,58.0,2.3655123861832137,0.001919607812615764,0.2882834213576777,0.0
7192,46.0,2.2657345707251326,0.0027494182242858035,0.2333329868601887,2.0
7193,31.0,1.8345862497703802,0.002822104496271993,0.12198177142309082,3.0
7194,59.0,2.7163383199288313,0.00445136560552096,0.31832119651006285,2.0
7195,35.0,2.363275836468336,0.0036558918123579063,0.28067957917693914,4.0
7196,34.0,2.044829579798755,0.0035855002234218775,0.2134077540985518,4.0
7197,32.0,2.002987876153482,0.0018572561810723854,0.17364489262923727,3.0
7198,62.0,2.2365863859714086,0.0045784764473892165,0.2305272537423508,1.0
7199,60.0,2.7206356162385417,0.007609434084530928,0.37292045382409883,2.0
7200,52.0,2.0182546314359784,0.004865352422760155,0.15507040284899717,2.0
7201,29.0,2.7564026607533036,0.004819681750356144,0.3814578409523718,6.0
7202,56.0,2.586020064413649,0.007183498731543793,0.308156713362214,3.0
7203,45.0,2.137879860184597,0.003640197410306848,0.24132963118328266,2.0
7204,27.0,2.219699364132163,0.003933013897321988,0.24850184541464343,5.0
7205,60.0,2.481893496202289,0.005126103817063571,0.3225684993140149,2.0
7206,57.0,2.6254651239884548,0.0010948964935114862,0.33876182294624446,0.0
7207,20.0,2.019492067785476,0.0032959460818932917,0.1546219010665764,6.0
7208,55.0,1.9866072224970108,0.0036354327526742294,0.19129334623297997,1.0
7209,60.0,2.1959234553072515,0.004027579676734228,0.2192542524558561,1.0
7210,59.0,2.9196027966462816,0.003113202859948207,0.38536682503019193,1.0
7211,33.0,2.019394165128969,0.004160440988434819,0.20534317832492965,4.0
7212,41.0,2.7419912297504,0.001373838559759337,0.35419109859112263,2.0
7213,44.0,1.8481433011249264,0.003881760947136839,0.12945586271521817,2.0
7214,27.0,2.2552202397654186,0.004598211382612584,0.2500344797311169,6.0
7215,63.0,2.344272480909113,0.0058562492457887505,0.2979861509779561,1.0
7216,42.0,2.7096723302940546,0.0025125304010597564,0.3604069966059884,3.0
7217,37.0,2.2807015575870535,0.001481988959049744,0.2760318039858959,2.0
7218,53.0,2.249770878400038,0.007323370431130291,0.251110871141045,3.0
7219,63.0,2.367278552982429,0.002077329297186573,0.28455133134504923,0.0
7220,33.0,2.3796002095346607,0.0041732794826351205,0.27684291343824113,4.0
7221,37.0,2.3346338225485255,0.004408557876589472,0.25654770393681947,4.0
7222,41.0,2.716133725625,0.0007764528134589965,0.33837677245458087,1.0
7223,26.0,1.8974521461776903,0.00439460778911282,0.12957505882912287,5.0
7224,55.0,2.1784370774535016,0.00221663858654878,0.2222483381769233,0.0
7225,63.0,2.5037627504729416,0.006077470092283901,0.30577097246784085,2.0
7226,57.0,2.345647955130366,0.0056225572698094615,0.2839273087170064,2.0
7227,32.0,2.1703487352570736,0.0014558374018355082,0.2332184766971726,2.0
7228,29.0,2.6342208012840045,0.003272886463061561,0.3333483064298335,5.0
7229,59.0,2.417627076117563,0.003051493428939811,0.27645557539340665,1.0
7230,39.0,2.6074429531379355,0.002136706312629926,0.31433389640458637,3.0
7231,62.0,2.101388696717013,0.004152991942127291,0.19722842196207904,1.0
7232,28.0,1.969344767038937,0.0057760661084065015,0.19270552813136765,5.0
7233,34.0,2.556577211063095,0.0022108742400911555,0.31703135597836146,3.0
7234,35.0,2.2649726632834524,0.004799412722595603,0.28312944155345626,4.0
7235,44.0,1.8096095992377037,0.004196070187638024,0.13146392695281653,2.0
7236,39.0,1.9964945217313415,0.0019388209573364384,0.14475042161178395,2.0
7237,32.0,2.156712887644643,0.0036856718561028685,0.2310180230600048,4.0
7238,25.0,2.234790058848384,0.0026068179095263396,0.2082014930211484,6.0
7239,37.0,1.7768066642798543,0.004018973521519321,0.11293296938836953,3.0
7240,52.0,2.2665652009373627,0.005302744189492215,0.2804992638117437,2.0
7241,63.0,2.034730976754368,0.005591304541490071,0.21771566671057252,1.0
7242,48.0,1.9984131057655792,0.0038620301946851905,0.17027297272110808,2.0
7243,42.0,2.3611175310854255,0.0022131287282610153,0.2583444131175645,2.0
7244,25.0,1.9649073996420345,0.0012089630173718587,0.13346002488611403,4.0
7245,60.0,2.260437432127538,0.0030918496066385665,0.26119293688769846,1.0
7246,31.0,2.054280764289634,0.0037671303939500814,0.21887065886017132,4.0
7247,41.0,2.0142457648382166,0.0056435480579504526,0.19457678198411868,3.0
7248,26.0,2.475164344585354,0.004363147266839006,0.32547126996064046,7.0
7249,27.0,2.2191769741104275,0.003163121154386968,0.24962833921947547,6.0
7250,61.0,2.4810039894700497,0.005249474410928458,0.3395367159020463,1.0
7251,37.0,2.1773331681552084,0.0038523814590340506,0.24948026415889643,3.0
7252,51.0,2.6856207636337635,0.0030078892617876676,0.3142749970350446,2.0
7253,56.0,2.8149167664834702,0.0027850186787920527,0.3488901966673042,2.0
7254,58.0,2.1733120775242902,0.003907382621669996,0.26498097034178625,1.0
7255,40.0,2.7412740931785557,0.0007631153318558887,0.36725903247648173,1.0
7256,25.0,1.8358874695191887,0.004096915964901837,0.10721349977562383,5.0
7257,43.0,2.787175286731687,0.0006904217595254394,0.355422808101754,1.0
7258,54.0,1.949162757581613,0.0037869527556772336,0.18165138724946361,1.0
7259,34.0,2.18592740219651,0.004507079556876903,0.24657215977637473,4.0
7260,52.0,2.648065025657822,0.0020699035008861443,0.3605067393000752,1.0
7261,46.0,2.1690708806063097,0.002631624551862071,0.21839143519546333,2.0
7262,62.0,2.372085015908063,0.00404336208545671,0.29763067912066127,0.0
7263,37.0,2.22534897923365,0.0057101515136147776,0.26786097728317193,4.0
7264,32.0,2.3300087285857956,0.003726920444747928,0.29011662808693384,5.0
7265,59.0,2.4066346177538605,0.004539567532578622,0.26695594164851305,2.0
7266,40.0,2.425000708277331,0.0035165235722936835,0.3242861737122919,3.0
7267,27.0,2.0642259363841124,0.0008185591915277053,0.17572997036304505,2.0
7268,30.0,2.0304472494447863,0.0014315847333978779,0.14866323085424069,3.0
7269,59.0,2.42231023425873,0.004930016632504014,0.2899635367892641,1.0
7270,31.0,2.8206274353553,0.0029426964031346466,0.3687879984275257,5.0
7271,49.0,2.317081091437042,0.004478072760939703,0.24987873614453643,2.0
7272,58.0,2.3580679153914996,0.006101020544259985,0.2712894458087512,2.0
7273,59.0,2.6731830342350666,0.004829851893889071,0.3527856907312529,2.0
7274,28.0,2.258819427348722,0.005722560751939582,0.27301446131816115,6.0
7275,31.0,2.2700438537759062,0.005269580157658797,0.26521644042337233,5.0
7276,47.0,2.077780257807123,0.0015895040313677656,0.17283249713196183,1.0
7277,46.0,2.2230185679523347,0.0005808575780385462,0.22615876718946826,0.0
7278,31.0,2.1412120926817915,0.001427828758338495,0.21974538417192302,2.0
7279,23.0,2.0241078978091958,0.006626822554399562,0.20497070053385846,7.0
7280,23.0,2.807585651389613,0.0017748040688102202,0.35801802136758004,6.0
7281,61.0,1.8846750656002773,0.0040129901512154335,0.1918212178393002,0.0
7282,30.0,2.5283495923471895,0.0032930969387004964,0.3165584881387746,5.0
7283,60.0,2.2121513589552015,0.004155339429855853,0.25153429167948527,1.0
7284,38.0,2.420378052859781,0.0029043343994436446,0.30991899190298655,3.0
7285,37.0,2.731508492269115,0.007196204113238588,0.38519065006700043,5.0
7286,33.0,1.8144381293835246,0.0029149085433206605,0.12661158983784968,4.0
7287,47.0,2.7026712721137627,0.0005769820638048467,0.312823951660148,1.0
7288,58.0,2.6836363336506968,0.009347020325020767,0.3324406333610572,3.0
7289,58.0,2.0590095492433456,0.005376160997625504,0.22346067673322378,1.0
7290,59.0,2.673874743462579,0.007106760927139457,0.3743501877003475,2.0
7291,54.0,2.991081313277784,0.004342289401590284,0.3871057051075928,3.0
7292,41.0,1.907979659496572,0.0035581734386320803,0.13512894958434143,3.0
7293,28.0,2.0077589232353454,0.002504830472025568,0.1451562129997562,5.0
7294,47.0,2.8400895890693296,0.004044453948275203,0.34736189160471814,3.0
7295,62.0,2.2712670602820877,0.0021748888817939107,0.2637739979429657,0.0
7296,30.0,1.857118688034263,0.008159526910212952,0.13085981889097864,6.0
7297,29.0,1.883064895084388,0.004712484079679679,0.14747372857845797,4.0
7298,61.0,2.8245032697257284,0.010946427124149276,0.39729054226070465,3.0
7299,20.0,2.4196227961234347,0.002693688779884607,0.2955667288284565,7.0
7300,28.0,2.2278767678998546,0.006354336683848079,0.26470974866445307,6.0
7301,36.0,2.8384929309519165,0.0013022565387954676,0.35988013437507144,3.0
7302,16.0,1.9389568288217642,0.0018873826290600015,0.14229046106681514,7.0
7303,32.0,2.1826542663624893,0.000904654006760566,0.2265703391780203,2.0
7304,33.0,2.1391163689283275,0.0023743772983124117,0.19936340880480413,3.0
7305,36.0,2.1822159829050727,0.0022463073269639836,0.23016869004507096,3.0
7306,63.0,2.1603156761665683,0.004385096446192615,0.22405603916688144,1.0
7307,29.0,2.327677137429642,0.005756154986351147,0.28669266531219995,6.0
7308,60.0,2.6651400684523003,0.0039238026268896215,0.33215702346858084,2.0
7309,56.0,2.132851530267493,0.001926569037912862,0.2184494653711013,0.0
7310,45.0,2.7780834676158865,0.004449842634772253,0.36155122365076375,3.0
7311,42.0,2.469786213325029,0.00273106626263503,0.2884659123019603,3.0
7312,55.0,2.388821102781017,0.003755832064617089,0.26296662060437714,2.0
7313,25.0,2.3593427103069757,0.004319486966793601,0.310949399892269,7.0
7314,42.0,2.0264233455638077,0.0027684814406894144,0.2041792513054678,2.0
7315,25.0,2.338160179850713,0.003682714731850778,0.29995872221268133,7.0
7316,21.0,1.8748073866190482,0.0034133548845470597,0.13313789038874596,6.0
7317,33.0,2.125759593899751,0.003733260663824729,0.21547662391552913,4.0
7318,31.0,1.8088148454844806,0.0041070642644808674,0.12017068183694245,4.0
7319,29.0,2.2858738171895636,0.0055223316690683425,0.257855977933616,6.0
7320,29.0,2.20214051373162,0.001470226925781581,0.20603965583578798,4.0
7321,38.0,1.9416931827998356,0.005384850699478426,0.15745677602436128,4.0
7322,29.0,2.116517330477408,0.008627189115927017,0.23838783837394703,6.0
7323,61.0,2.4541143465420716,0.007643470838748818,0.31193569874192756,2.0
7324,49.0,1.8203044332821545,0.0013895874504228963,0.11643226389171663,0.0
7325,32.0,1.8903018586659392,0.002780422215189252,0.1622722448823532,4.0
7326,51.0,2.11047443622994,0.0031306032315282202,0.20601794365965742,1.0
7327,49.0,2.0760331121361566,0.0022570546013758303,0.18447197194062,1.0
7328,47.0,2.283954501176134,0.003748937245470405,0.2515843368927753,2.0
7329,40.0,2.6483074634924733,0.004024315507986749,0.34984993581211915,4.0
7330,28.0,2.101432485924141,0.0029427684815399226,0.20165079530246893,4.0
7331,35.0,2.412031037447522,0.004078317641043187,0.30661685696436985,4.0
7332,56.0,2.6875002748928543,0.007836395368674141,0.3648938791094336,3.0
7333,46.0,2.1185032307375624,0.003256752543450507,0.22512240521703067,2.0
7334,63.0,2.4833867035178865,0.0025308901147801915,0.31470102353614643,0.0
7335,54.0,2.3127429868297775,0.0045751435013793125,0.24508322170114735,2.0
7336,33.0,1.8602115856130237,0.0017390399061900912,0.12669559526072732,3.0
7337,58.0,1.9351260905897298,0.004488347084797937,0.18157052691306652,1.0
7338,44.0,2.6239521761158535,0.004086813266971382,0.3620615223113873,3.0
7339,54.0,2.3930855162823996,0.004150777674055456,0.30663891985193464,2.0
7340,61.0,2.0794929734962504,0.006245059105617057,0.25897424483331444,1.0
7341,53.0,2.2838208632552726,0.0021133668449373477,0.24311727979126477,1.0
7342,60.0,2.5856079131802545,0.004183402190548286,0.30076523373669817,2.0
7343,39.0,2.136542469756164,0.0007123419809598138,0.19425990598712234,1.0
7344,32.0,1.9070219456176394,0.0014478321529077295,0.11246269038527673,2.0
7345,41.0,2.044994095571523,0.001041386526604924,0.18262383275395103,1.0
7346,62.0,2.0749935078516084,0.003983379955763753,0.19346782922841282,0.0
7347,29.0,2.7185965752887618,0.0030174905648120485,0.35885715615510755,5.0
7348,51.0,2.535763508857945,0.006008322593395373,0.30489826684394494,3.0
7349,24.0,2.1187839294769417,0.006441213365371864,0.241159104442777,7.0
7350,28.0,1.8858704058155464,0.004666051608663148,0.16011566944010605,5.0
7351,28.0,1.9685856547528673,0.002046701917889666,0.15669251474747858,5.0
7352,31.0,2.0959067870651884,0.0006575839296637253,0.17422630059703914,2.0
7353,56.0,2.3394595416641892,0.005617706526385635,0.29413429417145215,2.0
7354,35.0,2.46112583402326,0.0022594413094130386,0.3241273000866846,3.0
7355,23.0,1.853324758544163,0.0018471335092861035,0.10925796807109961,5.0
7356,59.0,2.0152111426804846,0.002142353101607201,0.19430022517920778,0.0
7357,55.0,2.0706361240593933,0.002225519030535455,0.167806200356679,1.0
7358,62.0,1.8824098122168642,0.002462203413387017,0.14263113210761524,0.0
7359,34.0,2.7040116901973383,0.0038446431067821933,0.36056374879838404,4.0
7360,59.0,1.9616612427380973,0.0047780369800134405,0.18922423643149888,1.0
7361,31.0,2.2898975823467773,0.002743313304532074,0.28918633110541814,4.0
7362,30.0,2.7886459456803108,0.0025024839448929276,0.3703732426655633,5.0
7363,34.0,2.4066642503351945,0.002664142487960559,0.29717968739018247,4.0
