,date,age,total_number,rV
1353,2021/5/29,45279,539,0.000699853
1354,2021/5/29,20-29,2122,0.002132929
1355,2021/5/29,30-39,2882,0.002510501
1356,2021/5/29,40-49,5000,0.003320282
1357,2021/5/29,50-59,27144,0.016883484
1358,2021/5/29,60-69,2612,0.002184664
1359,2021/5/29,70-79,901,0.000911722
1360,2021/5/29,80-89,237,0.000386018
1361,2021/5/29,90+,68,0.000706993
3500,2021/5/30,45057,0,0
1362,2021/5/30,45279,389,0.000505089
1363,2021/5/30,20-29,1512,0.001519787
1364,2021/5/30,30-39,2328,0.002027913
1365,2021/5/30,40-49,3890,0.00258318
1366,2021/5/30,50-59,22595,0.01405402
1367,2021/5/30,60-69,2171,0.001815814
1368,2021/5/30,70-79,774,0.000783211
1369,2021/5/30,80-89,186,0.000302951
1370,2021/5/30,90+,31,0.000322306
3501,2021/5/31,45057,0,0
1371,2021/5/31,45279,675,0.000876439
1372,2021/5/31,20-29,2895,0.00290991
1373,2021/5/31,30-39,4142,0.003608083
1374,2021/5/31,40-49,10023,0.006655838
1375,2021/5/31,50-59,53400,0.033214636
1376,2021/5/31,60-69,4920,0.004115065
1377,2021/5/31,70-79,1837,0.00185886
1378,2021/5/31,80-89,486,0.000791581
1379,2021/5/31,90+,114,0.001185253
3502,2021/6/1,45057,0,0
1380,2021/6/1,45279,609,0.000790743
1381,2021/6/1,20-29,2424,0.002436485
1382,2021/6/1,30-39,3958,0.003447801
1383,2021/6/1,40-49,11196,0.007434776
1384,2021/6/1,50-59,51990,0.03233762
1385,2021/6/1,60-69,3657,0.003058697
1386,2021/6/1,70-79,1457,0.001474338
1387,2021/6/1,80-89,416,0.000677567
1388,2021/6/1,90+,157,0.001632322
3503,2021/6/2,45057,0,0
1389,2021/6/2,45279,651,0.000845277
1390,2021/6/2,20-29,2364,0.002376176
1391,2021/6/2,30-39,4580,0.003989623
1392,2021/6/2,40-49,13246,0.008796092
1393,2021/6/2,50-59,50851,0.031629165
1394,2021/6/2,60-69,3713,0.003105536
1395,2021/6/2,70-79,1312,0.001327613
1396,2021/6/2,80-89,332,0.000540751
1397,2021/6/2,90+,47,0.000488657
3504,2021/6/3,45057,0,0
1398,2021/6/3,45279,857,0.001112753
1399,2021/6/3,20-29,2666,0.002679731
1400,2021/6/3,30-39,6390,0.005566309
1401,2021/6/3,40-49,17896,0.011883955
1402,2021/6/3,50-59,50620,0.031485484
1403,2021/6/3,60-69,4060,0.003395765
1404,2021/6/3,70-79,1574,0.001592731
1405,2021/6/3,80-89,502,0.000817642
1406,2021/6/3,90+,136,0.001413986
3505,2021/6/4,45057,0,0
1407,2021/6/4,45279,1043,0.001354261
1408,2021/6/4,20-29,3014,0.003029523
1409,2021/6/4,30-39,13596,0.011843433
1410,2021/6/4,40-49,21433,0.014232723
1411,2021/6/4,50-59,48208,0.029985228
1412,2021/6/4,60-69,3900,0.003261941
1413,2021/6/4,70-79,1513,0.001531005
1414,2021/6/4,80-89,479,0.00078018
1415,2021/6/4,90+,141,0.001465971
3506,2021/6/5,45057,0,0
1416,2021/6/5,45279,1225,0.001590574
1417,2021/6/5,20-29,3396,0.003413491
1418,2021/6/5,30-39,13846,0.012061207
1419,2021/6/5,40-49,23158,0.01537822
1420,2021/6/5,50-59,44539,0.027703121
1421,2021/6/5,60-69,3408,0.002850435
1422,2021/6/5,70-79,1196,0.001210232
1423,2021/6/5,80-89,332,0.000540751
1424,2021/6/5,90+,68,0.000706993
3507,2021/6/6,45057,0,0
1425,2021/6/6,45279,1356,0.001760669
1426,2021/6/6,20-29,3530,0.003548181
1427,2021/6/6,30-39,13003,0.011326872
1428,2021/6/6,40-49,22908,0.015212206
1429,2021/6/6,50-59,34597,0.021519227
1430,2021/6/6,60-69,2858,0.002390418
1431,2021/6/6,70-79,1021,0.00103315
1432,2021/6/6,80-89,242,0.000394162
1433,2021/6/6,90+,36,0.00037429
3508,2021/6/7,45057,0,0
1434,2021/6/7,45279,1591,0.002065799
1435,2021/6/7,20-29,4102,0.004123127
1436,2021/6/7,30-39,12234,0.010656999
1437,2021/6/7,40-49,24986,0.016592115
1438,2021/6/7,50-59,36132,0.022473993
1439,2021/6/7,60-69,3359,0.002809452
1440,2021/6/7,70-79,1213,0.001227435
1441,2021/6/7,80-89,385,0.000627076
1442,2021/6/7,90+,95,0.000987711
3509,2021/6/8,45057,0,0
1443,2021/6/8,45279,1768,0.002295621
1444,2021/6/8,20-29,4866,0.004891062
1445,2021/6/8,30-39,15238,0.013273774
1446,2021/6/8,40-49,25986,0.017256172
1447,2021/6/8,50-59,34052,0.021180239
1448,2021/6/8,60-69,3441,0.002878036
1449,2021/6/8,70-79,1375,0.001391362
1450,2021/6/8,80-89,415,0.000675939
1451,2021/6/8,90+,113,0.001174856
3510,2021/6/9,45057,0,0
1452,2021/6/9,45279,2531,0.003286322
1453,2021/6/9,20-29,4927,0.004952376
1454,2021/6/9,30-39,17814,0.015517719
1455,2021/6/9,40-49,26638,0.017689137
1456,2021/6/9,50-59,30588,0.019025642
1457,2021/6/9,60-69,3185,0.002663919
1458,2021/6/9,70-79,1273,0.001288149
1459,2021/6/9,80-89,411,0.000669424
1460,2021/6/9,90+,120,0.001247635
3511,2021/6/10,45057,0,0
1461,2021/6/10,45279,2588,0.003360332
1462,2021/6/10,20-29,5229,0.005255931
1463,2021/6/10,30-39,19345,0.016851368
1464,2021/6/10,40-49,28895,0.019187912
1465,2021/6/10,50-59,25772,0.016030105
1466,2021/6/10,60-69,2913,0.002436419
1467,2021/6/10,70-79,1152,0.001165709
1468,2021/6/10,80-89,389,0.000633591
1469,2021/6/10,90+,152,0.001580337
3512,2021/6/11,45057,0,0
1470,2021/6/11,45279,2472,0.003209714
1471,2021/6/11,20-29,5421,0.00544892
1472,2021/6/11,30-39,18161,0.01581999
1473,2021/6/11,40-49,30847,0.02048415
1474,2021/6/11,50-59,24053,0.014960892
1475,2021/6/11,60-69,2580,0.0021579
1476,2021/6/11,70-79,1050,0.001062495
1477,2021/6/11,80-89,328,0.000534236
1478,2021/6/11,90+,75,0.000779772
3513,2021/6/12,45057,0,0
1479,2021/6/12,45279,2409,0.003127913
1480,2021/6/12,20-29,5708,0.005737398
1481,2021/6/12,30-39,17603,0.015333918
1482,2021/6/12,40-49,31832,0.021138246
1483,2021/6/12,50-59,23168,0.014410425
1484,2021/6/12,60-69,2469,0.00206506
1485,2021/6/12,70-79,926,0.000937019
1486,2021/6/12,80-89,224,0.000364844
1487,2021/6/12,90+,33,0.0003431
3514,2021/6/13,45057,0,0
1488,2021/6/13,45279,2433,0.003159076
1489,2021/6/13,20-29,5656,0.005685131
1490,2021/6/13,30-39,16617,0.014475016
1491,2021/6/13,40-49,27330,0.018148664
1492,2021/6/13,50-59,17252,0.010730691
1493,2021/6/13,60-69,2102,0.001758103
1494,2021/6/13,70-79,738,0.000746782
1495,2021/6/13,80-89,155,0.000252459
1496,2021/6/13,90+,13,0.00013516
3515,2021/6/14,45057,0,0
1497,2021/6/14,45279,1502,0.001950239
1498,2021/6/14,20-29,3437,0.003454702
1499,2021/6/14,30-39,10285,0.008959231
1500,2021/6/14,40-49,26598,0.017662574
1501,2021/6/14,50-59,5132,0.003192088
1502,2021/6/14,60-69,1350,0.001129134
1503,2021/6/14,70-79,586,0.000592973
1504,2021/6/14,80-89,206,0.000335526
1505,2021/6/14,90+,57,0.000592626
3516,2021/6/15,45057,0,0
1506,2021/6/15,45279,1500,0.001947642
1507,2021/6/15,20-29,3408,0.003425553
1508,2021/6/15,30-39,10403,0.00906202
1509,2021/6/15,40-49,28765,0.019101585
1510,2021/6/15,50-59,3293,0.002048236
1511,2021/6/15,60-69,957,0.00080043
1512,2021/6/15,70-79,455,0.000460414
1513,2021/6/15,80-89,178,0.000289921
1514,2021/6/15,90+,78,0.000810963
3517,2021/6/16,45057,0,0
1515,2021/6/16,45279,1634,0.002121632
1516,2021/6/16,20-29,3781,0.003800474
1517,2021/6/16,30-39,11779,0.01026065
1518,2021/6/16,40-49,27729,0.018413622
1519,2021/6/16,50-59,3297,0.002050724
1520,2021/6/16,60-69,938,0.000784539
1521,2021/6/16,70-79,469,0.000474581
1522,2021/6/16,80-89,163,0.000265489
1523,2021/6/16,90+,62,0.000644611
3518,2021/6/17,45057,0,0
1524,2021/6/17,45279,1741,0.002260563
1525,2021/6/17,20-29,3912,0.003932148
1526,2021/6/17,30-39,13232,0.011526353
1527,2021/6/17,40-49,25913,0.017207696
1528,2021/6/17,50-59,3530,0.002195649
1529,2021/6/17,60-69,1076,0.000899961
1530,2021/6/17,70-79,483,0.000488748
1531,2021/6/17,80-89,172,0.000280148
1532,2021/6/17,90+,58,0.000603023
3519,2021/6/18,45057,0,0
1533,2021/6/18,45279,1999,0.002595558
1534,2021/6/18,20-29,4550,0.004573434
1535,2021/6/18,30-39,13901,0.012109117
1536,2021/6/18,40-49,25754,0.017102111
1537,2021/6/18,50-59,3780,0.002351148
1538,2021/6/18,60-69,1082,0.00090498
1539,2021/6/18,70-79,470,0.000475593
1540,2021/6/18,80-89,183,0.000298065
1541,2021/6/18,90+,56,0.00058223
3520,2021/6/19,45057,0,0
1542,2021/6/19,45279,2384,0.003095453
1543,2021/6/19,20-29,5344,0.005371524
1544,2021/6/19,30-39,16602,0.01446195
1545,2021/6/19,40-49,26053,0.017300664
1546,2021/6/19,50-59,4137,0.002573201
1547,2021/6/19,60-69,1155,0.000966036
1548,2021/6/19,70-79,418,0.000422974
1549,2021/6/19,80-89,115,0.000187308
1550,2021/6/19,90+,20,0.000207939
3521,2021/6/20,45057,0,0
1551,2021/6/20,45279,2756,0.003578468
1552,2021/6/20,20-29,5888,0.005918325
1553,2021/6/20,30-39,17969,0.015652739
1554,2021/6/20,40-49,21037,0.013969756
1555,2021/6/20,50-59,3643,0.002265935
1556,2021/6/20,60-69,951,0.000795412
1557,2021/6/20,70-79,386,0.000390593
1558,2021/6/20,80-89,107,0.000174278
1559,2021/6/20,90+,17,0.000176748
3522,2021/6/21,45057,0,0
1560,2021/6/21,45279,4696,0.006097418
1561,2021/6/21,20-29,11423,0.011481833
1562,2021/6/21,30-39,23464,0.020439416
1563,2021/6/21,40-49,30451,0.020221184
1564,2021/6/21,50-59,5557,0.003456437
1565,2021/6/21,60-69,1693,0.001416017
1566,2021/6/21,70-79,651,0.000658747
1567,2021/6/21,80-89,189,0.000307837
1568,2021/6/21,90+,57,0.000592626
3523,2021/6/22,45057,0,0
1569,2021/6/22,45279,6834,0.008873458
1570,2021/6/22,20-29,15653,0.015733619
1571,2021/6/22,30-39,23390,0.020374955
1572,2021/6/22,40-49,26088,0.017323906
1573,2021/6/22,50-59,4935,0.003069555
1574,2021/6/22,60-69,1391,0.001163426
1575,2021/6/22,70-79,626,0.000633449
1576,2021/6/22,80-89,173,0.000281777
1577,2021/6/22,90+,49,0.000509451
3524,2021/6/23,45057,0,0
1578,2021/6/23,45279,8130,0.010556221
1579,2021/6/23,20-29,17831,0.017922837
1580,2021/6/23,30-39,22146,0.01929131
1581,2021/6/23,40-49,21887,0.014534204
1582,2021/6/23,50-59,4296,0.002672099
1583,2021/6/23,60-69,1356,0.001134152
1584,2021/6/23,70-79,623,0.000630414
1585,2021/6/23,80-89,178,0.000289921
1586,2021/6/23,90+,53,0.000551039
3525,2021/6/24,45057,0,0
1587,2021/6/24,45279,9994,0.012976491
1588,2021/6/24,20-29,20585,0.020691021
1589,2021/6/24,30-39,21716,0.018916739
1590,2021/6/24,40-49,19088,0.01267551
1591,2021/6/24,50-59,4478,0.002785302
1592,2021/6/24,60-69,1452,0.001214446
1593,2021/6/24,70-79,698,0.000706306
1594,2021/6/24,80-89,196,0.000319239
1595,2021/6/24,90+,60,0.000623817
3526,2021/6/25,45057,0,0
1596,2021/6/25,45279,11172,0.014506039
1597,2021/6/25,20-29,23542,0.02366325
1598,2021/6/25,30-39,21852,0.019035208
1599,2021/6/25,40-49,15675,0.010409085
1600,2021/6/25,50-59,3953,0.002458754
1601,2021/6/25,60-69,1229,0.00102793
1602,2021/6/25,70-79,545,0.000551485
1603,2021/6/25,80-89,189,0.000307837
1604,2021/6/25,90+,52,0.000540642
3527,2021/6/26,45057,0,0
1605,2021/6/26,45279,12190,0.015827839
1606,2021/6/26,20-29,22434,0.022549544
1607,2021/6/26,30-39,22917,0.019962926
1608,2021/6/26,40-49,14518,0.009640772
1609,2021/6/26,50-59,3825,0.002379138
1610,2021/6/26,60-69,1158,0.000968546
1611,2021/6/26,70-79,483,0.000488748
1612,2021/6/26,80-89,118,0.000192195
1613,2021/6/26,90+,26,0.000270321
3528,2021/6/27,45057,0,0
1614,2021/6/27,45279,12063,0.015662938
1615,2021/6/27,20-29,19506,0.019606464
1616,2021/6/27,30-39,20026,0.017444585
1617,2021/6/27,40-49,13125,0.008715741
1618,2021/6/27,50-59,3374,0.002098618
1619,2021/6/27,60-69,1030,0.000861487
1620,2021/6/27,70-79,377,0.000381486
1621,2021/6/27,80-89,111,0.000180793
1622,2021/6/27,90+,22,0.000228733
3529,2021/6/28,45057,0,0
1623,2021/6/28,45279,16254,0.021104651
1624,2021/6/28,20-29,29756,0.029909255
1625,2021/6/28,30-39,15754,0.01372326
1626,2021/6/28,40-49,7225,0.004797808
1627,2021/6/28,50-59,3281,0.002040772
1628,2021/6/28,60-69,1125,0.000940945
1629,2021/6/28,70-79,509,0.000515057
1630,2021/6/28,80-89,181,0.000294807
1631,2021/6/28,90+,40,0.000415878
3530,2021/6/29,45057,0,0
1632,2021/6/29,45279,14589,0.018942768
1633,2021/6/29,20-29,26580,0.026716897
1634,2021/6/29,30-39,8544,0.007442651
1635,2021/6/29,40-49,4195,0.002785717
1636,2021/6/29,50-59,2096,0.001303706
1637,2021/6/29,60-69,782,0.000654061
1638,2021/6/29,70-79,317,0.000320772
1639,2021/6/29,80-89,134,0.000218255
1640,2021/6/29,90+,44,0.000457466
3531,2021/6/30,45057,0,0
1641,2021/6/30,45279,15277,0.019836086
1642,2021/6/30,20-29,26510,0.026646537
1643,2021/6/30,30-39,7255,0.006319808
1644,2021/6/30,40-49,4024,0.002672163
1645,2021/6/30,50-59,2096,0.001303706
1646,2021/6/30,60-69,753,0.000629806
1647,2021/6/30,70-79,357,0.000361248
1648,2021/6/30,80-89,111,0.000180793
1649,2021/6/30,90+,35,0.000363893
3532,2021/7/1,45057,0,0
1650,2021/7/1,45279,14734,0.01913104
1651,2021/7/1,20-29,25333,0.025463475
1652,2021/7/1,30-39,6126,0.005336339
1653,2021/7/1,40-49,3749,0.002489548
1654,2021/7/1,50-59,1998,0.00124275
1655,2021/7/1,60-69,745,0.000623114
1656,2021/7/1,70-79,345,0.000349105
1657,2021/7/1,80-89,112,0.000182422
1658,2021/7/1,90+,39,0.000405481
3533,2021/7/2,45057,0,0
1659,2021/7/2,45279,13423,0.017428801
1660,2021/7/2,20-29,23130,0.023249129
1661,2021/7/2,30-39,5391,0.004696083
1662,2021/7/2,40-49,3590,0.002383963
1663,2021/7/2,50-59,1964,0.001221602
1664,2021/7/2,60-69,757,0.000633151
1665,2021/7/2,70-79,319,0.000322796
1666,2021/7/2,80-89,139,0.000226399
1667,2021/7/2,90+,38,0.000395084
3534,2021/7/3,45057,0,0
1668,2021/7/3,45279,12150,0.015775902
1669,2021/7/3,20-29,20353,0.020457826
1670,2021/7/3,30-39,5251,0.004574129
1671,2021/7/3,40-49,3659,0.002429783
1672,2021/7/3,50-59,2013,0.00125208
1673,2021/7/3,60-69,671,0.000561221
1674,2021/7/3,70-79,294,0.000297499
1675,2021/7/3,80-89,81,0.00013193
1676,2021/7/3,90+,19,0.000197542
3535,2021/7/4,45057,0,0
1677,2021/7/4,45279,11301,0.014673536
1678,2021/7/4,20-29,17458,0.017547916
1679,2021/7/4,30-39,4797,0.004178652
1680,2021/7/4,40-49,3546,0.002354744
1681,2021/7/4,50-59,1852,0.001151938
1682,2021/7/4,60-69,743,0.000621442
1683,2021/7/4,70-79,297,0.000300534
1684,2021/7/4,80-89,86,0.000140074
1685,2021/7/4,90+,12,0.000124763
3536,2021/7/5,45057,0,0
1686,2021/7/5,45279,8789,0.011411885
1687,2021/7/5,20-29,13596,0.013666025
1688,2021/7/5,30-39,3800,0.003310168
1689,2021/7/5,40-49,2785,0.001849397
1690,2021/7/5,50-59,1484,0.000923043
1691,2021/7/5,60-69,596,0.000498492
1692,2021/7/5,70-79,225,0.000227677
1693,2021/7/5,80-89,99,0.000161248
1694,2021/7/5,90+,24,0.000249527
3537,2021/7/6,45057,0,0
1695,2021/7/6,45279,5947,0.007721752
1696,2021/7/6,20-29,9408,0.009456455
1697,2021/7/6,30-39,3135,0.002730889
1698,2021/7/6,40-49,2382,0.001581783
1699,2021/7/6,50-59,1376,0.000855868
1700,2021/7/6,60-69,512,0.000428234
1701,2021/7/6,70-79,201,0.000203392
1702,2021/7/6,80-89,66,0.000107499
1703,2021/7/6,90+,31,0.000322306
3538,2021/7/7,45057,0,0
1704,2021/7/7,45279,4495,0.005836434
1705,2021/7/7,20-29,7402,0.007440123
1706,2021/7/7,30-39,2452,0.002135929
1707,2021/7/7,40-49,1862,0.001236473
1708,2021/7/7,50-59,985,0.000612667
1709,2021/7/7,60-69,440,0.000368014
1710,2021/7/7,70-79,217,0.000219582
1711,2021/7/7,80-89,95,0.000154733
1712,2021/7/7,90+,21,0.000218336
3539,2021/7/8,45057,0,0
1713,2021/7/8,45279,3309,0.004296499
1714,2021/7/8,20-29,5315,0.005342374
1715,2021/7/8,30-39,1805,0.00157233
1716,2021/7/8,40-49,1325,0.000879875
1717,2021/7/8,50-59,747,0.000464632
1718,2021/7/8,60-69,384,0.000321176
1719,2021/7/8,70-79,201,0.000203392
1720,2021/7/8,80-89,99,0.000161248
1721,2021/7/8,90+,33,0.0003431
3540,2021/7/9,45057,0,0
1722,2021/7/9,45279,2894,0.003757651
1723,2021/7/9,20-29,4465,0.004487996
1724,2021/7/9,30-39,1631,0.001420759
1725,2021/7/9,40-49,1336,0.000887179
1726,2021/7/9,50-59,690,0.000429178
1727,2021/7/9,60-69,373,0.000311975
1728,2021/7/9,70-79,211,0.000213511
1729,2021/7/9,80-89,94,0.000153104
1730,2021/7/9,90+,34,0.000353496
3541,2021/7/10,45057,0,0
1731,2021/7/10,45279,3295,0.004278321
1732,2021/7/10,20-29,5086,0.005112195
1733,2021/7/10,30-39,2173,0.001892893
1734,2021/7/10,40-49,1713,0.001137529
1735,2021/7/10,50-59,1010,0.000628217
1736,2021/7/10,60-69,424,0.000354632
1737,2021/7/10,70-79,153,0.000154821
1738,2021/7/10,80-89,48,7.82E-05
1739,2021/7/10,90+,7,7.28E-05
3542,2021/7/11,45057,0,0
1740,2021/7/11,45279,2991,0.003883599
1741,2021/7/11,20-29,3961,0.003981401
1742,2021/7/11,30-39,1971,0.001716932
1743,2021/7/11,40-49,1500,0.000996085
1744,2021/7/11,50-59,817,0.000508171
1745,2021/7/11,60-69,332,0.000277683
1746,2021/7/11,70-79,146,0.000147737
1747,2021/7/11,80-89,34,5.54E-05
1748,2021/7/11,90+,6,6.24E-05
3543,2021/7/12,45057,0,0
1749,2021/7/12,45279,3544,0.004601629
1750,2021/7/12,20-29,4690,0.004714155
1751,2021/7/12,30-39,2554,0.002224781
1752,2021/7/12,40-49,1922,0.001276317
1753,2021/7/12,50-59,1055,0.000656207
1754,2021/7/12,60-69,599,0.000501001
1755,2021/7/12,70-79,301,0.000304582
1756,2021/7/12,80-89,116,0.000188937
1757,2021/7/12,90+,22,0.000228733
3544,2021/7/13,45057,0,0
1758,2021/7/13,45279,3713,0.004821064
1759,2021/7/13,20-29,5003,0.005028767
1760,2021/7/13,30-39,2742,0.002388548
1761,2021/7/13,40-49,1983,0.001316824
1762,2021/7/13,50-59,1067,0.000663671
1763,2021/7/13,60-69,542,0.000453326
1764,2021/7/13,70-79,274,0.000277261
1765,2021/7/13,80-89,81,0.00013193
1766,2021/7/13,90+,28,0.000291115
3545,2021/7/14,45057,0,0
1767,2021/7/14,45279,3476,0.004513336
1768,2021/7/14,20-29,4570,0.004593537
1769,2021/7/14,30-39,2304,0.002007007
1770,2021/7/14,40-49,1764,0.001171396
1771,2021/7/14,50-59,980,0.000609557
1772,2021/7/14,60-69,764,0.000639006
1773,2021/7/14,70-79,370,0.000374403
1774,2021/7/14,80-89,106,0.000172649
1775,2021/7/14,90+,25,0.000259924
3546,2021/7/15,45057,0,0
1776,2021/7/15,45279,3242,0.004209504
1777,2021/7/15,20-29,4359,0.004381451
1778,2021/7/15,30-39,2134,0.001858921
1779,2021/7/15,40-49,1707,0.001133544
1780,2021/7/15,50-59,943,0.000586543
1781,2021/7/15,60-69,568,0.000475072
1782,2021/7/15,70-79,269,0.000272201
1783,2021/7/15,80-89,107,0.000174278
1784,2021/7/15,90+,38,0.000395084
3547,2021/7/16,45057,0,0
1785,2021/7/16,45279,2630,0.003414866
1786,2021/7/16,20-29,3824,0.003843695
1787,2021/7/16,30-39,1715,0.001493931
1788,2021/7/16,40-49,1387,0.000921046
1789,2021/7/16,50-59,820,0.000510037
1790,2021/7/16,60-69,421,0.000352122
1791,2021/7/16,70-79,232,0.000234761
1792,2021/7/16,80-89,80,0.000130301
1793,2021/7/16,90+,27,0.000280718
3548,2021/7/17,45057,0,0
1794,2021/7/17,45279,2610,0.003388897
1795,2021/7/17,20-29,3496,0.003514006
1796,2021/7/17,30-39,1602,0.001395497
1797,2021/7/17,40-49,1275,0.000846672
1798,2021/7/17,50-59,675,0.000419848
1799,2021/7/17,60-69,373,0.000311975
1800,2021/7/17,70-79,138,0.000139642
1801,2021/7/17,80-89,41,6.68E-05
1802,2021/7/17,90+,5,5.20E-05
3549,2021/7/18,45057,0,0
1803,2021/7/18,45279,2467,0.003203222
1804,2021/7/18,20-29,2880,0.002894833
1805,2021/7/18,30-39,1304,0.00113591
1806,2021/7/18,40-49,914,0.000606948
1807,2021/7/18,50-59,493,0.000306644
1808,2021/7/18,60-69,310,0.000259283
1809,2021/7/18,70-79,123,0.000124464
1810,2021/7/18,80-89,32,5.21E-05
1811,2021/7/18,90+,5,5.20E-05
3550,2021/7/19,45057,0,0
1812,2021/7/19,45279,2354,0.0030565
1813,2021/7/19,20-29,3147,0.003163208
1814,2021/7/19,30-39,1898,0.001653342
1815,2021/7/19,40-49,1582,0.001050537
1816,2021/7/19,50-59,951,0.000591519
1817,2021/7/19,60-69,508,0.000424889
1818,2021/7/19,70-79,274,0.000277261
1819,2021/7/19,80-89,67,0.000109127
1820,2021/7/19,90+,21,0.000218336
3551,2021/7/20,45057,0,0
1821,2021/7/20,45279,1506,0.001955433
1822,2021/7/20,20-29,1953,0.001963059
1823,2021/7/20,30-39,1169,0.001018312
1824,2021/7/20,40-49,947,0.000628861
1825,2021/7/20,50-59,552,0.000343342
1826,2021/7/20,60-69,415,0.000347104
1827,2021/7/20,70-79,241,0.000243868
1828,2021/7/20,80-89,91,0.000148218
1829,2021/7/20,90+,40,0.000415878
3552,2021/7/21,45057,0,0
1830,2021/7/21,45279,1432,0.001859349
1831,2021/7/21,20-29,2503,0.002515891
1832,2021/7/21,30-39,1697,0.001478251
1833,2021/7/21,40-49,1287,0.000854641
1834,2021/7/21,50-59,757,0.000470852
1835,2021/7/21,60-69,593,0.000495982
1836,2021/7/21,70-79,240,0.000242856
1837,2021/7/21,80-89,94,0.000153104
1838,2021/7/21,90+,29,0.000301512
3553,2021/7/22,45057,0,0
1839,2021/7/22,45279,1779,0.002309904
1840,2021/7/22,20-29,3691,0.00371001
1841,2021/7/22,30-39,2588,0.002254399
1842,2021/7/22,40-49,2033,0.001350027
1843,2021/7/22,50-59,1116,0.000694149
1844,2021/7/22,60-69,761,0.000636497
1845,2021/7/22,70-79,400,0.00040476
1846,2021/7/22,80-89,116,0.000188937
1847,2021/7/22,90+,30,0.000311909
3554,2021/7/23,45057,0,0
1848,2021/7/23,45279,998,0.001295831
1849,2021/7/23,20-29,3318,0.003335089
1850,2021/7/23,30-39,2467,0.002148996
1851,2021/7/23,40-49,1947,0.001292918
1852,2021/7/23,50-59,1095,0.000681087
1853,2021/7/23,60-69,983,0.000822177
1854,2021/7/23,70-79,438,0.000443212
1855,2021/7/23,80-89,164,0.000267118
1856,2021/7/23,90+,30,0.000311909
3555,2021/7/24,45057,0,0
1857,2021/7/24,45279,752,0.000976418
1858,2021/7/24,20-29,2559,0.00257218
1859,2021/7/24,30-39,2110,0.001838014
1860,2021/7/24,40-49,1637,0.00108706
1861,2021/7/24,50-59,1028,0.000639413
1862,2021/7/24,60-69,1105,0.000924217
1863,2021/7/24,70-79,408,0.000412855
1864,2021/7/24,80-89,135,0.000219884
1865,2021/7/24,90+,20,0.000207939
3556,2021/7/25,45057,0,0
1866,2021/7/25,45279,1290,0.001674972
1867,2021/7/25,20-29,2538,0.002551072
1868,2021/7/25,30-39,2120,0.001846725
1869,2021/7/25,40-49,1587,0.001053858
1870,2021/7/25,50-59,892,0.000554821
1871,2021/7/25,60-69,661,0.000552857
1872,2021/7/25,70-79,243,0.000245892
1873,2021/7/25,80-89,73,0.0001189
1874,2021/7/25,90+,11,0.000114367
3557,2021/7/26,45057,0,0
1875,2021/7/26,45279,719,0.00093357
1876,2021/7/26,20-29,1869,0.001878626
1877,2021/7/26,30-39,1540,0.001341489
1878,2021/7/26,40-49,1175,0.000780266
1879,2021/7/26,50-59,733,0.000455924
1880,2021/7/26,60-69,1017,0.000850614
1881,2021/7/26,70-79,498,0.000503926
1882,2021/7/26,80-89,146,0.0002378
1883,2021/7/26,90+,28,0.000291115
3558,2021/7/27,45057,0,0
1884,2021/7/27,45279,808,0.00104913
1885,2021/7/27,20-29,1841,0.001850482
1886,2021/7/27,30-39,1464,0.001275286
1887,2021/7/27,40-49,1140,0.000757024
1888,2021/7/27,50-59,682,0.000424202
1889,2021/7/27,60-69,929,0.000777011
1890,2021/7/27,70-79,423,0.000428034
1891,2021/7/27,80-89,175,0.000285034
1892,2021/7/27,90+,32,0.000332703
3559,2021/7/28,45057,0,0
1893,2021/7/28,45279,1108,0.001438658
1894,2021/7/28,20-29,5590,0.005618791
1895,2021/7/28,30-39,4522,0.0039391
1896,2021/7/28,40-49,3399,0.002257128
1897,2021/7/28,50-59,2031,0.001263276
1898,2021/7/28,60-69,1477,0.001235356
1899,2021/7/28,70-79,747,0.000755889
1900,2021/7/28,80-89,207,0.000337155
1901,2021/7/28,90+,53,0.000551039
3560,2021/7/29,45057,0,0
1902,2021/7/29,45279,8044,0.010444556
1903,2021/7/29,20-29,8480,0.008523675
1904,2021/7/29,30-39,6361,0.005541047
1905,2021/7/29,40-49,4975,0.003303681
1906,2021/7/29,50-59,3013,0.001874077
1907,2021/7/29,60-69,1732,0.001448637
1908,2021/7/29,70-79,843,0.000853032
1909,2021/7/29,80-89,247,0.000402306
1910,2021/7/29,90+,57,0.000592626
3561,2021/7/30,45057,0,0
1911,2021/7/30,45279,8383,0.010884723
1912,2021/7/30,20-29,8657,0.008701587
1913,2021/7/30,30-39,6924,0.006031474
1914,2021/7/30,40-49,5442,0.003613795
1915,2021/7/30,50-59,3176,0.001975462
1916,2021/7/30,60-69,1501,0.001255429
1917,2021/7/30,70-79,711,0.000719461
1918,2021/7/30,80-89,234,0.000381132
1919,2021/7/30,90+,46,0.00047826
3562,2021/7/31,45057,0,0
1920,2021/7/31,45279,10430,0.013542605
1921,2021/7/31,20-29,7995,0.008036177
1922,2021/7/31,30-39,6750,0.005879904
1923,2021/7/31,40-49,5590,0.003712076
1924,2021/7/31,50-59,3303,0.002054456
1925,2021/7/31,60-69,1488,0.001244556
1926,2021/7/31,70-79,580,0.000586902
1927,2021/7/31,80-89,187,0.00030458
1928,2021/7/31,90+,15,0.000155954
3563,2021/8/1,45057,0,0
