Unnamed: 0,prename,week_end,sex,age,rV
26,British Columbia,2021-01-25,All sexes,70–79,0.0003128244613986
27,British Columbia,2021-01-25,All sexes,80+,0.0011969459417457
24,British Columbia,2021-01-26,All sexes,0–17,1.5734929942370102e-06
25,British Columbia,2021-01-26,All sexes,18–69,0.0005865374126384
26,British Columbia,2021-01-26,All sexes,70–79,0.0003128244613986
27,British Columbia,2021-01-26,All sexes,80+,0.0011969459417457
24,British Columbia,2021-01-27,All sexes,0–17,1.5734929942370102e-06
25,British Columbia,2021-01-27,All sexes,18–69,0.0005865374126384
26,British Columbia,2021-01-27,All sexes,70–79,0.0003128244613986
27,British Columbia,2021-01-27,All sexes,80+,0.0011969459417457
24,British Columbia,2021-01-28,All sexes,0–17,1.5734929942370102e-06
25,British Columbia,2021-01-28,All sexes,18–69,0.0005865374126384
26,British Columbia,2021-01-28,All sexes,70–79,0.0003128244613986
27,British Columbia,2021-01-28,All sexes,80+,0.0011969459417457
24,British Columbia,2021-01-29,All sexes,0–17,1.5734929942370102e-06
25,British Columbia,2021-01-29,All sexes,18–69,0.0005865374126384
26,British Columbia,2021-01-29,All sexes,70–79,0.0003128244613986
27,British Columbia,2021-01-29,All sexes,80+,0.0011969459417457
24,British Columbia,2021-01-30,All sexes,0–17,1.5734929942370102e-06
25,British Columbia,2021-01-30,All sexes,18–69,0.0005865374126384
26,British Columbia,2021-01-30,All sexes,70–79,0.0003128244613986
27,British Columbia,2021-01-30,All sexes,80+,0.0011969459417457
28,British Columbia,2021-01-31,All sexes,0–17,7.152240882895501e-07
29,British Columbia,2021-01-31,All sexes,18–69,0.0002781763736126
30,British Columbia,2021-01-31,All sexes,70–79,9.464340443824285e-05
31,British Columbia,2021-01-31,All sexes,80+,0.0002000504153899
28,British Columbia,2021-02-01,All sexes,0–17,7.152240882895501e-07
29,British Columbia,2021-02-01,All sexes,18–69,0.0002781763736126
30,British Columbia,2021-02-01,All sexes,70–79,9.464340443824285e-05
31,British Columbia,2021-02-01,All sexes,80+,0.0002000504153899
28,British Columbia,2021-02-02,All sexes,0–17,7.152240882895501e-07
29,British Columbia,2021-02-02,All sexes,18–69,0.0002781763736126
30,British Columbia,2021-02-02,All sexes,70–79,9.464340443824285e-05
31,British Columbia,2021-02-02,All sexes,80+,0.0002000504153899
28,British Columbia,2021-02-03,All sexes,0–17,7.152240882895501e-07
29,British Columbia,2021-02-03,All sexes,18–69,0.0002781763736126
30,British Columbia,2021-02-03,All sexes,70–79,9.464340443824285e-05
31,British Columbia,2021-02-03,All sexes,80+,0.0002000504153899
28,British Columbia,2021-02-04,All sexes,0–17,7.152240882895501e-07
29,British Columbia,2021-02-04,All sexes,18–69,0.0002781763736126
30,British Columbia,2021-02-04,All sexes,70–79,9.464340443824285e-05
31,British Columbia,2021-02-04,All sexes,80+,0.0002000504153899
28,British Columbia,2021-02-05,All sexes,0–17,7.152240882895501e-07
29,British Columbia,2021-02-05,All sexes,18–69,0.0002781763736126
30,British Columbia,2021-02-05,All sexes,70–79,9.464340443824285e-05
31,British Columbia,2021-02-05,All sexes,80+,0.0002000504153899
28,British Columbia,2021-02-06,All sexes,0–17,7.152240882895501e-07
29,British Columbia,2021-02-06,All sexes,18–69,0.0002781763736126
30,British Columbia,2021-02-06,All sexes,70–79,9.464340443824285e-05
31,British Columbia,2021-02-06,All sexes,80+,0.0002000504153899
32,British Columbia,2021-02-07,All sexes,0–17,7.152240882895501e-07
33,British Columbia,2021-02-07,All sexes,18–69,0.0002196278335955
34,British Columbia,2021-02-07,All sexes,70–79,0.0001111544033433
35,British Columbia,2021-02-07,All sexes,80+,0.0002537552248905
32,British Columbia,2021-02-08,All sexes,0–17,7.152240882895501e-07
33,British Columbia,2021-02-08,All sexes,18–69,0.0002196278335955
34,British Columbia,2021-02-08,All sexes,70–79,0.0001111544033433
35,British Columbia,2021-02-08,All sexes,80+,0.0002537552248905
32,British Columbia,2021-02-09,All sexes,0–17,7.152240882895501e-07
33,British Columbia,2021-02-09,All sexes,18–69,0.0002196278335955
34,British Columbia,2021-02-09,All sexes,70–79,0.0001111544033433
35,British Columbia,2021-02-09,All sexes,80+,0.0002537552248905
32,British Columbia,2021-02-10,All sexes,0–17,7.152240882895501e-07
33,British Columbia,2021-02-10,All sexes,18–69,0.0002196278335955
34,British Columbia,2021-02-10,All sexes,70–79,0.0001111544033433
35,British Columbia,2021-02-10,All sexes,80+,0.0002537552248905
32,British Columbia,2021-02-11,All sexes,0–17,7.152240882895501e-07
33,British Columbia,2021-02-11,All sexes,18–69,0.0002196278335955
34,British Columbia,2021-02-11,All sexes,70–79,0.0001111544033433
35,British Columbia,2021-02-11,All sexes,80+,0.0002537552248905
32,British Columbia,2021-02-12,All sexes,0–17,7.152240882895501e-07
