,prename,week_end,sex,age,rV
143,British Columbia,2021-06-12,All sexes,80+,0.006325083938938974
144,British Columbia,2021-06-19,All sexes,0–4,0.0
145,British Columbia,2021-06-19,All sexes,05–11,0.0030445368814154892
146,British Columbia,2021-06-19,All sexes,12–17,0.025475609802788
147,British Columbia,2021-06-19,All sexes,18–29,0.02024962661793097
148,British Columbia,2021-06-19,All sexes,30–39,0.012717010788026006
149,British Columbia,2021-06-19,All sexes,40–49,0.00931126331235056
150,British Columbia,2021-06-19,All sexes,50–59,0.007018024145311027
151,British Columbia,2021-06-19,All sexes,60–69,0.005335997414274381
152,British Columbia,2021-06-19,All sexes,70–79,0.004069961230110696
153,British Columbia,2021-06-19,All sexes,80+,0.005310063039376702
154,British Columbia,2021-06-26,All sexes,0–4,0.0
155,British Columbia,2021-06-26,All sexes,05–11,0.003136795574791716
156,British Columbia,2021-06-26,All sexes,12–17,0.02629876220849876
157,British Columbia,2021-06-26,All sexes,18–29,0.02839930793824894
158,British Columbia,2021-06-26,All sexes,30–39,0.017260841608916198
159,British Columbia,2021-06-26,All sexes,40–49,0.012872832886370485
160,British Columbia,2021-06-26,All sexes,50–59,0.010283216199915304
161,British Columbia,2021-06-26,All sexes,60–69,0.008117121617253842
162,British Columbia,2021-06-26,All sexes,70–79,0.006088430846260929
163,British Columbia,2021-06-26,All sexes,80+,0.007918102850751984
164,British Columbia,2021-07-03,All sexes,0–4,0.0
165,British Columbia,2021-07-03,All sexes,05–11,0.0008303282403860424
166,British Columbia,2021-07-03,All sexes,12–17,0.016449647958773465
167,British Columbia,2021-07-03,All sexes,18–29,0.0208718140731286
168,British Columbia,2021-07-03,All sexes,30–39,0.012631278131028078
169,British Columbia,2021-07-03,All sexes,40–49,0.009780687873552166
170,British Columbia,2021-07-03,All sexes,50–59,0.008054615684043477
171,British Columbia,2021-07-03,All sexes,60–69,0.0063835101225281346
172,British Columbia,2021-07-03,All sexes,70–79,0.0051349206594905735
173,British Columbia,2021-07-03,All sexes,80+,0.006123019593192781
174,British Columbia,2021-07-10,All sexes,0–4,0.0
175,British Columbia,2021-07-10,All sexes,05–11,0.0012194192515814343
176,British Columbia,2021-07-10,All sexes,12–17,0.01299815077854903
177,British Columbia,2021-07-10,All sexes,18–29,0.018193763371114634
178,British Columbia,2021-07-10,All sexes,30–39,0.012044139328557418
179,British Columbia,2021-07-10,All sexes,40–49,0.009073522486193617
180,British Columbia,2021-07-10,All sexes,50–59,0.007410132361475297
181,British Columbia,2021-07-10,All sexes,60–69,0.005447653747832986
182,British Columbia,2021-07-10,All sexes,70–79,0.0036076532607674933
183,British Columbia,2021-07-10,All sexes,80+,0.004003693548273408
184,British Columbia,2021-07-17,All sexes,0–4,0.0
185,British Columbia,2021-07-17,All sexes,05–11,0.0
186,British Columbia,2021-07-17,All sexes,12–17,0.009628968838895673
187,British Columbia,2021-07-17,All sexes,18–29,0.015652120657041087
188,British Columbia,2021-07-17,All sexes,30–39,0.009793007592536063
189,British Columbia,2021-07-17,All sexes,40–49,0.007474450432552019
190,British Columbia,2021-07-17,All sexes,50–59,0.005900159267228165
191,British Columbia,2021-07-17,All sexes,60–69,0.004605823759292451
192,British Columbia,2021-07-17,All sexes,70–79,0.003405393524179842
193,British Columbia,2021-07-17,All sexes,80+,0.003806328373358521
194,British Columbia,2021-07-24,All sexes,0–4,0.0
195,British Columbia,2021-07-24,All sexes,05–11,0.0
196,British Columbia,2021-07-24,All sexes,12–17,0.007888862939381526
197,British Columbia,2021-07-24,All sexes,18–29,0.013220439484266452
198,British Columbia,2021-07-24,All sexes,30–39,0.009016217760948774
199,British Columbia,2021-07-24,All sexes,40–49,0.007153424603601244
200,British Columbia,2021-07-24,All sexes,50–59,0.005813182535642637
201,British Columbia,2021-07-24,All sexes,60–69,0.0041827050215966855
202,British Columbia,2021-07-24,All sexes,70–79,0.0031886866635502157
203,British Columbia,2021-07-24,All sexes,80+,0.005004616935341759
204,British Columbia,2021-07-31,All sexes,0–4,0.0
205,British Columbia,2021-07-31,All sexes,05–11,0.0
206,British Columbia,2021-07-31,All sexes,12–17,0.007976921103713374
207,British Columbia,2021-07-31,All sexes,18–29,0.012598252029068821
208,British Columbia,2021-07-31,All sexes,30–39,0.00884864938590737
209,British Columbia,2021-07-31,All sexes,40–49,0.006794541955198726
210,British Columbia,2021-07-31,All sexes,50–59,0.005294173842247022
211,British Columbia,2021-07-31,All sexes,60–69,0.004410425175564893
212,British Columbia,2021-07-31,All sexes,70–79,0.0033806270258221706
213,British Columbia,2021-07-31,All sexes,80+,0.004694471660475509
214,British Columbia,2021-08-07,All sexes,0–4,0.0
215,British Columbia,2021-08-07,All sexes,05–11,0.0
216,British Columbia,2021-08-07,All sexes,12–17,0.007601716751342887
217,British Columbia,2021-08-07,All sexes,18–29,0.010969707683249516
218,British Columbia,2021-08-07,All sexes,30–39,0.008121220781076464
219,British Columbia,2021-08-07,All sexes,40–49,0.006449287761798835
220,British Columbia,2021-08-07,All sexes,50–59,0.0049049173222003115
221,British Columbia,2021-08-07,All sexes,60–69,0.0037022889548379515
222,British Columbia,2021-08-07,All sexes,70–79,0.002658270823723416
223,British Columbia,2021-08-07,All sexes,80+,0.003825125056683748
224,British Columbia,2021-08-14,All sexes,0–4,0.0
225,British Columbia,2021-08-14,All sexes,05–11,0.0
226,British Columbia,2021-08-14,All sexes,12–17,0.007481115352366659
227,British Columbia,2021-08-14,All sexes,18–29,0.009988405321025065
228,British Columbia,2021-08-14,All sexes,30–39,0.007596433001877026
229,British Columbia,2021-08-14,All sexes,40–49,0.006091919386174387
230,British Columbia,2021-08-14,All sexes,50–59,0.004308912833630623
231,British Columbia,2021-08-14,All sexes,60–69,0.003236564510915876
232,British Columbia,2021-08-14,All sexes,70–79,0.0025860352035135406
233,British Columbia,2021-08-14,All sexes,80+,0.004027189402429941
234,British Columbia,2021-08-21,All sexes,0–4,0.0
235,British Columbia,2021-08-21,All sexes,05–11,0.0
236,British Columbia,2021-08-21,All sexes,12–17,0.0068015360406752145
237,British Columbia,2021-08-21,All sexes,18–29,0.009618155068043923
238,British Columbia,2021-08-21,All sexes,30–39,0.006996304402891528
239,British Columbia,2021-08-21,All sexes,40–49,0.005521038548842111
240,British Columbia,2021-08-21,All sexes,50–59,0.003707204952825817
241,British Columbia,2021-08-21,All sexes,60–69,0.002732641847618488
242,British Columbia,2021-08-21,All sexes,70–79,0.002596354577829237
243,British Columbia,2021-08-21,All sexes,80+,0.0036371582234314757
244,British Columbia,2021-08-28,All sexes,0–4,0.0
245,British Columbia,2021-08-28,All sexes,05–11,0.0
246,British Columbia,2021-08-28,All sexes,12–17,0.012360686241103255
247,British Columbia,2021-08-28,All sexes,18–29,0.018994116361581385
248,British Columbia,2021-08-28,All sexes,30–39,0.01301577610786727
249,British Columbia,2021-08-28,All sexes,40–49,0.01011231361194943
250,British Columbia,2021-08-28,All sexes,50–59,0.006720021901026183
251,British Columbia,2021-08-28,All sexes,60–69,0.0049158170011459465
252,British Columbia,2021-08-28,All sexes,70–79,0.0034095212739061204
253,British Columbia,2021-08-28,All sexes,80+,0.004365529702284032
254,British Columbia,2021-09-04,All sexes,0–4,0.0
255,British Columbia,2021-09-04,All sexes,05–11,0.0
256,British Columbia,2021-09-04,All sexes,12–17,0.009669169305221083
257,British Columbia,2021-09-04,All sexes,18–29,0.015347290561541577
258,British Columbia,2021-09-04,All sexes,30–39,0.009718965752401488
259,British Columbia,2021-09-04,All sexes,40–49,0.007403279611982744
260,British Columbia,2021-09-04,All sexes,50–59,0.005040372887784332
261,British Columbia,2021-09-04,All sexes,60–69,0.003374665765580466
262,British Columbia,2021-09-04,All sexes,70–79,0.0030916845449826687
263,British Columbia,2021-09-04,All sexes,80+,0.004539399023042384
264,British Columbia,2021-09-11,All sexes,0–4,0.0
265,British Columbia,2021-09-11,All sexes,05–11,0.0
266,British Columbia,2021-09-11,All sexes,12–17,0.00792523478986642
267,British Columbia,2021-09-11,All sexes,18–29,0.015689702449636918
268,British Columbia,2021-09-11,All sexes,30–39,0.010702293348574695
269,British Columbia,2021-09-11,All sexes,40–49,0.007647077529251965
270,British Columbia,2021-09-11,All sexes,50–59,0.005144459796075211
271,British Columbia,2021-09-11,All sexes,60–69,0.003442247230629095
272,British Columbia,2021-09-11,All sexes,70–79,0.002775911690922356
273,British Columbia,2021-09-11,All sexes,80+,0.0036136623692749415
274,British Columbia,2021-09-18,All sexes,0–4,0.0
275,British Columbia,2021-09-18,All sexes,05–11,0.0
276,British Columbia,2021-09-18,All sexes,12–17,0.008032436033400845
277,British Columbia,2021-09-18,All sexes,18–29,0.020296951838236828
278,British Columbia,2021-09-18,All sexes,30–39,0.013228808770710606
279,British Columbia,2021-09-18,All sexes,40–49,0.009508118773499621
280,British Columbia,2021-09-18,All sexes,50–59,0.006441981529564247
281,British Columbia,2021-09-18,All sexes,60–69,0.004918755325713278
282,British Columbia,2021-09-18,All sexes,70–79,0.003915170615375249
283,British Columbia,2021-09-18,All sexes,80+,0.0044313180939223274
284,British Columbia,2021-09-25,All sexes,0–4,0.0
285,British Columbia,2021-09-25,All sexes,05–11,0.0
286,British Columbia,2021-09-25,All sexes,12–17,0.0071939691643280205
287,British Columbia,2021-09-25,All sexes,18–29,0.018459619755774023
288,British Columbia,2021-09-25,All sexes,30–39,0.011271246435924582
289,British Columbia,2021-09-25,All sexes,40–49,0.008028674269325528
290,British Columbia,2021-09-25,All sexes,50–59,0.005460998065124185
291,British Columbia,2021-09-25,All sexes,60–69,0.0042620397849146415
292,British Columbia,2021-09-25,All sexes,70–79,0.0034033296493167025
