data,agegroup,n
2021-03-02,1.0,2
2021-03-02,2.0,152
2021-03-02,3.0,1645
2021-03-02,4.0,1951
2021-03-02,5.0,1645
2021-03-02,6.0,3385
2021-03-02,7.0,3081
2021-03-02,8.0,19984
2021-03-02,9.0,71452
2021-03-02,10.0,955
2021-03-03,1.0,6
2021-03-03,2.0,141
2021-03-03,3.0,1529
2021-03-03,4.0,1706
2021-03-03,5.0,1527
2021-03-03,6.0,2491
2021-03-03,7.0,2667
2021-03-03,8.0,138481
2021-03-03,9.0,35142
2021-03-03,10.0,665
2021-03-04,1.0,1
2021-03-04,2.0,171
2021-03-04,3.0,1540
2021-03-04,4.0,1712
2021-03-04,5.0,1526
2021-03-04,6.0,2118
2021-03-04,7.0,2751
2021-03-04,8.0,45706
2021-03-04,9.0,22039
2021-03-04,10.0,668
2021-03-05,1.0,1
2021-03-05,2.0,159
2021-03-05,3.0,1442
2021-03-05,4.0,1501
2021-03-05,5.0,1311
2021-03-05,6.0,1952
2021-03-05,7.0,2990
2021-03-05,8.0,37768
2021-03-05,9.0,18402
2021-03-05,10.0,655
2021-03-06,2.0,26
2021-03-06,3.0,241
2021-03-06,4.0,297
2021-03-06,5.0,353
2021-03-06,6.0,531
2021-03-06,7.0,827
2021-03-06,8.0,34374
2021-03-06,9.0,11033
2021-03-06,10.0,334
2021-03-07,2.0,2
2021-03-07,3.0,79
2021-03-07,4.0,115
2021-03-07,5.0,96
2021-03-07,6.0,79
2021-03-07,7.0,45
2021-03-07,8.0,6079
2021-03-07,9.0,1784
2021-03-07,10.0,37
2021-03-08,2.0,139
2021-03-08,3.0,1491
2021-03-08,4.0,1635
2021-03-08,5.0,1512
2021-03-08,6.0,1518
2021-03-08,7.0,2636
2021-03-08,8.0,45072
2021-03-08,9.0,12225
2021-03-08,10.0,553
2021-03-09,1.0,1
2021-03-09,2.0,127
2021-03-09,3.0,1161
2021-03-09,4.0,1351
2021-03-09,5.0,1144
2021-03-09,6.0,1014
2021-03-09,7.0,2457
2021-03-09,8.0,32266
2021-03-09,9.0,8219
2021-03-09,10.0,439
2021-03-10,1.0,2
2021-03-10,2.0,148
2021-03-10,3.0,1318
2021-03-10,4.0,1353
2021-03-10,5.0,1303
2021-03-10,6.0,1274
2021-03-10,7.0,2818
2021-03-10,8.0,26722
2021-03-10,9.0,7727
2021-03-10,10.0,501
