,date,age_band,new_doses,population,rV
3064,2021/5/27,30 - 34 years,10868,822084,0.01322006
3065,2021/5/27,35 - 39 years,17854,779934,0.022891681
3066,2021/5/27,40 - 44 years,5367,677463,0.007922204
3067,2021/5/27,45 - 49 years,2092,598535,0.003495201
3068,2021/5/27,5 - 9 years,0,832055,0
3069,2021/5/27,50 - 54 years,1113,569938,0.001952844
3071,2021/5/27,55 - 59 years,1158,508722,0.002276292
3072,2021/5/27,60 - 64 years,1183,405576,0.002916839
3073,2021/5/27,65 - 69 years,399,318142,0.001254157
3074,2021/5/27,70 - 74 years,126,280432,0.000449307
3076,2021/5/27,75+ years,129,499879,0.000258062
3078,2021/5/28,10 - 14 years,3,425353,7.05E-06
3079,2021/5/28,15 - 19 years,15,194388,7.72E-05
3080,2021/5/28,20 - 24 years,1285,736340,0.001745118
3081,2021/5/28,25 - 29 years,1587,757848,0.002094087
3082,2021/5/28,30 - 34 years,8928,822084,0.010860204
3083,2021/5/28,35 - 39 years,15870,779934,0.020347876
3084,2021/5/28,40 - 44 years,4734,677463,0.006987835
3085,2021/5/28,45 - 49 years,2046,598535,0.003418346
3086,2021/5/28,5 - 9 years,0,832055,0
3087,2021/5/28,50 - 54 years,1076,569938,0.001887925
3089,2021/5/28,55 - 59 years,712,508722,0.001399586
3090,2021/5/28,60 - 64 years,563,405576,0.001388149
3091,2021/5/28,65 - 69 years,224,318142,0.000704088
3092,2021/5/28,70 - 74 years,94,280432,0.000335197
3094,2021/5/28,75+ years,97,499879,0.000194047
3096,2021/5/29,10 - 14 years,0,425353,0
3097,2021/5/29,15 - 19 years,17,194388,8.75E-05
3098,2021/5/29,20 - 24 years,1414,736340,0.001920309
3099,2021/5/29,25 - 29 years,2008,757848,0.002649608
3100,2021/5/29,30 - 34 years,9368,822084,0.011395429
3101,2021/5/29,35 - 39 years,14565,779934,0.018674657
3102,2021/5/29,40 - 44 years,4295,677463,0.00633983
3103,2021/5/29,45 - 49 years,1932,598535,0.003227881
3104,2021/5/29,5 - 9 years,0,832055,0
3105,2021/5/29,50 - 54 years,929,569938,0.001630002
3107,2021/5/29,55 - 59 years,529,508722,0.001039861
3108,2021/5/29,60 - 64 years,388,405576,0.000956664
3109,2021/5/29,65 - 69 years,160,318142,0.00050292
3110,2021/5/29,70 - 74 years,85,280432,0.000303104
3112,2021/5/29,75+ years,79,499879,0.000158038
3114,2021/5/30,10 - 14 years,1,425353,2.35E-06
3115,2021/5/30,15 - 19 years,3,194388,1.54E-05
3116,2021/5/30,20 - 24 years,747,736340,0.001014477
3117,2021/5/30,25 - 29 years,1175,757848,0.001550443
3118,2021/5/30,30 - 34 years,7680,822084,0.009342111
3119,2021/5/30,35 - 39 years,9759,779934,0.012512597
3120,2021/5/30,40 - 44 years,2137,677463,0.003154416
3121,2021/5/30,45 - 49 years,995,598535,0.001662392
3122,2021/5/30,5 - 9 years,0,832055,0
3123,2021/5/30,50 - 54 years,491,569938,0.000861497
3125,2021/5/30,55 - 59 years,233,508722,0.00045801
3126,2021/5/30,60 - 64 years,242,405576,0.000596682
3127,2021/5/30,65 - 69 years,113,318142,0.000355187
3128,2021/5/30,70 - 74 years,26,280432,9.27E-05
3130,2021/5/30,75+ years,32,499879,6.40E-05
3132,2021/5/31,10 - 14 years,1,425353,2.35E-06
3133,2021/5/31,15 - 19 years,15,194388,7.72E-05
3134,2021/5/31,20 - 24 years,3083,736340,0.004186925
3135,2021/5/31,25 - 29 years,4168,757848,0.005499784
3136,2021/5/31,30 - 34 years,7631,822084,0.009282506
3137,2021/5/31,35 - 39 years,6093,779934,0.007812199
3138,2021/5/31,40 - 44 years,1450,677463,0.002140338
3139,2021/5/31,45 - 49 years,845,598535,0.00141178
3140,2021/5/31,5 - 9 years,0,832055,0
3141,2021/5/31,50 - 54 years,465,569938,0.000815878
3143,2021/5/31,55 - 59 years,307,508722,0.000603473
3144,2021/5/31,60 - 64 years,232,405576,0.000572026
3145,2021/5/31,65 - 69 years,113,318142,0.000355187
3146,2021/5/31,70 - 74 years,37,280432,0.000131939
3148,2021/5/31,75+ years,31,499879,6.20E-05
3150,2021/6/1,10 - 14 years,0,425353,0
3151,2021/6/1,15 - 19 years,9,194388,4.63E-05
3152,2021/6/1,20 - 24 years,964,736340,0.001309178
3153,2021/6/1,25 - 29 years,1521,757848,0.002006999
3154,2021/6/1,30 - 34 years,7012,822084,0.008529542
3155,2021/6/1,35 - 39 years,7264,779934,0.009313609
3156,2021/6/1,40 - 44 years,1616,677463,0.00238537
3157,2021/6/1,45 - 49 years,954,598535,0.001593892
3158,2021/6/1,5 - 9 years,0,832055,0
3159,2021/6/1,50 - 54 years,531,569938,0.00093168
3161,2021/6/1,55 - 59 years,389,508722,0.000764661
3162,2021/6/1,60 - 64 years,349,405576,0.000860505
3163,2021/6/1,65 - 69 years,129,318142,0.000405479
3164,2021/6/1,70 - 74 years,70,280432,0.000249615
3166,2021/6/1,75+ years,68,499879,0.000136033
3168,2021/6/2,10 - 14 years,1,425353,2.35E-06
3169,2021/6/2,15 - 19 years,26,194388,0.000133753
3170,2021/6/2,20 - 24 years,1483,736340,0.002014015
3171,2021/6/2,25 - 29 years,2551,757848,0.00336611
3172,2021/6/2,30 - 34 years,11057,822084,0.013449964
3173,2021/6/2,35 - 39 years,8384,779934,0.010749628
3174,2021/6/2,40 - 44 years,1995,677463,0.00294481
3175,2021/6/2,45 - 49 years,1070,598535,0.001787698
3176,2021/6/2,5 - 9 years,0,832055,0
3177,2021/6/2,50 - 54 years,576,569938,0.001010636
3179,2021/6/2,55 - 59 years,429,508722,0.00084329
3180,2021/6/2,60 - 64 years,309,405576,0.000761879
3181,2021/6/2,65 - 69 years,150,318142,0.000471488
3182,2021/6/2,70 - 74 years,71,280432,0.000253181
3184,2021/6/2,75+ years,68,499879,0.000136033
3186,2021/6/3,10 - 14 years,0,425353,0
3187,2021/6/3,15 - 19 years,33,194388,0.000169764
3188,2021/6/3,20 - 24 years,2903,736340,0.003942472
3189,2021/6/3,25 - 29 years,3367,757848,0.004442843
3190,2021/6/3,30 - 34 years,13253,822084,0.016121224
3191,2021/6/3,35 - 39 years,8821,779934,0.011309931
3192,2021/6/3,40 - 44 years,2271,677463,0.003352213
3193,2021/6/3,45 - 49 years,1137,598535,0.001899638
3194,2021/6/3,5 - 9 years,0,832055,0
3195,2021/6/3,50 - 54 years,634,569938,0.001112402
3197,2021/6/3,55 - 59 years,428,508722,0.000841324
3198,2021/6/3,60 - 64 years,295,405576,0.000727361
3199,2021/6/3,65 - 69 years,157,318142,0.00049349
3200,2021/6/3,70 - 74 years,77,280432,0.000274576
3202,2021/6/3,75+ years,120,499879,0.000240058
3204,2021/6/4,10 - 14 years,6,425353,1.41E-05
3205,2021/6/4,15 - 19 years,22,194388,0.000113176
3206,2021/6/4,20 - 24 years,2583,736340,0.00350789
3207,2021/6/4,25 - 29 years,3716,757848,0.004903358
3208,2021/6/4,30 - 34 years,12579,822084,0.015301356
3209,2021/6/4,35 - 39 years,9370,779934,0.012013837
3210,2021/6/4,40 - 44 years,2228,677463,0.00328874
3211,2021/6/4,45 - 49 years,1021,598535,0.001705832
3212,2021/6/4,5 - 9 years,0,832055,0
3213,2021/6/4,50 - 54 years,611,569938,0.001072046
3215,2021/6/4,55 - 59 years,404,508722,0.000794147
3216,2021/6/4,60 - 64 years,230,405576,0.000567095
3217,2021/6/4,65 - 69 years,126,318142,0.00039605
3218,2021/6/4,70 - 74 years,80,280432,0.000285274
3220,2021/6/4,75+ years,80,499879,0.000160039
3222,2021/6/5,10 - 14 years,0,425353,0
3223,2021/6/5,15 - 19 years,32,194388,0.000164619
3224,2021/6/5,20 - 24 years,3687,736340,0.005007198
3225,2021/6/5,25 - 29 years,4875,757848,0.006432688
3226,2021/6/5,30 - 34 years,14538,822084,0.017684324
3227,2021/6/5,35 - 39 years,9473,779934,0.0121459
3228,2021/6/5,40 - 44 years,2679,677463,0.00395446
3229,2021/6/5,45 - 49 years,1300,598535,0.00217197
3230,2021/6/5,5 - 9 years,0,832055,0
3231,2021/6/5,50 - 54 years,716,569938,0.001256277
3233,2021/6/5,55 - 59 years,445,508722,0.000874741
3234,2021/6/5,60 - 64 years,270,405576,0.00066572
3235,2021/6/5,65 - 69 years,110,318142,0.000345758
3236,2021/6/5,70 - 74 years,69,280432,0.000246049
3238,2021/6/5,75+ years,64,499879,0.000128031
3240,2021/6/6,10 - 14 years,2,425353,4.70E-06
3241,2021/6/6,15 - 19 years,32,194388,0.000164619
3242,2021/6/6,20 - 24 years,2521,736340,0.00342369
3243,2021/6/6,25 - 29 years,4319,757848,0.005699032
3244,2021/6/6,30 - 34 years,12481,822084,0.015182147
3245,2021/6/6,35 - 39 years,5827,779934,0.007471145
3246,2021/6/6,40 - 44 years,1461,677463,0.002156575
3247,2021/6/6,45 - 49 years,783,598535,0.001308194
3248,2021/6/6,5 - 9 years,0,832055,0
3249,2021/6/6,50 - 54 years,389,569938,0.00068253
3251,2021/6/6,55 - 59 years,207,508722,0.000406902
3252,2021/6/6,60 - 64 years,168,405576,0.000414226
3253,2021/6/6,65 - 69 years,59,318142,0.000185452
3254,2021/6/6,70 - 74 years,28,280432,9.98E-05
3256,2021/6/6,75+ years,27,499879,5.40E-05
3258,2021/6/7,10 - 14 years,0,425353,0
3259,2021/6/7,15 - 19 years,3,194388,1.54E-05
3260,2021/6/7,20 - 24 years,754,736340,0.001023983
3261,2021/6/7,25 - 29 years,1867,757848,0.002463555
3262,2021/6/7,30 - 34 years,7813,822084,0.009503895
3263,2021/6/7,35 - 39 years,5154,779934,0.006608251
3264,2021/6/7,40 - 44 years,1404,677463,0.002072438
3265,2021/6/7,45 - 49 years,748,598535,0.001249718
3266,2021/6/7,5 - 9 years,0,832055,0
3267,2021/6/7,50 - 54 years,398,569938,0.000698322
3269,2021/6/7,55 - 59 years,248,508722,0.000487496
3270,2021/6/7,60 - 64 years,156,405576,0.000384638
3271,2021/6/7,65 - 69 years,89,318142,0.000279749
3272,2021/6/7,70 - 74 years,40,280432,0.000142637
3274,2021/6/7,75+ years,44,499879,8.80E-05
3276,2021/6/8,10 - 14 years,1,425353,2.35E-06
3277,2021/6/8,15 - 19 years,23,194388,0.00011832
3278,2021/6/8,20 - 24 years,1410,736340,0.001914876
3279,2021/6/8,25 - 29 years,3237,757848,0.004271305
3280,2021/6/8,30 - 34 years,9087,822084,0.011053615
3281,2021/6/8,35 - 39 years,4697,779934,0.006022304
3282,2021/6/8,40 - 44 years,1480,677463,0.002184621
3283,2021/6/8,45 - 49 years,780,598535,0.001303182
3284,2021/6/8,5 - 9 years,0,832055,0
3285,2021/6/8,50 - 54 years,431,569938,0.000756223
3287,2021/6/8,55 - 59 years,255,508722,0.000501256
3288,2021/6/8,60 - 64 years,171,405576,0.000421623
3289,2021/6/8,65 - 69 years,98,318142,0.000308039
3290,2021/6/8,70 - 74 years,65,280432,0.000231785
3292,2021/6/8,75+ years,63,499879,0.00012603
3294,2021/6/9,10 - 14 years,1,425353,2.35E-06
3295,2021/6/9,15 - 19 years,17,194388,8.75E-05
3296,2021/6/9,20 - 24 years,1378,736340,0.001871418
3297,2021/6/9,25 - 29 years,7910,757848,0.010437449
3298,2021/6/9,30 - 34 years,11208,822084,0.013633643
3299,2021/6/9,35 - 39 years,5146,779934,0.006597994
3300,2021/6/9,40 - 44 years,1628,677463,0.002403083
3301,2021/6/9,45 - 49 years,834,598535,0.001393402
3302,2021/6/9,5 - 9 years,0,832055,0
3303,2021/6/9,50 - 54 years,469,569938,0.000822897
3305,2021/6/9,55 - 59 years,321,508722,0.000630993
3306,2021/6/9,60 - 64 years,213,405576,0.000525179
3307,2021/6/9,65 - 69 years,117,318142,0.00036776
3308,2021/6/9,70 - 74 years,60,280432,0.000213956
3310,2021/6/9,75+ years,101,499879,0.000202049
3312,2021/6/10,10 - 14 years,2,425353,4.70E-06
3313,2021/6/10,15 - 19 years,12,194388,6.17E-05
3314,2021/6/10,20 - 24 years,2376,736340,0.00322677
3315,2021/6/10,25 - 29 years,10128,757848,0.013364157
3316,2021/6/10,30 - 34 years,13406,822084,0.016307336
3317,2021/6/10,35 - 39 years,5789,779934,0.007422423
3318,2021/6/10,40 - 44 years,1940,677463,0.002863625
3319,2021/6/10,45 - 49 years,1003,598535,0.001675758
3320,2021/6/10,5 - 9 years,0,832055,0
3321,2021/6/10,50 - 54 years,519,569938,0.000910625
3323,2021/6/10,55 - 59 years,350,508722,0.000687999
3324,2021/6/10,60 - 64 years,252,405576,0.000621339
3325,2021/6/10,65 - 69 years,135,318142,0.000424339
3326,2021/6/10,70 - 74 years,83,280432,0.000295972
3328,2021/6/10,75+ years,103,499879,0.00020605
3330,2021/6/11,10 - 14 years,2,425353,4.70E-06
3331,2021/6/11,15 - 19 years,17,194388,8.75E-05
3332,2021/6/11,20 - 24 years,2390,736340,0.003245783
3333,2021/6/11,25 - 29 years,9720,757848,0.012825791
3334,2021/6/11,30 - 34 years,13947,822084,0.01696542
3335,2021/6/11,35 - 39 years,6326,779934,0.008110943
3336,2021/6/11,40 - 44 years,2372,677463,0.003501298
3337,2021/6/11,45 - 49 years,1080,598535,0.001804406
3338,2021/6/11,5 - 9 years,0,832055,0
3339,2021/6/11,50 - 54 years,603,569938,0.00105801
3341,2021/6/11,55 - 59 years,362,508722,0.000711587
3342,2021/6/11,60 - 64 years,214,405576,0.000527645
3343,2021/6/11,65 - 69 years,118,318142,0.000370904
3344,2021/6/11,70 - 74 years,56,280432,0.000199692
3346,2021/6/11,75+ years,97,499879,0.000194047
3348,2021/6/12,10 - 14 years,1,425353,2.35E-06
3349,2021/6/12,15 - 19 years,37,194388,0.000190341
3350,2021/6/12,20 - 24 years,5215,736340,0.007082326
3351,2021/6/12,25 - 29 years,13425,757848,0.017714634
3352,2021/6/12,30 - 34 years,15789,822084,0.019206067
3353,2021/6/12,35 - 39 years,6542,779934,0.008387889
3354,2021/6/12,40 - 44 years,2331,677463,0.003440778
3355,2021/6/12,45 - 49 years,1127,598535,0.001882931
3356,2021/6/12,5 - 9 years,0,832055,0
3357,2021/6/12,50 - 54 years,648,569938,0.001136966
3359,2021/6/12,55 - 59 years,471,508722,0.000925849
3360,2021/6/12,60 - 64 years,266,405576,0.000655857
3361,2021/6/12,65 - 69 years,127,318142,0.000399193
3362,2021/6/12,70 - 74 years,55,280432,0.000196126
3364,2021/6/12,75+ years,79,499879,0.000158038
3366,2021/6/13,10 - 14 years,1,425353,2.35E-06
3367,2021/6/13,15 - 19 years,25,194388,0.000128609
3368,2021/6/13,20 - 24 years,2551,736340,0.003464432
3369,2021/6/13,25 - 29 years,8766,757848,0.011566963
3370,2021/6/13,30 - 34 years,11050,822084,0.013441449
3371,2021/6/13,35 - 39 years,3717,779934,0.004765788
3372,2021/6/13,40 - 44 years,1320,677463,0.001948446
3373,2021/6/13,45 - 49 years,559,598535,0.000933947
3374,2021/6/13,5 - 9 years,1,832055,1.20E-06
3375,2021/6/13,50 - 54 years,346,569938,0.000607084
3377,2021/6/13,55 - 59 years,177,508722,0.000347931
3378,2021/6/13,60 - 64 years,122,405576,0.000300807
3379,2021/6/13,65 - 69 years,53,318142,0.000166592
3380,2021/6/13,70 - 74 years,32,280432,0.00011411
3382,2021/6/13,75+ years,25,499879,5.00E-05
3384,2021/6/14,10 - 14 years,8,425353,1.88E-05
3385,2021/6/14,15 - 19 years,18,194388,9.26E-05
3386,2021/6/14,20 - 24 years,1296,736340,0.001760056
3387,2021/6/14,25 - 29 years,6458,757848,0.008521498
3388,2021/6/14,30 - 34 years,9141,822084,0.011119302
3389,2021/6/14,35 - 39 years,2657,779934,0.003406699
3390,2021/6/14,40 - 44 years,1060,677463,0.001564661
3391,2021/6/14,45 - 49 years,605,598535,0.001010801
3392,2021/6/14,5 - 9 years,0,832055,0
3393,2021/6/14,50 - 54 years,361,569938,0.000633402
3395,2021/6/14,55 - 59 years,224,508722,0.000440319
3396,2021/6/14,60 - 64 years,140,405576,0.000345188
3397,2021/6/14,65 - 69 years,78,318142,0.000245174
3398,2021/6/14,70 - 74 years,43,280432,0.000153335
3400,2021/6/14,75+ years,51,499879,0.000102025
3402,2021/6/15,10 - 14 years,3,425353,7.05E-06
3403,2021/6/15,15 - 19 years,34,194388,0.000174908
3404,2021/6/15,20 - 24 years,2502,736340,0.003397887
3405,2021/6/15,25 - 29 years,10177,757848,0.013428814
3406,2021/6/15,30 - 34 years,11053,822084,0.013445098
3407,2021/6/15,35 - 39 years,2955,779934,0.003788782
3408,2021/6/15,40 - 44 years,1293,677463,0.001908591
3409,2021/6/15,45 - 49 years,657,598535,0.00109768
3410,2021/6/15,5 - 9 years,0,832055,0
3411,2021/6/15,50 - 54 years,419,569938,0.000735168
3413,2021/6/15,55 - 59 years,241,508722,0.000473736
3414,2021/6/15,60 - 64 years,146,405576,0.000359982
3415,2021/6/15,65 - 69 years,92,318142,0.000289179
3416,2021/6/15,70 - 74 years,47,280432,0.000167599
3418,2021/6/15,75+ years,73,499879,0.000146035
3420,2021/6/16,10 - 14 years,3,425353,7.05E-06
3421,2021/6/16,15 - 19 years,18,194388,9.26E-05
3422,2021/6/16,20 - 24 years,3169,736340,0.004303718
3423,2021/6/16,25 - 29 years,14461,757848,0.019081663
3424,2021/6/16,30 - 34 years,10009,822084,0.012175155
3425,2021/6/16,35 - 39 years,2776,779934,0.003559276
3426,2021/6/16,40 - 44 years,1164,677463,0.001718175
3427,2021/6/16,45 - 49 years,625,598535,0.001044216
3428,2021/6/16,5 - 9 years,0,832055,0
3429,2021/6/16,50 - 54 years,382,569938,0.000670248
3431,2021/6/16,55 - 59 years,264,508722,0.000518947
3432,2021/6/16,60 - 64 years,192,405576,0.000473401
3433,2021/6/16,65 - 69 years,93,318142,0.000292322
3434,2021/6/16,70 - 74 years,75,280432,0.000267445
3436,2021/6/16,75+ years,70,499879,0.000140034
3438,2021/6/17,10 - 14 years,4,425353,9.40E-06
3439,2021/6/17,15 - 19 years,37,194388,0.000190341
3440,2021/6/17,20 - 24 years,6380,736340,0.008664476
3441,2021/6/17,25 - 29 years,15110,757848,0.019938035
3442,2021/6/17,30 - 34 years,10657,822084,0.012963395
3443,2021/6/17,35 - 39 years,3495,779934,0.004481148
3444,2021/6/17,40 - 44 years,1550,677463,0.002287948
3445,2021/6/17,45 - 49 years,764,598535,0.00127645
3446,2021/6/17,5 - 9 years,0,832055,0
3447,2021/6/17,50 - 54 years,535,569938,0.000938699
3449,2021/6/17,55 - 59 years,341,508722,0.000670307
3450,2021/6/17,60 - 64 years,214,405576,0.000527645
3451,2021/6/17,65 - 69 years,112,318142,0.000352044
3452,2021/6/17,70 - 74 years,76,280432,0.00027101
3454,2021/6/17,75+ years,78,499879,0.000156038
3456,2021/6/18,10 - 14 years,1,425353,2.35E-06
3457,2021/6/18,15 - 19 years,29,194388,0.000149186
3458,2021/6/18,20 - 24 years,7654,736340,0.010394655
3459,2021/6/18,25 - 29 years,15294,757848,0.020180828
3460,2021/6/18,30 - 34 years,9714,822084,0.011816311
3461,2021/6/18,35 - 39 years,3723,779934,0.004773481
3462,2021/6/18,40 - 44 years,1672,677463,0.002468031
3463,2021/6/18,45 - 49 years,934,598535,0.001560477
3464,2021/6/18,5 - 9 years,0,832055,0
3465,2021/6/18,50 - 54 years,492,569938,0.000863252
3467,2021/6/18,55 - 59 years,302,508722,0.000593644
3468,2021/6/18,60 - 64 years,220,405576,0.000542438
3469,2021/6/18,65 - 69 years,126,318142,0.00039605
3470,2021/6/18,70 - 74 years,53,280432,0.000188994
3472,2021/6/18,75+ years,56,499879,0.000112027
3474,2021/6/19,10 - 14 years,6,425353,1.41E-05
3475,2021/6/19,15 - 19 years,44,194388,0.000226351
3476,2021/6/19,20 - 24 years,13640,736340,0.018524051
3477,2021/6/19,25 - 29 years,20632,757848,0.027224457
3478,2021/6/19,30 - 34 years,10832,822084,0.013176269
3479,2021/6/19,35 - 39 years,4089,779934,0.005242751
3480,2021/6/19,40 - 44 years,2181,677463,0.003219364
3481,2021/6/19,45 - 49 years,1256,598535,0.002098457
3482,2021/6/19,5 - 9 years,0,832055,0
3483,2021/6/19,50 - 54 years,802,569938,0.001407171
3485,2021/6/19,55 - 59 years,520,508722,0.001022169
3486,2021/6/19,60 - 64 years,305,405576,0.000752017
3487,2021/6/19,65 - 69 years,148,318142,0.000465201
3488,2021/6/19,70 - 74 years,72,280432,0.000256747
3490,2021/6/19,75+ years,74,499879,0.000148036
3492,2021/6/20,10 - 14 years,5,425353,1.18E-05
3493,2021/6/20,15 - 19 years,25,194388,0.000128609
3494,2021/6/20,20 - 24 years,8742,736340,0.011872233
3495,2021/6/20,25 - 29 years,13987,757848,0.018456208
3496,2021/6/20,30 - 34 years,6397,822084,0.007781443
3497,2021/6/20,35 - 39 years,2275,779934,0.002916913
3498,2021/6/20,40 - 44 years,1114,677463,0.00164437
3499,2021/6/20,45 - 49 years,625,598535,0.001044216
3500,2021/6/20,5 - 9 years,0,832055,0
3501,2021/6/20,50 - 54 years,380,569938,0.000666739
3503,2021/6/20,55 - 59 years,232,508722,0.000456045
3504,2021/6/20,60 - 64 years,132,405576,0.000325463
3505,2021/6/20,65 - 69 years,87,318142,0.000273463
3506,2021/6/20,70 - 74 years,30,280432,0.000106978
3508,2021/6/20,75+ years,43,499879,8.60E-05
3510,2021/6/21,10 - 14 years,5,425353,1.18E-05
3511,2021/6/21,15 - 19 years,17,194388,8.75E-05
3512,2021/6/21,20 - 24 years,6059,736340,0.008228536
3513,2021/6/21,25 - 29 years,8801,757848,0.011613147
3514,2021/6/21,30 - 34 years,4865,822084,0.005917887
3515,2021/6/21,35 - 39 years,1493,779934,0.001914265
3516,2021/6/21,40 - 44 years,793,677463,0.001170544
3517,2021/6/21,45 - 49 years,503,598535,0.000840385
3518,2021/6/21,5 - 9 years,0,832055,0
3519,2021/6/21,50 - 54 years,320,569938,0.000561465
3521,2021/6/21,55 - 59 years,190,508722,0.000373485
3522,2021/6/21,60 - 64 years,125,405576,0.000308204
3523,2021/6/21,65 - 69 years,69,318142,0.000216884
3524,2021/6/21,70 - 74 years,32,280432,0.00011411
3526,2021/6/21,75+ years,36,499879,7.20E-05
3528,2021/6/22,10 - 14 years,2,425353,4.70E-06
3529,2021/6/22,15 - 19 years,12,194388,6.17E-05
3530,2021/6/22,20 - 24 years,8425,736340,0.011441725
3531,2021/6/22,25 - 29 years,12024,757848,0.015865978
3532,2021/6/22,30 - 34 years,5570,822084,0.006775463
3533,2021/6/22,35 - 39 years,1796,779934,0.002302759
3534,2021/6/22,40 - 44 years,1065,677463,0.001572042
3535,2021/6/22,45 - 49 years,584,598535,0.000975716
3536,2021/6/22,5 - 9 years,0,832055,0
3537,2021/6/22,50 - 54 years,415,569938,0.000728149
3539,2021/6/22,55 - 59 years,213,508722,0.000418696
3540,2021/6/22,60 - 64 years,142,405576,0.000350119
3541,2021/6/22,65 - 69 years,90,318142,0.000282893
3542,2021/6/22,70 - 74 years,56,280432,0.000199692
3544,2021/6/22,75+ years,59,499879,0.000118029
3546,2021/6/23,10 - 14 years,7,425353,1.65E-05
3547,2021/6/23,15 - 19 years,23,194388,0.00011832
3548,2021/6/23,20 - 24 years,9518,736340,0.012926094
3549,2021/6/23,25 - 29 years,11935,757848,0.015748541
3550,2021/6/23,30 - 34 years,5606,822084,0.006819254
3551,2021/6/23,35 - 39 years,2034,779934,0.002607913
3552,2021/6/23,40 - 44 years,1098,677463,0.001620753
3553,2021/6/23,45 - 49 years,640,598535,0.001069277
3554,2021/6/23,5 - 9 years,1,832055,1.20E-06
3555,2021/6/23,50 - 54 years,399,569938,0.000700076
3557,2021/6/23,55 - 59 years,276,508722,0.000542536
3558,2021/6/23,60 - 64 years,167,405576,0.00041176
3559,2021/6/23,65 - 69 years,97,318142,0.000304895
3560,2021/6/23,70 - 74 years,55,280432,0.000196126
3562,2021/6/23,75+ years,67,499879,0.000134032
3564,2021/6/24,10 - 14 years,3,425353,7.05E-06
3565,2021/6/24,15 - 19 years,10,194388,5.14E-05
3566,2021/6/24,20 - 24 years,11669,736340,0.015847299
3567,2021/6/24,25 - 29 years,13433,757848,0.01772519
3568,2021/6/24,30 - 34 years,6384,822084,0.00776563
3569,2021/6/24,35 - 39 years,2505,779934,0.00321181
3570,2021/6/24,40 - 44 years,1252,677463,0.001848071
3571,2021/6/24,45 - 49 years,772,598535,0.001289816
3572,2021/6/24,5 - 9 years,0,832055,0
3573,2021/6/24,50 - 54 years,460,569938,0.000807105
3575,2021/6/24,55 - 59 years,315,508722,0.000619199
3576,2021/6/24,60 - 64 years,202,405576,0.000498057
3577,2021/6/24,65 - 69 years,120,318142,0.00037719
3578,2021/6/24,70 - 74 years,58,280432,0.000206824
3580,2021/6/24,75+ years,73,499879,0.000146035
3582,2021/6/25,10 - 14 years,6,425353,1.41E-05
3583,2021/6/25,15 - 19 years,38,194388,0.000195485
3584,2021/6/25,20 - 24 years,10615,736340,0.014415895
3585,2021/6/25,25 - 29 years,11508,757848,0.015185103
3586,2021/6/25,30 - 34 years,6133,822084,0.007460308
3587,2021/6/25,35 - 39 years,2554,779934,0.003274636
3588,2021/6/25,40 - 44 years,1360,677463,0.00200749
3589,2021/6/25,45 - 49 years,842,598535,0.001406768
3590,2021/6/25,5 - 9 years,0,832055,0
3591,2021/6/25,50 - 54 years,527,569938,0.000924662
3593,2021/6/25,55 - 59 years,318,508722,0.000625096
3594,2021/6/25,60 - 64 years,193,405576,0.000475866
3595,2021/6/25,65 - 69 years,108,318142,0.000339471
3596,2021/6/25,70 - 74 years,63,280432,0.000224653
3598,2021/6/25,75+ years,70,499879,0.000140034
3600,2021/6/26,10 - 14 years,2,425353,4.70E-06
3601,2021/6/26,15 - 19 years,27,194388,0.000138897
3602,2021/6/26,20 - 24 years,11869,736340,0.016118912
3603,2021/6/26,25 - 29 years,13430,757848,0.017721232
3604,2021/6/26,30 - 34 years,7043,822084,0.008567251
3605,2021/6/26,35 - 39 years,2983,779934,0.003824683
3606,2021/6/26,40 - 44 years,1855,677463,0.002738157
3607,2021/6/26,45 - 49 years,1175,598535,0.001963127
3608,2021/6/26,5 - 9 years,0,832055,0
3609,2021/6/26,50 - 54 years,734,569938,0.001287859
3611,2021/6/26,55 - 59 years,462,508722,0.000908158
3612,2021/6/26,60 - 64 years,269,405576,0.000663254
3613,2021/6/26,65 - 69 years,135,318142,0.000424339
3614,2021/6/26,70 - 74 years,63,280432,0.000224653
3616,2021/6/26,75+ years,65,499879,0.000130031
3618,2021/6/27,10 - 14 years,11,425353,2.59E-05
3619,2021/6/27,15 - 19 years,23,194388,0.00011832
3620,2021/6/27,20 - 24 years,7550,736340,0.010253416
3621,2021/6/27,25 - 29 years,8844,757848,0.011669886
3622,2021/6/27,30 - 34 years,4446,822084,0.005408206
3623,2021/6/27,35 - 39 years,1717,779934,0.002201468
3624,2021/6/27,40 - 44 years,989,677463,0.001459858
3625,2021/6/27,45 - 49 years,691,598535,0.001154486
3626,2021/6/27,5 - 9 years,0,832055,0
3627,2021/6/27,50 - 54 years,409,569938,0.000717622
3629,2021/6/27,55 - 59 years,242,508722,0.000475702
3630,2021/6/27,60 - 64 years,150,405576,0.000369844
3631,2021/6/27,65 - 69 years,78,318142,0.000245174
3632,2021/6/27,70 - 74 years,39,280432,0.000139071
3634,2021/6/27,75+ years,38,499879,7.60E-05
3636,2021/6/28,10 - 14 years,2,425353,4.70E-06
3637,2021/6/28,15 - 19 years,14,194388,7.20E-05
3638,2021/6/28,20 - 24 years,6943,736340,0.009429068
3639,2021/6/28,25 - 29 years,7433,757848,0.009808035
3640,2021/6/28,30 - 34 years,3746,822084,0.004556712
3641,2021/6/28,35 - 39 years,1413,779934,0.001811692
