,C1M_School.closing,Date,datetime
110,3,20200420,2020/4/20
111,3,20200421,2020/4/21
112,3,20200422,2020/4/22
113,3,20200423,2020/4/23
114,3,20200424,2020/4/24
115,3,20200425,2020/4/25
116,3,20200426,2020/4/26
117,3,20200427,2020/4/27
118,3,20200428,2020/4/28
119,3,20200429,2020/4/29
120,3,20200430,2020/4/30
121,3,20200501,2020/5/1
122,3,20200502,2020/5/2
123,3,20200503,2020/5/3
124,3,20200504,2020/5/4
125,3,20200505,2020/5/5
126,3,20200506,2020/5/6
127,3,20200507,2020/5/7
128,3,20200508,2020/5/8
129,3,20200509,2020/5/9
130,3,20200510,2020/5/10
131,3,20200511,2020/5/11
132,3,20200512,2020/5/12
133,3,20200513,2020/5/13
134,3,20200514,2020/5/14
135,3,20200515,2020/5/15
136,3,20200516,2020/5/16
137,3,20200517,2020/5/17
138,3,20200518,2020/5/18
139,3,20200519,2020/5/19
140,3,20200520,2020/5/20
141,3,20200521,2020/5/21
142,3,20200522,2020/5/22
143,3,20200523,2020/5/23
144,3,20200524,2020/5/24
145,3,20200525,2020/5/25
146,3,20200526,2020/5/26
147,3,20200527,2020/5/27
148,3,20200528,2020/5/28
149,3,20200529,2020/5/29
150,3,20200530,2020/5/30
151,3,20200531,2020/5/31
152,3,20200601,2020/6/1
153,3,20200602,2020/6/2
154,3,20200603,2020/6/3
155,3,20200604,2020/6/4
156,3,20200605,2020/6/5
157,3,20200606,2020/6/6
158,3,20200607,2020/6/7
159,3,20200608,2020/6/8
160,3,20200609,2020/6/9
161,3,20200610,2020/6/10
162,3,20200611,2020/6/11
163,3,20200612,2020/6/12
164,3,20200613,2020/6/13
165,3,20200614,2020/6/14
166,3,20200615,2020/6/15
167,3,20200616,2020/6/16
168,3,20200617,2020/6/17
169,3,20200618,2020/6/18
170,3,20200619,2020/6/19
171,3,20200620,2020/6/20
172,3,20200621,2020/6/21
173,3,20200622,2020/6/22
174,3,20200623,2020/6/23
175,3,20200624,2020/6/24
176,3,20200625,2020/6/25
177,3,20200626,2020/6/26
178,3,20200627,2020/6/27
179,3,20200628,2020/6/28
180,3,20200629,2020/6/29
181,3,20200630,2020/6/30
182,3,20200701,2020/7/1
183,3,20200702,2020/7/2
184,3,20200703,2020/7/3
185,3,20200704,2020/7/4
186,3,20200705,2020/7/5
187,3,20200706,2020/7/6
188,3,20200707,2020/7/7
189,3,20200708,2020/7/8
190,3,20200709,2020/7/9
191,3,20200710,2020/7/10
192,3,20200711,2020/7/11
193,3,20200712,2020/7/12
194,3,20200713,2020/7/13
195,3,20200714,2020/7/14
196,3,20200715,2020/7/15
197,3,20200716,2020/7/16
198,3,20200717,2020/7/17
199,3,20200718,2020/7/18
200,3,20200719,2020/7/19
201,3,20200720,2020/7/20
202,3,20200721,2020/7/21
203,3,20200722,2020/7/22
204,3,20200723,2020/7/23
205,3,20200724,2020/7/24
206,3,20200725,2020/7/25
207,3,20200726,2020/7/26
208,3,20200727,2020/7/27
209,3,20200728,2020/7/28
210,3,20200729,2020/7/29
211,3,20200730,2020/7/30
212,3,20200731,2020/7/31
