prename,week_end,sex,age,numtotal_atleast1dose
British Columbia,2021-07-24,All sexes,80+,228439
British Columbia,2021-07-31,All sexes,0–4,0
British Columbia,2021-07-31,All sexes,05–11,10225
British Columbia,2021-07-31,All sexes,12–17,217520
British Columbia,2021-07-31,All sexes,18–29,605984
British Columbia,2021-07-31,All sexes,30–39,576235
British Columbia,2021-07-31,All sexes,40–49,524162
British Columbia,2021-07-31,All sexes,50–59,583061
British Columbia,2021-07-31,All sexes,60–69,595764
British Columbia,2021-07-31,All sexes,70–79,415094
British Columbia,2021-07-31,All sexes,80+,229438
British Columbia,2021-08-07,All sexes,0–4,0
British Columbia,2021-08-07,All sexes,05–11,10149
British Columbia,2021-08-07,All sexes,12–17,221491
British Columbia,2021-08-07,All sexes,18–29,613865
British Columbia,2021-08-07,All sexes,30–39,582487
British Columbia,2021-08-07,All sexes,40–49,528421
British Columbia,2021-08-07,All sexes,50–59,586501
British Columbia,2021-08-07,All sexes,60–69,598284
British Columbia,2021-08-07,All sexes,70–79,416382
British Columbia,2021-08-07,All sexes,80+,230252
British Columbia,2021-08-14,All sexes,0–4,0
British Columbia,2021-08-14,All sexes,05–11,9942
British Columbia,2021-08-14,All sexes,12–17,225399
British Columbia,2021-08-14,All sexes,18–29,621041
British Columbia,2021-08-14,All sexes,30–39,588335
British Columbia,2021-08-14,All sexes,40–49,532444
British Columbia,2021-08-14,All sexes,50–59,589523
British Columbia,2021-08-14,All sexes,60–69,600487
British Columbia,2021-08-14,All sexes,70–79,417635
British Columbia,2021-08-14,All sexes,80+,231109
British Columbia,2021-08-21,All sexes,0–4,0
British Columbia,2021-08-21,All sexes,05–11,9652
British Columbia,2021-08-21,All sexes,12–17,228952
British Columbia,2021-08-21,All sexes,18–29,627951
British Columbia,2021-08-21,All sexes,30–39,593721
British Columbia,2021-08-21,All sexes,40–49,536090
British Columbia,2021-08-21,All sexes,50–59,592123
British Columbia,2021-08-21,All sexes,60–69,602347
British Columbia,2021-08-21,All sexes,70–79,418893
British Columbia,2021-08-21,All sexes,80+,231883
British Columbia,2021-08-28,All sexes,0–4,0
British Columbia,2021-08-28,All sexes,05–11,9528
British Columbia,2021-08-28,All sexes,12–17,235409
British Columbia,2021-08-28,All sexes,18–29,641597
British Columbia,2021-08-28,All sexes,30–39,603741
British Columbia,2021-08-28,All sexes,40–49,542768
British Columbia,2021-08-28,All sexes,50–59,596836
British Columbia,2021-08-28,All sexes,60–69,605693
British Columbia,2021-08-28,All sexes,70–79,420545
British Columbia,2021-08-28,All sexes,80+,232812
British Columbia,2021-09-04,All sexes,0–4,0
British Columbia,2021-09-04,All sexes,05–11,9212
British Columbia,2021-09-04,All sexes,12–17,240460
British Columbia,2021-09-04,All sexes,18–29,652623
British Columbia,2021-09-04,All sexes,30–39,611223
British Columbia,2021-09-04,All sexes,40–49,547657
British Columbia,2021-09-04,All sexes,50–59,600371
British Columbia,2021-09-04,All sexes,60–69,607990
British Columbia,2021-09-04,All sexes,70–79,422043
