,C1M_School.closing,datetime
115,3,2020/4/25
116,3,2020/4/26
117,3,2020/4/27
118,3,2020/4/28
119,3,2020/4/29
120,3,2020/4/30
121,3,2020/5/1
122,3,2020/5/2
123,3,2020/5/3
124,3,2020/5/4
125,3,2020/5/5
126,3,2020/5/6
127,3,2020/5/7
128,3,2020/5/8
129,3,2020/5/9
130,3,2020/5/10
131,3,2020/5/11
132,3,2020/5/12
133,3,2020/5/13
134,3,2020/5/14
135,3,2020/5/15
136,3,2020/5/16
137,3,2020/5/17
138,3,2020/5/18
139,3,2020/5/19
140,3,2020/5/20
141,3,2020/5/21
142,3,2020/5/22
143,3,2020/5/23
144,3,2020/5/24
145,3,2020/5/25
146,3,2020/5/26
147,3,2020/5/27
148,3,2020/5/28
149,3,2020/5/29
150,3,2020/5/30
151,3,2020/5/31
152,3,2020/6/1
153,3,2020/6/2
154,3,2020/6/3
155,3,2020/6/4
156,3,2020/6/5
157,3,2020/6/6
158,3,2020/6/7
159,3,2020/6/8
160,3,2020/6/9
161,3,2020/6/10
162,3,2020/6/11
163,3,2020/6/12
164,3,2020/6/13
165,3,2020/6/14
166,3,2020/6/15
167,3,2020/6/16
168,3,2020/6/17
169,3,2020/6/18
170,3,2020/6/19
171,3,2020/6/20
172,3,2020/6/21
173,3,2020/6/22
174,3,2020/6/23
175,3,2020/6/24
176,3,2020/6/25
177,3,2020/6/26
178,3,2020/6/27
179,3,2020/6/28
180,3,2020/6/29
181,3,2020/6/30
182,3,2020/7/1
183,3,2020/7/2
184,3,2020/7/3
185,3,2020/7/4
186,3,2020/7/5
187,3,2020/7/6
188,3,2020/7/7
189,3,2020/7/8
190,3,2020/7/9
191,3,2020/7/10
192,3,2020/7/11
193,3,2020/7/12
194,3,2020/7/13
195,3,2020/7/14
196,3,2020/7/15
197,3,2020/7/16
198,3,2020/7/17
199,3,2020/7/18
200,3,2020/7/19
201,3,2020/7/20
202,3,2020/7/21
203,3,2020/7/22
204,3,2020/7/23
205,3,2020/7/24
206,3,2020/7/25
207,3,2020/7/26
208,3,2020/7/27
209,3,2020/7/28
210,3,2020/7/29
211,3,2020/7/30
212,3,2020/7/31
213,3,2020/8/1
214,3,2020/8/2
215,3,2020/8/3
216,3,2020/8/4
217,3,2020/8/5
218,3,2020/8/6
219,3,2020/8/7
220,3,2020/8/8
221,3,2020/8/9
222,3,2020/8/10
223,3,2020/8/11
224,3,2020/8/12
225,3,2020/8/13
226,3,2020/8/14
227,3,2020/8/15
228,3,2020/8/16
229,3,2020/8/17
230,3,2020/8/18
231,3,2020/8/19
232,3,2020/8/20
233,3,2020/8/21
234,3,2020/8/22
235,3,2020/8/23
236,3,2020/8/24
237,3,2020/8/25
238,3,2020/8/26
239,3,2020/8/27
240,3,2020/8/28
241,3,2020/8/29
242,3,2020/8/30
243,3,2020/8/31
244,3,2020/9/1
245,3,2020/9/2
246,3,2020/9/3
247,3,2020/9/4
248,3,2020/9/5
249,3,2020/9/6
250,3,2020/9/7
251,3,2020/9/8
252,3,2020/9/9
253,3,2020/9/10
254,3,2020/9/11
