id,Delta,R0,i0_q,r0_q,start_week_delta,t_alpha_delta
9641,58.0,1.2459625464966584,0.0026445692063116577,0.17317945220306044,6.0,35.0
9642,52.0,1.2045159315593323,0.0024630463188022172,0.14160020059356007,5.0,33.0
9643,41.0,1.257757576946596,0.0031353012576094295,0.18540606152077463,7.0,24.0
9644,49.0,1.3158544230252238,0.0031806219324855265,0.2505900998428077,7.0,30.0
9645,56.0,1.4089879433989063,0.0024830886200637786,0.2711056302995746,4.0,17.0
9646,60.0,1.354491580782791,0.003686340224150371,0.3083359756938498,6.0,9.0
9647,52.0,1.179136280413845,0.0023409228053269887,0.17374465635527758,7.0,41.0
9648,61.0,1.4655081984716016,0.0030593421223255785,0.3033454892937395,5.0,0.0
9649,33.0,1.4550495921085687,0.002416303772820915,0.2917244307677508,7.0,19.0
9650,60.0,1.2651471016905014,0.0027587301554023455,0.19545986053225461,4.0,39.0
9651,51.0,1.3515088377516091,0.0030191059201113753,0.2780743290116606,7.0,12.0
9652,59.0,1.520133611736474,0.0033865308610235107,0.3590625431615216,5.0,28.0
9653,58.0,1.565020762974772,0.0027800381850910764,0.35907767306212307,7.0,18.0
9654,52.0,1.104112503222397,0.004068991764214758,0.13281332458838688,7.0,17.0
9655,63.0,1.2689956449512407,0.002400551979000138,0.20698141024750766,6.0,21.0
9656,62.0,1.6075713696316534,0.0025303487234886986,0.38855068156313455,5.0,37.0
9657,60.0,1.2600300587619249,0.0034916482157866476,0.24675260917650238,5.0,41.0
9658,54.0,1.4502533759665477,0.003459096284568794,0.2959591526259342,5.0,40.0
9659,61.0,1.269554889870675,0.004317977317686886,0.22889654803215406,6.0,16.0
9660,45.0,1.3638605731036968,0.0027676519896192033,0.2714043528061379,7.0,32.0
9661,60.0,1.2447832890203452,0.002779765538990944,0.19230708980562697,4.0,18.0
9662,49.0,1.5696768599992719,0.0020696343570715996,0.35783704879636913,7.0,26.0
9663,54.0,1.508549392351621,0.0033277292417174704,0.3255769757234495,7.0,18.0
9664,52.0,1.2877993869011293,0.004094296840420907,0.24741190668863922,6.0,1.0
9665,48.0,1.5047016541031892,0.004809142612604961,0.3672406771222267,7.0,29.0
