id,Delta,R0,alpha,gamma,i0_q,r,r0_q,start_week_delta
6389,31.0,1.9437508876908525,-7.470479689414981,-4.654752975242083,0.004857179187837384,1.4810324998136213,0.25627385843526523,4.0
6390,26.0,1.8477863290018566,-1.2557134941957517,-2.598918418530071,0.007580004510108981,1.442699435320747,0.19410568419831167,6.0
6391,38.0,2.619296525594811,-6.918601398934513,-6.422670936750777,0.0035615344838101012,1.2791201374887577,0.3714133783720154,3.0
6392,42.0,1.9812838412355518,-5.121248158425142,0.7498675363799097,0.008141741016199923,1.0857364029121743,0.21793510709835703,4.0
6393,45.0,2.0851407519811676,-5.1598420040248705,-6.377751349366313,0.0029469012754252824,1.3713339126657471,0.257406432647518,2.0
6394,60.0,2.5241313364331286,-0.17555365329439437,-2.3525096839239232,0.005464765215960456,1.1836267650232126,0.3723958290708839,1.0
6395,17.0,2.3827282507128165,0.521560056351931,-4.792532594719382,0.004097739320262462,1.2040665344879569,0.30008567187745383,7.0
6396,19.0,2.6331744133946127,-0.24259964959095548,-3.338307190919398,0.004634307340710367,1.2068945196376417,0.36261550142625587,7.0
6397,48.0,2.4174349440793557,-4.978289885260265,-5.070417494030188,0.003330405018982606,1.0341170077804027,0.3440686506359132,2.0
6398,25.0,2.2072123724777954,-8.166721620534673,-7.623345339511634,0.007722975351372676,1.1588878695259714,0.2825457408058314,6.0
6399,32.0,2.192700521643007,-7.335951495459861,-0.7666327207904429,0.001618678382674629,1.4236309548701866,0.3140776279334212,2.0
6400,39.0,1.8958383752990562,0.9346565690101895,1.6959959689930684,0.0037473183974390274,1.4802282043797004,0.20830921497257388,3.0
6401,22.0,2.7391487893299007,1.4971115683671834,1.5214258937031055,0.0006387805476598474,1.4165763441950148,0.3722841016256111,4.0
6402,33.0,2.052625799699026,-2.849493627007148,-7.845117669957242,0.014312737410870434,1.2652247851982161,0.2524018133004302,6.0
6403,34.0,2.1950570564946776,-7.8894593217630025,-8.649781197133526,0.005549060416053435,1.2997228850214977,0.309154729493381,4.0
6404,36.0,2.0037529961506335,-4.716155922742027,-0.9081540087503608,0.0017918290303572137,1.019045587892203,0.24516730396348438,2.0
6405,38.0,2.388506124876641,-5.867588529796186,-8.543976724965479,0.002607388526258136,1.3287841679321784,0.31790960696914766,3.0
6406,31.0,2.2737976432025637,-1.2996530857364486,-0.18997607850096723,0.011836396441658393,1.3312730420976804,0.30051331458122227,7.0
6407,20.0,2.4324648969520766,0.04127425392206052,-2.2474581046638162,0.002563985848320493,1.0930303044234262,0.36543555860042887,5.0
6408,28.0,2.0752181837472476,-6.669949661406022,-8.209509311086137,0.003225276246350586,1.218914569032234,0.244991787772322,5.0
6409,26.0,2.238916585987892,-8.367352452064651,-3.173384035010131,0.007241125887271418,1.3971808053550228,0.2599497810268332,7.0
6410,37.0,2.1491928605932817,0.6450555312147241,-6.044492529446276,0.006942183059468996,1.1762732713478765,0.2790746149271836,4.0
6411,25.0,2.531283907375823,-0.9919684701972038,-1.157721312985528,0.005779551481407763,1.2385745971734892,0.32937862336603757,7.0
6412,40.0,2.774620601413615,-5.451755451840437,-5.222024569813847,0.003295986792434638,1.075383704998884,0.3760141228085481,4.0
6413,25.0,2.1150393944890507,0.5239776861381535,-3.1748978900522835,0.0028890072545981623,1.2006195309462322,0.25890265382699096,5.0
6414,19.0,2.267163008294577,-8.964386726359205,-8.818937412919018,0.0013667254716993287,1.2997815664489254,0.2542340899767495,5.0
6415,17.0,1.9685802296101105,-7.2014759423962085,0.4314424747899196,0.0024915730690935763,1.2328073971456934,0.24422177238635656,5.0
6416,18.0,2.1549772359177313,2.2548094196219433,1.8972034693578008,0.002051940012741341,1.413459986639063,0.28953711047420416,5.0
