id,Alpha_increase,Delta,R0,i0_q,r0_q,start_week_delta,t_alpha_delta
9060,2.2202783557041803,54.0,1.6997932767414474,0.0069226113962746385,0.15757963268940756,6.0,12.0
9061,2.2355355688362724,42.0,1.5263316377760083,0.0014968820754160032,0.12323040911256138,1.0,36.0
9062,2.023392578243378,60.0,1.6372879760580217,0.0032669068953146856,0.18284414765564283,4.0,16.0
9063,2.3083588329588647,61.0,1.8127892629027178,0.0023278006615329843,0.23264332799300502,4.0,16.0
9064,2.165334533566345,62.0,1.4890851004703878,0.01066503515724993,0.11960588762571868,4.0,4.0
9065,2.4355310764522082,44.0,1.6571865133206771,0.00465980373862508,0.1436980983003791,5.0,17.0
9066,2.384216351844574,56.0,1.7984636081111813,0.003915280044830885,0.19954610165475106,5.0,24.0
9067,2.2029439661085797,52.0,1.677775463607377,0.004480340172085363,0.18826013158762342,4.0,19.0
9068,2.3730985015992436,44.0,1.8459955262148229,0.0026266763018363277,0.21329490350038682,5.0,17.0
9069,2.313375600574099,59.0,1.7226377423442298,0.003393741501129211,0.1539189894706357,4.0,14.0
9070,2.287347585888415,60.0,1.6536578508443591,0.007384094896947057,0.15205403992030114,5.0,18.0
9071,2.1329060502405435,62.0,1.5075808253988845,0.009128273770979009,0.13478749664320605,7.0,23.0
9072,2.3076546010120005,62.0,1.5524516158485493,0.004974079660775977,0.12076386927943387,5.0,16.0
9073,2.1698225754705054,45.0,1.6594420885561245,0.003587072485353111,0.1985973090229342,2.0,6.0
9074,2.2536802664099054,47.0,1.501048530512941,0.006338901801344573,0.13618352346033302,5.0,33.0
9075,2.145135441031168,60.0,1.611948995001269,0.005176273297916957,0.155576994423907,6.0,20.0
9076,2.0412146916955667,55.0,1.7045977450857301,0.003328030793587744,0.1607013697710485,4.0,2.0
9077,2.081137991784138,49.0,1.8820560730390161,0.0015003141088641267,0.2390408898234462,3.0,5.0
9078,2.406769535647752,60.0,1.540748033954058,0.004726063720244908,0.17218279370423353,1.0,16.0
9079,2.226552846401013,48.0,1.6741267684665244,0.0068402948903479015,0.19208459456514543,5.0,20.0
9080,2.491341059835532,56.0,1.5399956606182037,0.0075406896381362675,0.1392330158730136,5.0,24.0
9081,2.331397952415991,58.0,1.5261717046172274,0.0060689130174498085,0.12434654631835812,6.0,25.0
9082,2.4974192152615937,46.0,1.7682495875141946,0.0021979445298012136,0.21384453212764318,3.0,16.0
9083,2.3032546523716766,56.0,1.9068433874861765,0.001956631210957084,0.23552917897275313,3.0,21.0
9084,2.2032417917492513,57.0,1.6571671100394616,0.0025346720881874846,0.1652865781188575,3.0,28.0
9085,2.3689028523995166,58.0,1.5536589792019904,0.009355643255211052,0.1643792102740594,5.0,12.0
9086,2.353634265987375,51.0,1.604827766754943,0.009715987983492377,0.11899721502251198,7.0,16.0
9087,2.2275158024339587,44.0,1.8443129039564996,0.0062560387103207556,0.21508845354425193,7.0,23.0
9088,2.326357241587808,62.0,1.567958316971586,0.009423465533475117,0.12355606032601164,6.0,24.0
9089,2.319414503878283,62.0,1.5854267784419767,0.006476478870135989,0.12893391366315654,5.0,10.0
9090,2.483161535540488,58.0,1.893948031667326,0.0017470309168394632,0.2089277193091213,3.0,14.0
9091,2.4597122886681753,57.0,1.6783805476522893,0.003777362917746101,0.15911665967503158,4.0,36.0
9092,2.2484670537441427,47.0,1.6175893099685519,0.005605307736813041,0.12897531038691323,6.0,21.0
9093,2.3632496203180264,47.0,1.7579043953953495,0.002105392857965404,0.19641064273385878,2.0,11.0
9094,2.275266124342169,54.0,1.9826543746907443,0.004509984467433187,0.28019409629903896,4.0,9.0
9095,2.191695407520683,63.0,1.6037410656813091,0.004454128103420052,0.13209329103145642,2.0,0.0
9096,2.433733052910222,62.0,1.8967810361757556,0.003769631957700817,0.2620043165628169,3.0,19.0
9097,2.227131133656844,57.0,1.6409198460839407,0.004790802601369984,0.1663834416032975,6.0,25.0
9098,2.1769859683238466,46.0,1.5982869841521243,0.007431447402606332,0.1442994637237309,5.0,8.0
9099,2.2846937888452006,44.0,1.894828211834708,0.0066102678257684835,0.26585951144625236,6.0,19.0
9100,2.1289060429826794,43.0,1.6069687023903159,0.002413672261513872,0.1482641694200374,5.0,19.0
9101,2.3395499060594354,58.0,1.7602096278169086,0.002688782504875966,0.17511469146772274,4.0,14.0
9102,2.141173525717418,58.0,1.6413953241485162,0.016318946408395738,0.19696854601535274,7.0,1.0
9103,2.026776828517388,35.0,1.590466212629122,0.0015618404011088364,0.1385391658744434,3.0,14.0
9104,2.3847288017881225,60.0,1.5854117104691867,0.007594324833650382,0.17748117457693177,5.0,25.0
9105,2.3625034786326125,46.0,1.9388288238777365,0.0015697056416319683,0.24221083767660756,3.0,23.0
9106,2.3285267043344278,51.0,1.608229181222401,0.006427044051866711,0.16417480227275705,5.0,25.0
9107,2.3274464092972726,59.0,1.542233196774399,0.003057227551420314,0.14274537598463435,1.0,28.0
9108,2.157568868081604,61.0,1.7038421789251925,0.006811501182352795,0.24896375883243313,5.0,8.0
9109,1.939349446731416,58.0,1.419201425094382,0.006667793797593742,0.13491635261560772,2.0,4.0
9110,2.328999525436136,46.0,1.5363825294466147,0.0027781706879387094,0.10896802737655767,6.0,31.0
9111,2.2189156587722785,56.0,1.8183436527894155,0.004952488896339885,0.26454598681370717,5.0,17.0
9112,2.448637821300223,55.0,1.519860953663367,0.0017403993945962403,0.1053523646856124,2.0,23.0
9113,2.1304970483790338,49.0,1.57786631212515,0.001949238366496032,0.1801260979975729,1.0,13.0
9114,2.3872394740331893,48.0,1.539681470015926,0.003557648092630222,0.133722072097017,2.0,29.0
9115,2.3078396784397004,52.0,1.6605196907851418,0.003161296641429323,0.16592220728396367,4.0,18.0
9116,2.322641679389746,47.0,1.894425396993545,0.006107674325426988,0.276062151242547,5.0,17.0
9117,2.2345031092528362,59.0,1.5443806806584635,0.0016833729816247295,0.10976346544433677,2.0,34.0
9118,2.1746458987755166,53.0,1.5165003874489902,0.006674409045214378,0.1399932690531242,2.0,5.0
9119,2.162722553321977,48.0,1.5437132758408767,0.0052487535850764015,0.160788882239832,4.0,24.0
9120,2.312403093367979,62.0,1.5397595256408132,0.008171569743078977,0.1490485696447975,6.0,30.0
9121,2.161513695527823,41.0,1.3921746513977133,0.004722464816666362,0.11209399399690503,2.0,18.0
9122,2.347851287207004,60.0,1.6117459221034873,0.007645293300377716,0.10497641431496767,6.0,14.0
9123,2.142970593584101,60.0,1.529238304326067,0.0022499237553352002,0.12756999435376015,2.0,24.0
9124,2.4174956917917108,31.0,1.6251628520746737,0.0012882903038338661,0.16613579522247168,3.0,30.0
9125,2.3432511923708206,43.0,1.6643600569026458,0.001646297054467327,0.14027654938174555,2.0,16.0
9126,2.054018540156287,61.0,1.6639292928944611,0.006943508969608842,0.20999415119887924,4.0,0.0
9127,2.0914931465572963,42.0,1.6161613137110413,0.006233152483631754,0.16787974157292399,7.0,17.0
9128,2.3288475203130985,61.0,1.5058055958739205,0.008758728126932763,0.15200282692454725,5.0,18.0
9129,2.397872440125997,51.0,1.5607957074526253,0.0032885616397136134,0.14239463883242776,2.0,8.0
9130,2.306501914507418,62.0,1.799624649914436,0.005066872814556185,0.2447088787609028,3.0,10.0
9131,2.3866687392722827,59.0,1.6685947046400997,0.012108652389432394,0.2132013672733966,6.0,19.0
9132,2.143176045102594,56.0,1.8860253975305878,0.003269194912705932,0.2458498031271858,3.0,9.0
9133,2.469654614058126,56.0,1.7241127663449054,0.004020714785050152,0.20116983482122974,3.0,5.0
9134,2.394156275822154,55.0,1.5989710049925667,0.002856673714843114,0.16128947766130602,1.0,9.0
9135,2.2457123919060447,46.0,1.6204041330681493,0.00270267970185049,0.1792711205009293,3.0,22.0
9136,2.429038573923029,48.0,1.5190192836958047,0.007982030466849359,0.12877193891237468,5.0,33.0
9137,2.1464967869169835,47.0,1.568980599162681,0.005313483086067759,0.16890672286507571,4.0,22.0
9138,2.216451949276544,55.0,1.8202920220075842,0.004933104246349362,0.21540687261956049,5.0,20.0
9139,2.347877518383445,61.0,1.5298722044308206,0.005233790807403792,0.1263450344927367,2.0,27.0
9140,2.110560587584421,52.0,1.5786475358986625,0.004897069912518769,0.16308348755799923,6.0,21.0
9141,2.259197170490607,62.0,1.5789222003986758,0.009106143673272964,0.16390182302992773,7.0,18.0
9142,2.1715526303440313,60.0,1.8025391147925067,0.0005501192392562793,0.22776879503995034,0.0,20.0
9143,2.0974165457949505,52.0,1.4975321514040743,0.006322367335745826,0.12604878852213863,5.0,22.0
9144,2.196546580573874,55.0,1.7032071633354895,0.007918241128689385,0.16985897055462654,6.0,8.0
9145,2.28443490324035,58.0,1.4648886774919203,0.011388015038035902,0.10634376673360221,5.0,20.0
9146,2.334312236887286,54.0,1.6474934565405757,0.013349406484611439,0.18973225966313728,7.0,22.0
9147,2.1460612247279456,46.0,1.6026676026560627,0.004280746286643935,0.16133704031869792,5.0,16.0
9148,2.1676576888208032,51.0,1.5641681710097235,0.010154775714762693,0.13921959929665936,6.0,3.0
9149,2.306368922573508,61.0,1.6734253702309276,0.008535567263553487,0.19713132757966598,4.0,21.0
9150,2.108331477975819,63.0,1.6576439009339703,0.0019787532936621855,0.14266015657809217,2.0,9.0
9151,2.4394611439412413,52.0,1.7638326458933251,0.0018905389005849974,0.1874540344450474,4.0,38.0
9152,1.9874508672626852,51.0,1.6798878496220135,0.0012057018023383448,0.19029142132173568,2.0,13.0
9153,2.0069762559905517,50.0,1.6237155168561521,0.00556261630137656,0.15310128873891976,6.0,8.0
9154,2.1454819825864058,36.0,1.5757010752974807,0.0012947681778624298,0.13501747658437838,2.0,17.0
9155,2.362472151891223,53.0,1.7108169125528248,0.005286871937040291,0.1638999916916015,6.0,15.0
9156,2.1395145187529714,57.0,1.5397401403686573,0.003313244627213159,0.15557881020697303,3.0,17.0
9157,2.304886470720944,49.0,1.6487118393666342,0.006548684795682531,0.15727159986338762,5.0,21.0
