id,Delta,R0,alpha,gamma,i0_q,r,r0_q,start_week_delta
6224,43.0,2.782129714017179,-7.06921575360127,0.5413211103318408,0.006427003640563772,1.089229130277466,0.3873326654937801,4.0
6225,28.0,2.45762600342,-3.773104625659895,-1.5605656484640806,0.010725624429925222,1.1763564094683143,0.3370592127860364,7.0
6226,39.0,2.625658390616786,-4.158934927047159,-7.346202014899172,0.004720165538554985,1.2922121801630377,0.3509130128581305,4.0
6227,31.0,2.2817544673285206,1.4966427076516475,-4.72508351797256,0.0068871752241837485,1.1759790003907178,0.33343314971447086,5.0
6228,28.0,2.6317920929555787,-7.101483063388216,-8.214945943448647,0.0023296550138744293,1.1385955857648724,0.35686616416319217,4.0
6229,25.0,1.8659042536824693,-3.549088189394306,-0.991445293513332,0.013824599058111208,1.183318363410106,0.22990338998601276,7.0
6230,43.0,2.3418746996598103,0.008426377526738804,0.8961754610430926,0.003311151285788039,1.1061455078912499,0.35119364850907486,2.0
6231,58.0,2.4213628824126316,-4.307001793766194,-0.9763083097332605,0.0025777712406322238,1.3860252723862956,0.2989264231492748,1.0
6232,22.0,1.7760063849264005,-1.2666971960537063,0.18671363857259138,0.005958291883496628,1.392447359531389,0.18418618184797958,5.0
6233,37.0,1.9339388207745551,-7.630364307750169,-3.87989738847457,0.0020051448104766215,1.1065057174115627,0.17161136333011381,2.0
6234,33.0,2.283216134018823,-8.106718704016377,-8.218120785165954,0.009281530641117188,1.0481730775171465,0.3032053134759878,6.0
6235,59.0,2.2430057486581427,-8.827107288937853,-0.15604028023467043,0.00639632466252122,1.186947684145719,0.27705577290140115,1.0
6236,25.0,2.200566824790502,-2.038968609698652,-5.806787708421181,0.001939312821600517,1.157703631056189,0.2792657752927411,3.0
6237,49.0,2.6787762170950686,-6.66541024064761,-5.804726786232063,0.005330185655691018,1.2584996154343542,0.39845527442080697,3.0
6238,51.0,2.1765695958061313,-0.9972585949152633,-2.1432014468739506,0.0014912520637674956,1.1397427023429392,0.24914348930583066,0.0
6239,9.0,2.330307832833793,-8.426555557384173,-5.46142384261509,0.003477138457204638,1.2627719250256952,0.30030147722238754,7.0
6240,17.0,2.465535923721044,-1.3254084679386784,-0.41478584045653943,0.00633584288855988,1.3789195498800624,0.34219458291757776,7.0
6241,39.0,2.5269845487457188,-3.2629238674716428,-1.905771516785416,0.0035063284998299495,1.2332637907532775,0.36713740578310256,4.0
6242,3.0,2.1688653890725016,-2.669091127607362,-4.593026967446346,0.001495441529421401,1.4468079590022112,0.37534181742546097,3.0
6243,32.0,2.198975266786109,-5.002261144679268,-2.7455461362102973,0.006287287948105108,1.1626512458125233,0.2504282705546713,5.0
6244,21.0,1.9082028497326808,-8.904512464567725,-2.8044913194245136,0.004619385319003301,1.0680940604901203,0.21296234509938158,5.0
6245,25.0,2.2568690389354025,-2.2181448612081294,0.5390879123514075,0.006835458135297921,1.2458889082587699,0.3144040585959986,7.0
6246,53.0,2.113994537492066,1.8126841932362852,2.181781735172424,0.003519899563217391,1.2695258677679178,0.27230133123534167,0.0
6247,34.0,2.2049676514294254,-2.3172874324847084,0.3058643877089254,0.009418763194380366,1.403121544712416,0.3143721698487817,5.0
6248,52.0,2.5396929613063923,-5.898469254519551,-7.466869357221324,0.01052608747900822,1.2092824293286455,0.36631004202172895,4.0
6249,25.0,1.8150790533264198,-8.269019133178864,-5.022716314159962,0.0081883888251097,1.006465676561082,0.1647646955642527,6.0
6250,32.0,2.2098278716989466,-0.3427592298850871,-0.12391209978314799,0.010441817697373014,1.1767142141851918,0.3229800811349412,6.0
6251,8.0,1.9699099492219976,-4.203811936623874,-2.823279491069497,0.002574959362910317,1.0059326326940972,0.20958287726932517,7.0
6252,50.0,2.1505727184118153,-6.080398960168304,-0.3971205844161483,0.003798560486325743,1.3847464109850183,0.2952334017945719,1.0
6253,59.0,2.5627797366690777,-4.66680857249369,0.32631113278609264,0.0033088760754864752,1.2744480385965515,0.3668846235608232,1.0
6254,13.0,2.08874453387594,-5.40908777994784,-7.536267093667379,0.0018532676252043516,1.41107845944178,0.2565114548024389,5.0
6255,21.0,2.4014307498294802,-2.473536865426969,-5.085620331706931,0.0077221895755708045,1.1886323837176345,0.3698963382373498,7.0
6256,28.0,1.820955533333253,-3.724963471792018,-1.1256073752744842,0.0023958118729197854,1.36218272826135,0.13835166994991677,4.0
6257,21.0,2.2215758703006934,-6.061989466628678,0.39998232809754586,0.001765123879210026,1.1505566259609792,0.250400280473594,5.0
6258,31.0,2.299841155193322,-2.926722642685003,-8.117276808250562,0.0041797383863246005,1.1951250651645642,0.29226898074236113,4.0
6259,40.0,2.268646162730424,1.2138622249113915,0.7150296523530899,0.005154475248158563,1.0859678581788603,0.30469656876736106,4.0
6260,38.0,1.9124186746302727,-2.3408131692626872,-6.880739362633626,0.003992011628292971,1.0277230177381615,0.23539383674650938,2.0
6261,40.0,2.5503529487482752,-8.907572495294666,-5.255992187944732,0.002141802272989885,1.3500894300170034,0.3686072767689699,3.0
6262,24.0,2.209851900621033,0.2810052164700245,-3.3791732288937504,0.000779770178661948,1.0763377130182994,0.26147842685705486,3.0
6263,32.0,1.871691149912375,-6.620276576002027,-1.821712416724978,0.004077275100544622,1.1014140369811702,0.1453183313565702,4.0
6264,22.0,2.260063009633678,-0.6838998906021145,-0.4512084272987569,0.005560381557827964,1.4042153595292604,0.36859979990606356,5.0
6265,26.0,2.2006533912903397,-1.2831748051983345,-1.6746513468726996,0.002624789322978797,1.3830595071792173,0.2927823330467195,4.0
6266,36.0,2.461711424791441,-4.000193876271202,-2.8168612048055097,0.003314857768678447,1.043842860788838,0.3622071787447405,4.0
6267,20.0,2.3444101762915524,-9.120516071918743,-1.6964353924459843,0.003375474048601075,1.0949749830605324,0.32533387516265183,6.0
6268,16.0,2.6157498357747,-4.375994845460644,0.6087413259693644,0.003575421421808245,1.1074886444611243,0.34514255151920725,7.0
6269,5.0,1.7958150193334121,1.790619092715525,-1.8083384846103197,0.0029499946037283603,1.3569392904316557,0.2362833302240321,4.0
6270,36.0,2.5819929262977657,-1.5970747342849783,-3.9555359427531878,0.007075408871680952,1.2427317709544834,0.3632808211223377,4.0
