id,Delta,R0,alpha,gamma,i0_q,r,r0_q,start_week_delta
6465,35.0,2.038466065606717,-6.603085135670833,1.0412314194571421,0.005177528344007889,1.360439573705617,0.2718240686774149,4.0
6466,28.0,2.0194145065087605,-6.928992709385699,-1.648979260730548,0.009617739624679556,1.431032548234235,0.255750702568522,6.0
6467,56.0,2.0094437549577657,-7.010826999768618,-6.289739605430146,0.005590006940131483,1.0417548377302124,0.24563745475948456,1.0
6468,59.0,1.892541085836964,-3.7655813792924597,0.6459228115661172,0.004813333990732644,1.0011773953413905,0.1845751654175004,1.0
6469,46.0,2.3537641590402893,0.6612898426425587,-8.777230423331098,0.005042473373151117,1.3889344288867616,0.3325764804335668,2.0
6470,30.0,2.513404116895681,0.8546347775374302,-6.00690575066338,0.0028210164421278413,1.1069773900628768,0.33527505081296594,4.0
6471,34.0,1.8879595365032344,-7.599568681983174,-7.993188715492701,0.004433400608610539,1.0913991549663706,0.20885580739118026,4.0
6472,33.0,2.6385342440276056,-4.2762467921119915,-4.127030339540873,0.0034247786368476916,1.1559850039985944,0.36527031506032753,4.0
6473,18.0,1.6946990666998585,-8.059537275139123,-0.6996821882463898,0.003991733597479504,1.2251390181977606,0.15734085068126843,5.0
6474,61.0,2.2108287423602744,-2.4017448910410923,-0.7343636107294129,0.004214002042362162,1.362758601843824,0.33062719950950586,0.0
6475,33.0,1.728927414617846,0.5865497497236084,-1.7327561231874569,0.011400540985259729,1.0955368752476893,0.16349885455615554,5.0
6476,31.0,2.478778216363975,0.001757749484028709,-5.262228492392236,0.004287124887897973,1.3697534473773463,0.35876266990970035,5.0
6477,39.0,2.093323555462764,-7.8630220218146585,-0.35324766149222775,0.0026832746147071513,1.1475545973201655,0.24729457646727016,2.0
6478,20.0,2.1334099128419415,0.7011784894840603,-1.665276084005828,0.0037141178748018445,1.2955635481978156,0.2958982384521874,5.0
6479,46.0,2.029662479669483,-3.0154275132726402,-0.19087873728918103,0.006952901813290475,1.3541652671124202,0.23650152962647136,3.0
6480,38.0,2.3065860660995994,-2.7457377905079974,-3.92802150825644,0.0046171957000365246,1.2496323557080085,0.33981903967233057,4.0
6481,32.0,1.9295505449499901,-6.188002340525379,1.9490013915142326,0.006168402067659841,1.462491007083356,0.24056815643019627,4.0
6482,41.0,2.465614082917369,-0.7894149757068498,-2.2884617199146713,0.008491596222122113,1.4581827745205675,0.3656304112117189,5.0
6483,39.0,2.415083576069412,-7.719396785903336,-7.076555128726741,0.00527296475775441,1.459474157958402,0.320607700680547,4.0
6484,31.0,2.2121106847109924,-1.904105824364748,1.4783923213182992,0.008180618727116286,1.4271235401737137,0.29081594656705567,6.0
6485,15.0,1.9113524146333727,-0.4962355766718268,1.504062353847259,0.0015527887825256886,1.428971399021687,0.2136290799911811,4.0
6486,26.0,1.9937402182089108,-1.9150283953531928,-8.663790531165969,0.00656694926562656,1.4050681771435263,0.25630405950100854,6.0
6487,16.0,1.9411596168985352,-2.496221509019061,-5.809011682211249,0.0037937633135150545,1.1783422081217032,0.2304156697151338,6.0
6488,43.0,2.2153846522814065,1.0186202271084146,0.30265700653640826,0.0013343625243649004,1.486373530974136,0.277462022790937,1.0
6489,27.0,2.2448485970822074,-3.619758924436431,-0.7227616322854441,0.003571791711137882,1.4550975510038273,0.28206029714468533,5.0
6490,27.0,1.89558926996163,0.23981143722844256,-3.2581713933435568,0.005831354262906356,1.4873263291330363,0.20445513862812228,5.0
6491,39.0,2.234447397983588,-5.789294545888648,-6.155467671884424,0.008374845838882174,1.1963768602097868,0.3205388725405248,5.0
6492,25.0,2.3794536987333665,-6.642767309960109,-5.744414395047778,0.00336118922043431,1.2267724315611366,0.33077359591965283,6.0
6493,31.0,1.9482751626751142,-3.0252821095345404,-7.506804877672055,0.008216589522796908,1.281537441293081,0.2397961834634328,5.0
6494,30.0,2.2577864366602967,-1.2575782613916093,-4.15665797726906,0.010934768695812431,1.429780144325352,0.3058878674203323,6.0
6495,31.0,2.5397247494185136,0.08111860365821999,-7.172776586885928,0.002441452338227376,1.3789350341526962,0.32657325658326236,5.0
