id,Delta,R0,alpha,gamma,i0_q,r,r0_q,start_week_delta,t_alpha_delta
9034,59.0,1.6566606430290491,-4.032530154431138,2.102558617537507,0.01180824946809552,1.122098174780234,0.3345657472594337,2.0,26.0
9035,42.0,1.789384811319211,0.2751199260296937,-6.313178909909651,0.014959375848059621,1.2032332542502941,0.39546317386504004,4.0,33.0
9036,54.0,1.5865460685485497,0.8955890969700048,-8.402648063564131,0.01361435558922244,1.4509139768860349,0.35308997091146066,5.0,31.0
9037,59.0,1.6617117877112646,-2.0946592403973887,1.6192823430463295,0.014459356873927649,1.1567522885703454,0.3490764894492266,4.0,39.0
9038,62.0,1.8837496921916903,0.15690667246333134,-8.273078345618199,0.012908129048199731,1.0883598121138887,0.39759574384225205,2.0,37.0
9039,62.0,1.6714994969213448,1.2277247902120494,-0.5676397812273091,0.015456543183719314,1.225473837995366,0.36854091584564286,3.0,26.0
9040,41.0,1.6850210016853409,-2.5679026335990898,-7.404935676575582,0.010296278240840711,1.3604855439560752,0.39531913367259436,6.0,36.0
9041,52.0,1.7486945498353579,-3.5942968225612795,-4.50285024504691,0.01713081023134241,1.4362453769957195,0.375161198795361,4.0,32.0
9042,43.0,1.7323910196279055,-7.16083306117764,-8.653948231192937,0.010427408531184538,1.1607142418938305,0.3757656671937321,4.0,38.0
9043,47.0,1.7100746500679862,-1.7300510993301188,0.15141651148792004,0.01587408544409675,1.1228442216203198,0.36194851714307985,5.0,30.0
9044,50.0,1.7195087760668364,0.5418774132880811,-2.600702767940374,0.014147435505335058,1.396241668460757,0.37247438040027236,6.0,36.0
9045,55.0,1.6555769817032164,0.3240640256071139,-6.641530068218417,0.017132197702867866,1.0010108508899067,0.3720229740406034,4.0,31.0
9046,56.0,1.452502922010993,-3.0873537538099987,-2.2043288477141716,0.01680217688049275,1.014540794685766,0.3108402416483679,5.0,30.0
9047,59.0,1.811120359711447,-4.84151239467214,-7.119857018147635,0.01353752329167941,1.3284623201757733,0.37421149197933706,4.0,39.0
9048,52.0,1.7540958370299111,-7.151784285558707,-6.049617430433724,0.01551383901684707,1.117668969172898,0.3866967649889494,6.0,37.0
9049,54.0,1.7241513650605758,0.7629013276602389,1.8585634148985624,0.014549191765915457,1.120676829910571,0.3814275732986922,5.0,42.0
9050,48.0,1.690071513584868,-5.642722441352958,-6.988226376795866,0.010726582688237235,1.080977051231968,0.376080877264999,4.0,41.0
9051,59.0,1.5250081635278878,-4.149754110743954,-2.042639467033018,0.018218939456563835,1.4682100402046967,0.3220161991756977,5.0,37.0
9052,63.0,1.5886461957123166,-9.092090939992927,-2.3625871554849285,0.013435758502265152,1.0886986802137588,0.3119828686404934,2.0,32.0
