,C1M_School.closing,datetime
276,1,2020-10-03
277,1,2020-10-04
278,1,2020-10-05
279,1,2020-10-06
280,1,2020-10-07
281,1,2020-10-08
282,1,2020-10-09
283,1,2020-10-10
284,1,2020-10-11
285,1,2020-10-12
286,1,2020-10-13
287,1,2020-10-14
288,1,2020-10-15
289,1,2020-10-16
290,1,2020-10-17
291,1,2020-10-18
292,1,2020-10-19
293,1,2020-10-20
294,1,2020-10-21
295,1,2020-10-22
296,1,2020-10-23
297,1,2020-10-24
298,1,2020-10-25
299,1,2020-10-26
300,1,2020-10-27
301,1,2020-10-28
302,1,2020-10-29
303,1,2020-10-30
304,1,2020-10-31
305,1,2020-11-01
306,1,2020-11-02
307,1,2020-11-03
308,1,2020-11-04
309,1,2020-11-05
310,1,2020-11-06
311,1,2020-11-07
312,1,2020-11-08
313,1,2020-11-09
314,1,2020-11-10
315,1,2020-11-11
316,1,2020-11-12
317,1,2020-11-13
318,1,2020-11-14
319,1,2020-11-15
320,1,2020-11-16
321,1,2020-11-17
322,1,2020-11-18
323,1,2020-11-19
324,1,2020-11-20
325,1,2020-11-21
326,1,2020-11-22
327,1,2020-11-23
328,1,2020-11-24
329,1,2020-11-25
330,1,2020-11-26
331,1,2020-11-27
332,1,2020-11-28
333,1,2020-11-29
334,1,2020-11-30
335,1,2020-12-01
336,1,2020-12-02
337,1,2020-12-03
338,1,2020-12-04
339,1,2020-12-05
340,1,2020-12-06
341,1,2020-12-07
342,1,2020-12-08
343,1,2020-12-09
344,1,2020-12-10
345,1,2020-12-11
346,1,2020-12-12
347,1,2020-12-13
348,1,2020-12-14
349,1,2020-12-15
350,1,2020-12-16
351,1,2020-12-17
352,1,2020-12-18
353,1,2020-12-19
354,1,2020-12-20
355,1,2020-12-21
356,1,2020-12-22
357,1,2020-12-23
358,1,2020-12-24
359,1,2020-12-25
360,1,2020-12-26
361,1,2020-12-27
362,1,2020-12-28
363,1,2020-12-29
364,1,2020-12-30
365,1,2020-12-31
366,1,2021-01-01
367,1,2021-01-02
368,1,2021-01-03
369,1,2021-01-04
370,1,2021-01-05
371,1,2021-01-06
372,1,2021-01-07
373,1,2021-01-08
374,1,2021-01-09
375,1,2021-01-10
376,1,2021-01-11
377,1,2021-01-12
378,1,2021-01-13
379,1,2021-01-14
380,1,2021-01-15
381,1,2021-01-16
382,1,2021-01-17
383,1,2021-01-18
384,1,2021-01-19
385,1,2021-01-20
386,1,2021-01-21
387,1,2021-01-22
388,1,2021-01-23
389,1,2021-01-24
390,1,2021-01-25
391,1,2021-01-26
392,1,2021-01-27
393,1,2021-01-28
394,1,2021-01-29
395,1,2021-01-30
396,1,2021-01-31
397,1,2021-02-01
398,1,2021-02-02
399,1,2021-02-03
400,1,2021-02-04
401,1,2021-02-05
402,1,2021-02-06
403,1,2021-02-07
404,1,2021-02-08
405,1,2021-02-09
406,1,2021-02-10
407,1,2021-02-11
408,1,2021-02-12
409,1,2021-02-13
410,1,2021-02-14
411,1,2021-02-15
412,1,2021-02-16
413,1,2021-02-17
414,1,2021-02-18
415,1,2021-02-19
416,1,2021-02-20
417,1,2021-02-21
418,1,2021-02-22
419,1,2021-02-23
420,1,2021-02-24
421,1,2021-02-25
422,1,2021-02-26
423,1,2021-02-27
424,1,2021-02-28
425,1,2021-03-01
426,1,2021-03-02
427,1,2021-03-03
428,1,2021-03-04
429,1,2021-03-05
430,1,2021-03-06
431,1,2021-03-07
432,1,2021-03-08
433,1,2021-03-09
434,1,2021-03-10
435,1,2021-03-11
436,1,2021-03-12
437,1,2021-03-13
438,1,2021-03-14
439,1,2021-03-15
440,1,2021-03-16
441,1,2021-03-17
442,1,2021-03-18
443,1,2021-03-19
444,1,2021-03-20
445,1,2021-03-21
446,1,2021-03-22
447,1,2021-03-23
448,1,2021-03-24
449,1,2021-03-25
450,1,2021-03-26
451,1,2021-03-27
452,1,2021-03-28
453,1,2021-03-29
454,1,2021-03-30
455,1,2021-03-31
456,1,2021-04-01
457,1,2021-04-02
458,1,2021-04-03
459,1,2021-04-04
460,1,2021-04-05
461,1,2021-04-06
462,1,2021-04-07
463,1,2021-04-08
464,1,2021-04-09
465,1,2021-04-10
466,1,2021-04-11
467,1,2021-04-12
468,1,2021-04-13
469,1,2021-04-14
470,1,2021-04-15
471,1,2021-04-16
472,1,2021-04-17
473,1,2021-04-18
474,1,2021-04-19
475,1,2021-04-20
476,1,2021-04-21
477,1,2021-04-22
478,1,2021-04-23
479,1,2021-04-24
480,1,2021-04-25
481,1,2021-04-26
482,1,2021-04-27
483,1,2021-04-28
484,1,2021-04-29
485,1,2021-04-30
486,1,2021-05-01
487,1,2021-05-02
488,1,2021-05-03
489,1,2021-05-04
490,1,2021-05-05
491,1,2021-05-06
492,1,2021-05-07
493,1,2021-05-08
494,1,2021-05-09
495,1,2021-05-10
496,1,2021-05-11
497,1,2021-05-12
498,1,2021-05-13
499,1,2021-05-14
500,1,2021-05-15
501,1,2021-05-16
502,1,2021-05-17
503,1,2021-05-18
504,1,2021-05-19
505,1,2021-05-20
506,1,2021-05-21
507,1,2021-05-22
508,1,2021-05-23
509,1,2021-05-24
510,1,2021-05-25
511,1,2021-05-26
512,1,2021-05-27
513,1,2021-05-28
514,1,2021-05-29
515,1,2021-05-30
516,1,2021-05-31
517,1,2021-06-01
518,1,2021-06-02
519,1,2021-06-03
520,1,2021-06-04
521,1,2021-06-05
522,1,2021-06-06
523,1,2021-06-07
524,1,2021-06-08
525,1,2021-06-09
526,1,2021-06-10
527,1,2021-06-11
528,1,2021-06-12
529,1,2021-06-13
530,1,2021-06-14
531,1,2021-06-15
532,1,2021-06-16
533,1,2021-06-17
534,1,2021-06-18
535,1,2021-06-19
536,1,2021-06-20
537,1,2021-06-21
538,1,2021-06-22
539,1,2021-06-23
540,1,2021-06-24
541,1,2021-06-25
542,1,2021-06-26
543,1,2021-06-27
544,1,2021-06-28
545,1,2021-06-29
546,1,2021-06-30
547,1,2021-07-01
548,1,2021-07-02
549,1,2021-07-03
550,1,2021-07-04
551,1,2021-07-05
552,1,2021-07-06
553,1,2021-07-07
554,1,2021-07-08
555,1,2021-07-09
556,1,2021-07-10
557,1,2021-07-11
558,1,2021-07-12
559,1,2021-07-13
560,1,2021-07-14
561,1,2021-07-15
562,1,2021-07-16
563,1,2021-07-17
564,1,2021-07-18
565,1,2021-07-19
566,1,2021-07-20
567,1,2021-07-21
568,1,2021-07-22
569,1,2021-07-23
570,1,2021-07-24
571,1,2021-07-25
572,1,2021-07-26
573,1,2021-07-27
574,1,2021-07-28
575,1,2021-07-29
576,1,2021-07-30
577,1,2021-07-31
578,1,2021-08-01
579,1,2021-08-02
580,1,2021-08-03
581,1,2021-08-04
582,1,2021-08-05
583,1,2021-08-06
584,1,2021-08-07
585,1,2021-08-08
586,1,2021-08-09
587,1,2021-08-10
588,1,2021-08-11
589,1,2021-08-12
590,1,2021-08-13
591,1,2021-08-14
592,1,2021-08-15
593,1,2021-08-16
594,1,2021-08-17
595,1,2021-08-18
596,1,2021-08-19
597,1,2021-08-20
598,1,2021-08-21
599,1,2021-08-22
600,0,2021-08-23
601,0,2021-08-24
602,0,2021-08-25
603,0,2021-08-26
604,0,2021-08-27
605,0,2021-08-28
606,0,2021-08-29
607,0,2021-08-30
608,0,2021-08-31
609,0,2021-09-01
610,0,2021-09-02
611,0,2021-09-03
612,0,2021-09-04
613,0,2021-09-05
614,0,2021-09-06
615,0,2021-09-07
616,0,2021-09-08
617,0,2021-09-09
618,0,2021-09-10
619,0,2021-09-11
620,0,2021-09-12
621,0,2021-09-13
622,0,2021-09-14
623,0,2021-09-15
624,0,2021-09-16
625,0,2021-09-17
626,0,2021-09-18
627,0,2021-09-19
628,0,2021-09-20
629,0,2021-09-21
630,0,2021-09-22
631,0,2021-09-23
632,0,2021-09-24
633,0,2021-09-25
634,0,2021-09-26
635,0,2021-09-27
636,0,2021-09-28
637,0,2021-09-29
638,0,2021-09-30
639,0,2021-10-01
640,0,2021-10-02
641,0,2021-10-03
642,0,2021-10-04
643,0,2021-10-05
644,0,2021-10-06
645,0,2021-10-07
646,0,2021-10-08
647,0,2021-10-09
648,0,2021-10-10
649,0,2021-10-11
650,0,2021-10-12
651,0,2021-10-13
652,0,2021-10-14
653,0,2021-10-15
654,0,2021-10-16
655,0,2021-10-17
656,0,2021-10-18
657,0,2021-10-19
658,0,2021-10-20
659,0,2021-10-21
660,0,2021-10-22
661,0,2021-10-23
662,0,2021-10-24
663,0,2021-10-25
664,0,2021-10-26
665,0,2021-10-27
666,0,2021-10-28
667,0,2021-10-29
668,0,2021-10-30
669,0,2021-10-31
670,0,2021-11-01
671,0,2021-11-02
672,0,2021-11-03
673,0,2021-11-04
674,0,2021-11-05
675,0,2021-11-06
676,0,2021-11-07
677,0,2021-11-08
678,0,2021-11-09
679,0,2021-11-10
680,0,2021-11-11
681,0,2021-11-12
682,0,2021-11-13
683,0,2021-11-14
684,0,2021-11-15
